"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","firstcharacter","chapterbody 48","chapterbody 49","chapterbody 50"
"010 观见“冯冯”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c010","在前章中，写的是“欲”字，这是入甚深禅定中之见也。","或许有人问我：","“卢师尊，你在现世之中，见否？”","我哈哈大笑：","“当然有，而且甚多！”","我就举一例吧！","我在“问事房”问事。","一名远方而来的秀丽女子，向我顶礼，她看见左右侍者刚出去。","顶礼完，她立起身。","一手摸头，身子摇摇晃晃，喊了一声：“卢师尊，救我，我头晕不支了！”","我伸手扶住她。","她抱住我更紧。","然后，她的口凑上我的口，差一点成了“吕”字，我一紧张，推开她。","她对我说：","“不知情趣！”","“冯冯，你亲来告诉我这一些，我实在很感激，你真的不忘朋友一场了。”","我再举第二个例子：","一名长发女子，容貌艳媚，悄悄走近对我说：","“卢师尊，听说你修证无漏？”","我答：","“是的。”","她递给我字条，上写Hotel房间号码。","她说：","“让我来证明你的无漏。”","临行，回首一笑百媚生。","我当然把纸条抛入“垃圾桶”。","我对“垃圾桶”说：","“对不起！”","诗曰：","●","逝去何有影。","我在第三回的入甚深禅定中，我看见了一个影子向我走来。","我吓了一跳，原来是：“冯冯。”","“冯冯”就是作家冯冯，也即是佛学作家冯冯，著作甚多。","我与冯冯，见面多回。他的著作，每出一本，便送我一本。","冯冯对我说：","“我今日来，特来告知你一件事。”","“何事？”","冯冯说：","“有一年，一名女子从远方来找我，求我医病，她说她身上无多钱，我善意的留她住客房，夜间，她呻吟，我过去探视。”","“这名女子，拉我的手，按她胸部，说她的心跳急促。”......。","后来，冯冯说：","“这名女子竟然勒索我，我为了息事宁人，花了一大笔钱才无事。”","我问：","“你告诉我这些，为何？”","冯冯急了：","“这名女子与你遇见的女子，或许是同一人也。她在我这里得了好处，便想到你那里去得好处。”","我","友朋留一香。","“喔！我明白了。”原来如此。","我对冯冯说："
"011 与冯冯谈“欲”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c011","在禅定中与冯冯见了面，我提到我看了冯冯的许多书，例如早期的《微曦》，及至后来的：","《空虚的云》。","《禅定天眼通之实验》。","《太空科学核子物理学与佛理的印证》。","《释达坦》。","............。","冯冯每送我书，在空白之页，便题：","","","而我也实实在在把他的书，本本都读过，并未束之高阁。","冯冯听我把他的书，全部读完，非常的惊叹，他说：","“自古以来，文人相轻，这句话在胜彦菩萨，卢师尊之前是行不通的，想不到你把我的书，全部读完。”","我笑笑的说：","“其实不只你的书，星云大师的书，圣严法师的书，证严上人的书，妙莲和尚的书，甚至萧平实居士的书，我全看了。至于，批判我最厉害，害我最深的陈慧剑居士的书，我全数读全。”","冯冯居士说：","“我不如你，我对某些书，是不屑的，尤其是批判我的，嗤之以鼻！”","我哈哈大笑：","“开卷有益矣！”","","冯冯说：","“你对我译自Hermann Hesse，《释达坦》，这本书的评价如何？”","我答：","“那是一部流动诸色相的重现、休止、流转......。”","冯冯说：","“是的，是的，是的，不停变幻，一时存在，千变万化。”","我问冯冯：","“你有欲吗？”","冯冯答：","“众生具有，我岂没有？”","我说：“我喜欢你的那首诗。”","佳人归凤林。","沙门止道边。","莲茵出尘艳。","梵僧参礼深。","自见伊人笑。","禅心化凡心。","苦修皈依佛。","何如拜佳人。","","冯冯说：","“这灵感来自达赖六世的情歌，六世达赖的情歌很真实。”","六世达赖喇嘛的情歌：","在那东山顶上，","升起了皎洁的月亮。","娇娘的脸蛋儿，","浮现在我的心上。","又：","我","默思上师的尊面，","怎么也没能出现。","没想那情人的脸蛋儿，"
"012 与冯冯谈“禅”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c012","在定中与冯冯相见。我觉得冯冯的生前，与冯冯的死后，判若二人。","冯冯生前——喜怒形于色。","冯冯死后——驾鹤高人也。","冯冯问我：","“胜彦菩萨卢师尊，听说你近期写禅宗的书！”","我答：","“我是先学净土，后来修密，这当中又学戒律，最近确实写禅宗的书。”","冯冯喜欢考我：","“你认为什么是禅？”","我答：","“闻名不如见面。”","冯冯问：","“见面又如何？”","我答：","“原来如此。”（如是，如是）","","冯冯追问：","“原来如此是什么？”","我答：","“连原来如此，也不必思量。”","冯冯说：","“卢师尊，你果然在禅学方面，有了如此深厚的功力，怪不得你是佛学的奇葩，世上人无人能及了。”","我说：","“这名相禅，原本离性绝非，本自寂寂，但也周遍天下。只是四圣六凡，所见都不相同，才有如此的变化。”","冯冯点首。","冯冯问我：","“你读完《空虚的云》，对我这本书，有何意见？”","我说：","“知法常无性，佛种从缘起。”","冯冯听了，思索一回，他好像明白这几个字的份量。","","冯冯点头说：","“我为这《空虚的云》，共写了五年的时光，搜集资料共百册之多，我写得非常辛苦，这五年的苦思，甚至断绝与人的来往，想不到的是，你只短短十个字，就把我这三册大部头书，全贯彻了。”","冯冯说：","“你知道《女兵自传》名作家谢冰莹教授，是我叫她去皈依你的吗？”","我说：","“我记得此事！”","冯冯说：","“谢冰莹教授开悟否？”","我答：","“尚未见路径，如何言到？”","冯冯闻我之言，也未免感叹一番。冯冯说，谢教授与冯冯亦师亦友，关系非浅，书信来往，可惜未达见地。","","诗曰：","归路本处处。","何处不故乡。","一切皆现成。","我","悟者自心安。","",""
"013 一代佛王","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c013","在禅定中，观见“冯冯”居士，冯冯对我说：“卢师尊，你是真正的一代佛王！”","我哈哈大笑，说：","“胡扯！”","冯冯说：","“我在台南开元寺，偷听到释迦牟尼佛对弥勒菩萨说的。”","我问：“怎么说？”","冯冯答：","“释迦牟尼佛对弥勒菩萨说，当今天下，有一位真明白人出现，此人就是卢师尊，唯卢师尊当得佛王。弥勒菩萨回说，确实如此，卢师尊，如如不动，亦能任运，当之无愧。”","我说：","“我是一代邪教主。”","冯冯说：","“那是掩饰你真正的身份。”","我说：","“我是色中饿鬼。”","","冯冯说：","“那是佛旨，令人见不到真正的你。”","我说：","“我佩金戴玉。”","冯冯说：","“你以表象，掩盖你的内在。”","我说：","“当今，佛教鼎盛，诸山长老个个功德如天，聚众演法，个个都是有道高僧，诸恶莫作，众善奉行，这些诸山长老，才是个个是法王，是佛王。”","冯冯说：","“众生看外相，诸佛看内明，能讲水中月，能讲镜中花，而被众生污蔑的人，谁也不知道，他才是真正的佛王。”","我问：","“什么是水中月？什么是镜中花？”","","冯冯答：","“牛肉面里没有牛肉，太阳饼中没有太阳，月饼里没有月亮，老婆饼内没有老婆。这又是指什么来的？”","我好奇问：","“你怎知道？”","冯冯答：","“我参加了你在台湾林口的时轮金刚大法会，我也接受了灌顶。能明白这些的人，才是真正的一代大佛王。”","我“哦！”的一声。","冯冯说：","“邪教主，色中饿鬼，佩金戴玉的，竟是佛王。连智者如我，差一点也失之交臂，何况是盲目的众生。”","我问：","“冯冯！你在开元寺做什么？”","冯冯答：","“洒扫庭院的镇殿侍者。”冯冯说完，驾一道祥光自去也！","","诗曰：","真人不露相。","露相非真人。","须要藏身份。","只对传人讲。","我","","",""
"014 奈何天","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c014","在第四回，入于甚深禅定，恍恍惚惚忘了自我，不由自主的来到一个地界，只看见此地异草芳馥，仙花璀璨，是一个大好所在。","我看看四周环境，有黄金铺地，有琼楼玉宇，有画栋雕檐，明明是天上界，却有凄凄之风。","我是知道天上界的：","欲界天。","色界天。","无色界天。","我曾著作一书《诸天的阶梯》，介绍了二十八天界，但，竟然看不出，此是何天？","当我不知所措时，向自心内一观，《通天之书》打开，上写：“奈何天”三字。","这一回，我又奇怪了，二十八天界中，并无“奈何天”，我只知道幽冥地府，有一座“奈何桥”，我哪里知道有什么“奈何天”？","正当我觉得彷徨之时，有一位修道人，从前方行来。","","这道人唱歌：","勘破人间好景不长。","生老病死个个忧伤。","可怜半缺之人圆梦。","就来依止奈何之旁。","我合掌向道人问讯。","道人还我一个问讯。","","我问道人：","“此是何地？道人何名？”","道人说：","“此地名奈何天，我即奈何道人。”","我问：","“我为何到奈何天？”","奈何道人答：","“住此的人，全是无可奈何的人，因为无何奈何，才聚集到奈何天，至于你卢师尊，因何到奈何天，你一定有无可奈何的事，才会到奈何天来。”","我想想也是的。","我问奈何道人：","“那你为何到奈何天？”","奈何道人答：","“我是屈原啊！”","我一听是屈原，吓了我一大跳。","","屈原说：","“我是不折不扣，楚武王子瑕的后代，食邑于屈，以地为姓，我是屈原。”","我想到屈原跳汨罗江而死，想到划龙舟、端午节、吃粽子。","还有屈原的大作：《离骚》。","我内心黯然。","屈原说：","“你卢师尊，空有悲天悯人的心，但，有谁悯你？你还是无可奈何也。”","我答：“我是无可奈何不错，但我修忍辱，我是忍辱仙人，我无我，故无可奈何也无。”","","诗曰：","无可奈何亦为天。","公道非在人心田。","欲知守正不平人。","我","全在此地为小仙。","",""
"015 文成公主","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c015","入甚深禅定时，到了“奈何天”，见了爱国诗人“屈原”。","我问屈原：","“还有谁住奈何天？”","屈原反问我：","“你学藏密，听说造诣颇深，是吗？”","“是的。但藏密学，它的重点在出离心、菩提心、中观正见。”","屈原说：","“我给你引见一个人，你绝对想像不到的。”","“是谁？”我问。","屈原答：","“文成公主。”","“是嫁给吐蕃第三十二代赞普『松赞干布』的文成公主吗？”","“正是。”","我这下目瞪口呆了，文成公主是唐太宗的宗室女，于唐贞观十五年（西元六四一年），进入西藏，下嫁吐蕃王。文成公主是才女，带给吐蕃纺织、建筑、冶金、医药、历算等等的技术。","“松赞干布”原先有妻子，是尺尊公主，是尼泊尔国王光冑王的女儿，在西元六三四年，就嫁给松赞干布的。","","我问屈原：","“文成公主怎会在奈何天？”","屈原答：","“文成公主离长安，正是无可奈何，住于异域，正是无可奈何，嫁了几年，吐蕃王病故，无可奈何，永不回唐朝，无可奈何。还有.........。”","我讷讷不能言。","屈原吟：“思乡涕泣山顶望，千里东风一梦遥。”","","我与屈原到了文成公主的宫殿，那是“光摇朱户金铺地，雪照琼窗玉作宫”，天上仙境果然不同人间。","文成公主头上发髻镶满了珠玉，荷袂蹁跹，羽衣飘舞，娇若春花，媚如秋月。","我闻到一股幽香不断，不知何物？","文成公主说：","“此香乃西藏特有，是异木之精，合树油所燃，我享万年香火。”","我对文成公主说：","“当年你建大昭寺，几次水淹，你懂风水，知西藏是罗刹女仰卧，罗刹女的心脏即湖泊，于是你填平湖泊建寺，才能消灾驱魔。”","文成公主淡然一笑。","文成公主说：","“卢师尊，你忘了你的前世否？”","我答：","“岂能忘却？”","文成公主笑了：","“你是一位藏密的大祖师爷，重拾藏密，易如反掌，你的成就，无人能及也。”","文成公主说：","“今天，唯我知之，还有佛陀、莲师、金刚萨埵知之，其他凡夫，岂能知？这你也是无可奈何吧！”","我说：“苍天！苍天！”","","诗曰：","异域非等闲。","一去若飞鸿。","原是奈何事。","至今曲未终。","","在","","",""
"016 遇见“比干”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c016","说我入第四回甚深禅定，到了“奈何天”，先见到“屈原”，后又见到“文成公主”。","离开了“梦遥宫”（文成公主的宫殿），我竟然遇见了“比干”。","且听我一诗：","富贵又何为？","皇命不可违，","可怜空心人，","化为魂魄飞。","","●","","我在“奈何天”遇见“比干”，这实在令我相当的震撼。","这位“比干”不是别人，正是商朝纣王时代的亚相“比干”。","在史实上，〈殷本纪〉有记载：“纣王淫乱不止，微子数谏不听，乃与太师少师谋遂去。比干曰：『为人臣者，不得不以死争。』比干强谏纣王，纣王怒曰：『吾闻圣人心有七窍。』就剖比干的心而观之。”","我为何知道“比干”，这是因为卢家最早的祖先是“姜子牙”，卢是姜姓的分支，“姜子牙”曾与“比干”同一朝代。","在史实上，《史记》—〈齐世家〉记载：“太公望吕尚者，即姜尚，其先祖助禹平水，封于吕，从其封姓，故曰吕尚及姜尚。姜子牙穷困，年老，以鱼钓周西伯。”","《史记》上说：“姜尚为文武师。”","","●","","“比干”在“奈何天”想来是其来有自，我知道“屈原”在台湾有“屈原庙”，被人称为“水仙王”，我却不知“比干”是否有人供奉？","“比干”看见我，问：","“卢师尊！为何到奈何天？”","我答：","“我是忍辱仙人，忍辱也！”","比干哈哈大笑：","“卢师尊被世人小小的一个毁谤，就自称忍辱仙人，那我比干又是什么仙？”","我听了觉得汗颜而惭愧，是的，毁谤算什么，不痛不痒，又没有舍身，又没有舍心，算是什么忍辱仙人？","比干问我：","“你能舍心吗？”","我答：","“密教菩提心，是四无量心，慈悲喜舍，当舍亦能舍。”","比干问我：","“你能舍身吗？”","我答：","“我发了大誓愿，粉身碎骨度众生，我不入地狱，谁入地狱，这岂不是舍身？”","比干说：","“这还差不多，难忍能忍，难行能行，当舍时不能退缩，这才是奈何，奈我者何，哈哈！”","我听了比干的一番教训，深深觉悟，想当一名成就者，须有无比的毅力，而且身心要全部奉献给天下众生。","","诗曰：","比干舍心死。","自是奈何人。","若人逐名利。","自古被人嫌。","","","","且","","",""
"017 陌生人“许由”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c017","说，入甚深禅定，到了“奈何天”，由“屈原”引领我，又见一人。","这个人真是奇特，是“异人”，是“圣人”，是“贤人”，是“妄人”，是“怪人”......。","这个人从不说话。半年或一年，才说一句半句，他开口就是：","“一句也无。”","或：","“说什么！”","这个人每日打坐，也不看经书，有人拿佛道之经书给他，他连视也不视，连翻也不翻，仿佛根本毫无兴趣。","终于有一天，他开口说话了，他说：","“不识字。”","“不识字可以学啊！”","他答：","“识字作什么？”","","这位不说话的怪人，“奈何天”的天人都知道他的存在。","有人在他住的大门上，写了一“心”字，又在他的窗子写了一“心”字，又在他的墙上写了一个“心”字。","这怪人不说话，拿水把“心”全擦了去，过了一年，他才说：","“门就是门，窗就是窗，墙就是墙，心是多余的。”","这怪人根本没有朋友，也不见任何一个人，他的周遭是有人，但，他视若未见，有人问他：“多时不见，一向可好？”","他不答。","如果答，是：","“一样。”","“奈何天”有这一号人物，令我十分的好奇，屈原引领我去见他。","我向他说：","“我是卢师尊。”","他答也不答。","我说：","“如果有一头牛，但，方圆无寸草，请问，向何处放牛？”（机锋）","","他抬头看了一下我。也不答话，只随手一指。","我问：","“你是谁？”","他也不答。","我问：","“人说五蕴全空了，你是不是五蕴全空了？”","他仍然不答，只是抬头又看我一眼。","我不甘心，又问：","“如何是开悟？”","这回他开口了，他答：","“有客不答话。”（大玄旨）","我又问：","“你吃什么？”","他答：","“食不得！”（大玄旨）","","诗曰：","我观通天书。","上书是许由。","且","怪哉是异人。","凡事无所求。",""
"018 喜欢“奈何天”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c018","记得在天界，我在“天河胜景处”甚久，那里的天人，颇为安乐自在，我是很想回到“天河胜景处”的。那里的天人等着我回去哩！","然而，当我在“奈何天”，遇见了屈原、文成公主、比干、许由.........。","我对“奈何天”产生了欢喜心，因为我发觉这里所居的，全是“义”人，这个“义”字，令我心向往之。","我问：","“尧、舜、禹，居此家园否？”","屈原答：","“否。”","我问：","“孔子、孟子、子贡、子游等，居此家园否？”","屈原答：","“否。”","我问：","“伏羲、女娲、有巢、燧人、神农等，居此家园否？”","屈原答：","“否。”","我所问的人物，都是先圣先贤，都是有作有为的，他们也都是“义”人，但，为何不在“奈何天”，这一点我很疑惑？","","屈原看出我的疑惑，于是屈原对我说：","“奈何天所居之义人，全是有委屈的，或是无作无为的，奈何天原是如此，才叫奈何天啊！”","我说：","“我喜欢奈何天，我喜欢这个家园，我就留在奈何天，不回娑婆世界了。”","屈原说：","“凭你的经历，是有资格留在奈何天，但，你的誓句是有作有为，且又观破了委屈，你的资格更胜奈何天，不用在奈何天久留，你还是自去吧！”","我问屈原：","“你居此，我回何处？”","屈原说：","“何不看一看天书。”","我观自心的天书，上书：","“人间。”二字。","有几行小字，上书：“毅力第一，悟性第一，开天辟地第一，生生世世度众生。”","我这一看，差一点晕死过去。","我说：","“魂兮归来兮，如何是家园？”","屈原说：","“无所住。”","我说：","“我不能在奈何天落脚了！”","屈原说：","“你须转如来正法轮。”又说：“诸法从本来，当住寂灭相，这个你也悟得。”","我一听此句，便出定了！","","诗曰：","常下降人间。","安乐不可追。","春夏秋冬觉。","滚滚红尘飞。","（这真是无可奈何了！）","我","","",""
"019 森罗殿","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c019","第五回合的甚深禅定，出了“幻身”，觉得身子轻如鸿毛，渺渺茫茫，如同腾云驾雾，又如同一阵轻风。","我飘堕一地，见一座城池之上，写着“阴阳界森罗殿”。","正在“森罗殿”外徘徊之时，从殿内闪出三个人物，一位是杂毛老道，另二位是柳眉倒竖，杏眼发出凶光的女娘。","且说这三位一看到我，均怒气冲冲，大叫：","“卢师尊来得好，今日见面，非取你狗命不可。”","我问：","“三位何人？”","这三人也不回话，杂毛老道，扬起拂尘，一支“穿云箭”，便射上我的门面。","另外二名女娘，一位祭出“翻天印”，另一位祭出“天斧”，都从我的头上打将下来。","一时之间。","空中青光万道，夹杂了风雷之声，要收拾我的性命。","我一时情急，来不及想，便念了“披甲护身真言”。金刚手菩萨现身，化为蓝光，罩住了我的身子。","“穿云箭”在蓝光外，射不进来。","“翻天印”在我顶上，被蓝光托住，下不来。","“天斧”砍下，一样被蓝光挡住。","我仿佛是“金钟罩”一样，刀枪不入。","","我观天书，上写三字：","“妒、情、爱”。","我一时不敢多想，只想到如何退敌，于是我念九字真言：","“临、兵、斗、者、皆、阵、列、在、前。”","发出三昧真火。","一下子把“穿云箭”烧了。","又把“翻天印”烧成灰烬。","“天斧”溶化成铁汁。","杂毛老道及二位女娘，一看，破了他们的法宝，便退入“森罗殿”内，无影无踪。","我追入“森罗殿”中，只见阎罗王及判官，下面是牛头马面鬼差，阎罗王正在审判许多的人犯，那些人犯披枷带锁，这些都是生前造孽者。颇为可怜！","有忤逆不孝的。","有偷拐抢骗的。","有奸杀邪淫的。","有瞒天昧地的。","有不公不法的。","有贪念受贿的。","有放火泄恨的。","有妄言毁谤的。","","阎罗王忙得不可开交，我在那里见了，觉得：生前一定要行得正，死后免得受地狱之刑苦。","阎罗王发落已毕，抬头看见我，大喜：","“卢师尊！何时大驾光临？”","阎罗王降阶来迎接我。","我说：","“阎君，你可见到一老道及二位女娘，他们闪入森罗殿，便不见了！”我形容这三位。","阎罗王问判官：“速查查这三位。”","判官说没有这三位。","阎罗王说：","“卢师尊说有这三位，怎可能没有？”阎君取来生死簿一翻，上写“妒、情、爱”三字。","阎罗王说：","我","“我知道了，这正是你的幻见。妒者杂毛老道也，这老道嫉妒你的才华，盛名天下，早欲加害于你。情者女娘也，用情在卢师尊身上，见你不领情，也要加害你。爱者，另一女娘也，她爱着你，但你却爱众生，这爱不到，变成了恨，以天斧沉舟，欲同归于尽。”","“怎不见了？”",""
"020 五路瘟神","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c020","第五回合，入甚深禅定，入地府，见了阎罗王，互相谈叙之际。","突然“森罗殿”骚动起来，竟然一刹那，撞入了数千人之众。","阎罗王问鬼使：“怎么一回事？”","鬼使答：","“人间瘟疫，一下子死了这么多人。”","阎罗王对我说：","“卢师尊，你知道你的功德有多大？”","我答：","“不知道。”","阎罗王说：","“你的功德如天那么大！”","我有些莫名其妙，什么功德如天那么大，我从来没有想过。","阎罗王说：","“有一年，天帝勅令五路瘟神齐齐下降人间，人间将遭遇数百年来最大的浩劫，这五路瘟神非同小可，将把人类收拾了一大半，甚至扩及全世界，全世界人心惶惶。”","","阎罗王继续说：","“那时，正值你隐居，你为了救众生，上升到瑶池仙境，取得瑶池金母的仙袋，下了娑婆，以仙袋收了五路瘟神。那场原本收拾人类的大瘟疫，才一下子便无影无踪，原本是人类大浩劫，全被你一次解救了。”","我说：","“是有这样的事。但，我以为那只是一场小瘟疫，人类可以自行控制，并非瑶池金母仙袋之功，真的是人类大浩劫吗？”","阎罗王答：","“天帝原要人类死灭过半才肯罢休，却被你无意中救了。天帝看在瑶池金母的金面，只得平息了一场浩劫。你难道不知道，你一下子收拾了五路瘟神吗？”","我毛发悚立，真的不敢相信。","","阎罗王说：","“因为娑婆人间有你在，你又叫你的弟子念大救难咒，有了瑶池金母的仙袋及大救难咒，才化解了人类这一场危机。”","我张开口，目瞪口呆。","我问阎罗王：","“天帝为何要毁灭人类？”","阎罗王答：","“天帝看人类，人心愈来愈自私，人心愈来愈愚蠢，人心愈来愈臭秽，举止动念全是罪。尤其人类杀盗淫妄，完全无羞惭之心，因此天帝大怒，故而降灾！”","我说：","“这人间尚有多位圣贤行慈悲之教！”","阎罗王说：","“少数。”","我说：","“另外，佛法大弘，能度世人！”","阎罗王说：","“表面。”","“为何是表面？”我问。","“名利而已。”阎罗王答。又说：“这天地之间，这人间之大，真正悟道的人无几，你卢师尊是其中的一位，可惜你再如何努力，世人不见，而毁谤有增无减，一个开悟见道的真正佛陀，被人如此污蔑，十大阎君也不免怒形于色。”","","我哈哈大笑：","“自古以来，莫不如此。”","阎罗王说：","“人类为何如此盲目，对虚伪者盲目吹捧，对悟道者血口污蔑？”","我说：","“毕竟这人间，悟道者如佛陀者，少若白昼之星，而未悟道者，如恒河沙数，想一想，本来如此，何必生气。”","我","阎罗王点点头：","“怪不得上天者少，入地狱的人，多如过江之鲫也。”","我问："
