"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","firstcharacter","chapterbody 48","chapterbody 49","chapterbody 50"
"033 龙王速去","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c033","是在“克麦特岛”的海滨，平静无波的海，突起大风浪。","原来是“八大龙王”来皈依。","当时在现场，有“莲信上师”等人为见证，确实令人震撼。","晴天。","无风。","风平浪静的大海。","突然涌起八股涛天大浪。","“莲体法师”也说。","“八大龙王来皈依，实在太不可思议了！”","","●","","又有一回，我出游，乘船出海，那天同样是晴天，也没有风，船走得非常平稳，天蓝、海蓝。真是一幅自然的大画作。","我想起一首诗：","天天天蓝。","蓝天天天。","又：","小小江山国。","轻轻袈裟衣。","波光清作面。","天势碧成圆。","","这么好的诗，这么好的天，这么好的海，这么好的出游，令人心旷神怡，大家快乐的不得了。","船行大海之中，我屡次闻到奇香，一阵又一阵的，芬芳馥郁的香息不歇。","突然－－","暴风忽起。","波浪跟着汹涌。","风急浪涌，我们那条船，简直就成了漩涡中的一片树叶。","风愈吹愈大，浪愈涌愈凶，小船好像要被掀翻了。","同门有吐了的。","有抓紧柱子的，椅子的。","有的诵念咒语。","这风来得奇，浪也大得奇，怎么好好的风平浪静，一刹那就变得好像船势必要沉没了也。","","有一位同门大叫：","“大黑浪！”","又有一位同门大叫：","“师尊救命！”","我正心端意，内观《通天之书》，上书：","“龙王来朝见卢师尊。”","我一下子明白，原来我嗅到的香，是“龙涎香”。波浪大起，是龙王及诸龙来朝见我这位法王。（佛王之王）","我立于船头。","向虚空写了四个字：“龙王速去！”","这四字才写完，只一刹那，风止了，浪平了，海面完全恢复了平静，刚刚发生的，简直像一场梦，不可思议的难思议。","","诗曰：","风吹浪就飞。","我","云遮日光辉。","原是龙来朝。","勅令平安归。"
"034 蛇与鼠","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c034","一名弟子，姓萧名山，他得了奇怪的痛症，为什么是怪症？","因为他的痛，会跑。","痛一会儿在“头”，又一会儿在“脚底”，又在“喉”，又在“四肢”，又跑到“心”，又跑到“肚子”，又跑到“后背”，又跑到“前胸”，最后跑到“肩膀”，也跑到“腰”。","萧山的痛，非常惨烈，哀爸叫母！","他当然找医师。","无因。","打针无效。","吃药无效。","针灸无效。","按摩无效。","全身扫描，不知为何引起疼痛？","他来找我。","","我用“天眼”一看，看见一条“青花蛇”，细细长长的，在萧山的全身游走，游到那里，他就痛到那里。","“怎办？”","我内观《通天之书》，上写一“鼠”字。","这下子我迷糊了。","“鼠”字何解？","我思考这“鼠”字，又想到“青花蛇”和“鼠”之间到底有何关联？","有一天，禅定。","我见到孔雀明王。","孔雀明王对我说：","“卢师尊，萧山的痛症，是青花蛇的缘故。而要引青花蛇，离开萧山最好的方法，其饵就是鼠，萧山须念你的心咒，等蛇跃出，卢师尊在萧山身上做结界，此痛症自可痊愈了。”","","●","","我由天书，见一“鼠”字。","再经过孔雀明王的启示。","我明白了。","我先请萧山居士禅定持根本上师心咒：","“嗡。古鲁。莲生。悉地。吽。”","在萧山之前，用铁笼子，装了一只老鼠，置于痛症病人的正前方。","如此，约半个时辰。","只见萧山居士，一声打呃，口一张，一条青花蛇从口中飞出，直向铁笼子里的“老鼠”咬下。","老鼠“吱吱”惨叫，死了。","青花蛇欲回萧山身上，此时我已在萧山身上作了结界。","青花蛇只有施施然，吐舌摇尾而离去。","（无形）","自从作了这一次的法，萧山的痛症，便完完全全的痊愈了。","这是很神奇的妙法，把缠身的青花蛇引出，这个法术，可算是千古奇闻吧！此事相当传奇。","人人乐道！","","诗曰：","何物身上栖。","痛症叫人迷。","唯祷天书救。","蛇精才奔离。","有","","",""
"035 雷声隆隆之日","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c035","○○八年七月一日，那天清晨，我刚修法静坐，一阵又一阵的雷声隆隆，而虚空中的闪电，一条又一条，闪电及雷声，没有间隔过。","这令我想起，中国有一个小乡镇，听说雷电特别多。","曾经有一回，一整天雷电不止，闪电打雷竟达四千次。","据说：","焚屋数栋。","被雷击中的树木无数。","被雷电打死的人也有七人。","这个雷声隆隆之日，在美国“西雅图”是很少看见的，很少有。","电光四面八方而来。","雷声震天而响，有嘶裂之声，连地都震动了。","“劈利叭拉！”","大地被震得跳跃。飞砂走石，掩天遮日，一阵闪电，一阵雷，有时八道闪电一起下，那雷声使人耳聋。","","我心中嘀咕：","“怎么回事？”","而这些闪电，在我的房屋四周，一条又一条电蛇，连下好多条。","雷声的轰隆，就在屋顶，连家中地板也跳“曼波”了！","我向虚空发问：","“怎么向我打来？”","虚空中，九天应元雷声普化天尊答我：","“捉逃逸的八爪鬼魔。”","我说：","“我这里岂有八爪鬼魔？”","九天应元雷声普化天尊答：","“明明看见躲入你家，却突然不见了踪影，这真奇怪？”","我不再多说什么，只专注我的修法，我修法时，顶放三光：","佛光。","白光。","灵光。","","这三光一放，雷公电母，雷部正神，便匆匆的离去了。","一刹那，晴空无云，雷电均止，这打雷闪电有二小时有，二小时后，一切恢复正常。","我在坛城前，站立起来。","一只八脚的“金龟仔”，从我袈娑掉了下来，那只“金龟仔”仿佛向我顶礼三拜，爬啊爬的，伸出双翼，从窗口飞了出去，飞出去就不见了。","我很讶异，我袈裟内竟有一只八爪“金龟仔”。","我内观《通天之书》，上书：“误救魔族！”","啊！原来“金龟仔”就是“八爪鬼魔”。","我内观《通天之书》，问怎办？","书中二个字：“因缘。”","","诗曰：","八爪鬼魔飞。","雷电拼命追。","寄语鬼魔族。","潜心真忏悔。","","","二","","",""
"036 突然“心血来潮”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c036","○○八年七月六日的晚上，我、莲香上师、陈晓峰，三人在超级市场。","主要是莲香上师想买一种特殊的肥皂，这特殊的肥皂是：","天然的。","无添加香料。","无特殊制作。","无刺激性。","这种肥皂，才能适用于特殊体质的皮肤，而不引起敏感性。","我们三人在超级市场走啊走的。","突然，有一股无形的力量在头顶上方，心突然震动了一下。","","这是“心血来潮”的现象，这种现象很难去形容它：","全身凝固。","气由下向上，至顶上“百会穴”。","周身毛细孔贲张，放出光明。","忽然香息周遍。","身子气动，触动了心。","我对莲香上师、陈晓峰说：","“我需要精神集中一下，闭一闭眼。”","我走到较僻静之处，站立，内观《通天之书》，内书：","“慧琳即将往生。”","我即刻站立，一手扶住食物柜，即刻“出了幻身”，一刹那就飞出，马上到了往生者之前。","","●","","且说这位慧琳居士。","在诸弟子的念“上师心咒”之中。","看见莲生师尊至，并化为阿弥陀佛，右有观世音菩萨，左有大势至菩萨，西方三圣来迎接慧琳居士。","慧琳居士，口诵：","“卢师尊化佛在中间，观世音菩萨在右旁，大势至菩萨在左边，西方净土顶上现，等我九品莲花见，一起共西行也。”","说完。","慧琳居士就往生了。","（原来这位慧琳居士，自知时日不多，写信至真佛密苑，要求卢师尊一定要接引，我回答一定亲赴接引）","","●","","慧琳居士临终时，曾大喊：","“卢师接引我！”","大喊：","“嗡。古鲁。莲生。悉地。吽。”","于是，我在超级市场，突然“心血来潮”也，虽然在超市，我也能够一手扶着食物柜，立定，出现幻身，去接引弟子。这位弟子纵然千里万里，我一样能刹那即至，这就是幻身一念的妙用。","莲香上师及陈晓峰问：","“怎么回事？”","我答：","“办事！”","","诗曰：","观音助远接。","二","势至辅遥迎。","卢师顶上现。","净土大光明。"
"037 潭柘寺","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c037","中国北京西郊门头沟区的群山之中，有一座“潭柘寺”。","该寺创建于西晋时期，最初的寺名叫“嘉福寺”，明代改名“龙泉寺”，以后又改名“万寿寺”、“岫云寺”。","最后，因为寺的后山有一“龙潭”，山下有一“柘树”，所以定名“潭柘寺”。","我为何写“潭柘寺”？","因为有一位王明达弟子，赴中国大陆观光，去了“潭柘寺”。","他赫然看见：","“莲花童子在其中。”非常明显，他手上持金刚铃、金刚杵，而且持法是“反扣”持法。只有莲花童子是“反扣”持铃杵的。","他问僧人：","“此尊何名？”","僧人答：","“五佛的化身。”","","●","","“潭柘寺”为何有“莲花童子”（卢师尊）在其中？无人得以知之。","我观《通天之书》。","上书：","“匠人感应”。","我以“幻身”去了“潭柘寺”，问了观世音菩萨，观世音菩萨才告诉我：","有一位匠工，名益修，生了一场怪病，双腿不能行走。","忽一日梦一位神人来告之：","“如果要腿能好，速速雕刻五佛的化身，还愿才能好。”","匠工问：","“五佛的化身，是何形象？”","神人告之：","“五佛的化身，正是现世的卢师尊，他的雕像是持金刚铃、金刚杵，最不相同的是反扣印。”","","神人显化莲花童子（卢师尊）的法相给匠工益修看。","匠工益修看了，觉得非常奇特，因为未曾见佛像有“反扣印”者。","匠工就把“五佛的化身”做好了，在“潭柘寺”还愿。","说也奇怪，雕刻好了“莲花童子”之后，匠工益修的双腿自然痊愈，能够行走如飞了。","我最近发觉到，在我“幻身”出游大陆时，竟然看见很多寺院，均供奉着莲花童子（卢师尊）的雕像，据说卢师尊的雕像出自很多雕工之手，而且在现世之中，是最最灵感的一尊。","我盼望如果有人，去大陆游玩，大家去看看“潭柘寺”，去参拜“五佛的化身”，“莲花童子”（卢师尊）在其中也，其他的寺院也有，请留意。","","诗曰：","天意真玲珑。","雕像一阵风。","却是大灵应。","幻身如飞鸿。","","","","","","","","","在","","",""
"038 九曜老人","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c038","出“幻身”的时候，有一次，遇到一位“九曜老人”，这位九曜老人告诉我，他是一名星宿大师，知道整个宇宙秘密的人。","我问他：","“星宿有何秘密？”","他答：","“星宿从不离开轨道而运行，如果一偏离，就会有世纪大灾祸。”","我问他：","“人与星宿有关联？”","他答：","“每一个人，同样有命运的轨道，原是不会改变的，如同星宿轨道不会改变，但，若有变，也是大吉大凶。”","我问他：","“这是宿命？”","他答：","“正是。”","","九曜老人告诉我：","“卢师尊，你修行的功力，已到无上的境界，你与星宿是一合相，你就是星宿，星宿就是你，牵一发而动全身，你能够呼风唤雨的原因在这里。”","我说：","“如此说来，岂不是很恐怖。我只是一个很平凡的人，我可不愿意牵动星宿。”","九曜老人说：","“修行到无上境界的人，与宇宙是一合相，这些是由不得你了。”","我说：","“我不愿意当罪人，我只希望，宇宙平和，众生安乐，我不愿意星宿变化，人间有大灾祸发生。”","九曜老人，笑笑而已！","","●","","有一位“珍法师”告诉我，珍法师偷偷统计，我受大毁谤时，巧合的是，世界均有大灾祸：","第一次大毁谤——世贸大楼被炸。","第二次大毁谤——南海大海啸。","第三次大毁谤——暴风雪。","第四次大毁谤——汶川大地震。","我告诉珍法师：","“绝无此事，我是小小卢胜彦，心存悲天悯人的心，拯救世人是我的责任，我度众生犹恐不及，这些，和我无干。”","我祈愿：","人间娑婆，人人安乐，人人富足，风调雨顺，国泰民安。","人间娑婆，地不震动，水勿暴急，火山勿爆，风平浪静。","人间娑婆，四季如春，气候温和，收成丰盛，无灾无难。","我翻开《通天之书》。","为什么人间有这么多灾劫发生？","书上只一字：","“巧”。","","诗曰：","天人一合一。","神通如凌波。","但举金刚杵。","便可定星宿。","我","","",""
"039 “永不堕四生”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c039","一日清晨，我做完早课，静坐片刻，忽然看见《通天之书》上面写了五个字，这五个字竟是：“永不堕四生。”","我不知《通天之书》浮现这“永不堕四生”这五个字的用意何在？","经我屈指神算，始知：","一、用毛笔写下这五字。","二、放在问事桌上。","三、必有感应。","","当天下午，有一位何冲先生匆匆来我之处，他面带哀容对我说：","“家母朱氏，已过世六个月，忽来梦示，说在阳世造业，目前正在阴间受苦，受完苦，还要堕入畜生道，家母自知畜生道也是极苦。”","“家母朱氏，苦苦哀求冥王，勿堕畜生道，冥王起先不肯答应，后经家母多次哀求，冥王才说，妳之子，何冲先生，在阳间是卢师尊弟子，卢师尊是当今的天人师，只有卢师尊的律令，才能救妳。”","“家母问冥王，如何救？冥王答，请卢师尊写下，永不堕四生，这五个字。这五个字就是律令，与金纸一同烧化，我们冥王接了这律令，妳就不用堕落四生道，这四生就是胎生、化生、卵生、湿生，如此，妳可以上升天上境界了。”","何冲说：","“今日匆匆而来，就请师尊写下，永不堕四生，这五个字。”","我拿出早已写好的“永不堕四生”五字。","","我问何冲：","“是这五字吗？”","何冲看了大骇：","“正是这五个字，师尊真是神人也，竟然未卜先知。”","何冲惊喜异常。","我淡淡的笑了一笑，说：","“没什么，这就是感应。”","我告诉何冲：","“你要灭你母亲的业障，何不持诵『七佛灭罪真言』，也可持诵『地藏菩萨灭定业真言』，或是『往生咒』，对你母亲均有大益，回向给令慈吧！”","我又告诉何冲：","“印送《观音经》、《真佛经》、《金刚经》、《太上感应篇》，亦可消除你母亲的罪障，你速速去办吧！”","","何冲回去后，一一照办。","有一天，何冲来告诉我：","“母亲朱氏，果然获得救拔，在梦中显现，已头戴天冠，身披天衣，虹光围绕的下降，母亲要我深深的去谢谢卢师尊，卢师尊的五个字，永不堕四生，竟然是大律令！”","我淡淡一笑：","“这是冥王的抬举了！”","","诗曰：","何不修善业。","免得吃大亏。","冥王律令严。","荡子何时归。","","","","","","","","","","有","","",""
"040 红通通的双眼","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c040","○○八年七月，我去了“奥地利”、“德国”、“瑞士”旅行。同行有三十三人。","喜欢说笑话的陈传芳女士，一见面，就对我说：“卢师尊，我自从今年五月，到七月，三个月间，不知何因，双眼红通通，眼红症虽不是什么大病，但，感觉不舒服，人人看见了，都问我怎么回事？”","陈传芳共找了“五位医师”诊治，五位眼科专家都说会好。","但二个月过去了；“眼红症”始终不好。","陈传芳请我加持。","我说好。","当我说“好”的第二天，陈传芳女士的红眼之疾，第二天，就真的好了。","“五位眼科专家，治了二个月，均不见效！”","“卢师尊喊一声好！第二天就红眼退去，竟然就好了！”","（人人啧啧称奇）","","●","","其实这也没什么，当天晚上，我修法时，请来了观世音菩萨。","我问：","“陈传芳女士是怎么回事？”","菩萨答：","“眼血球阻塞发炎。”","“医师为何治不好？”","菩萨答：","“医师只治表面发炎，未能去除淤塞而已。”","“菩萨如何救她？”","菩萨答：","“我用杨枝净水，去洗净她的淤塞，第二天就自然好了！”","我谢菩萨：","“感谢观世音菩萨慈悲！”","观世音菩萨说：","“卢师尊何用客气，你的一道眼科符，自能根治，效果是一样的。但，你请了我来，我就帮你一回而已。”","菩萨自去找陈传芳女士去了！","而医治了三个月的时间，只一过卢师尊，一夜就痊愈了。","读者信不信？","不信，且去问问，美国加州的笑话大王陈传芳女士。","","●","","我在旅欧期间，又听说“台风袭台”，我心急如焚。想找风天神。","我打开天书，一看，上书：","“你已救台湾一次足矣！余者，自作自受吧！”","我怅惘！","我一心一意的想救台湾的灾难，可惜灾劫是重重。","我的心意，又有谁知？奈何？","","诗曰：","怨气台湾聚。","思之泪欲流。","众生且勿怪。","我自上高楼。","二","","",""
"041 帝释天之后","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c041","出“幻身”，见一位天吏来见我。","天吏说：“帝释天皇后邀见卢师尊！”","于是，我随天吏进了帝释天“善见城”。","善见城之宏伟，仍然令我心动。","五栋大殿矗立。","五山一般。","如五指。","其高不见顶。","帝释天天后“舍指夫人”，特别穿着凤冠霞披天衣，降阶迎我。","天后说：","“卢师尊！我遭世人误谤，特请你昭雪。”","我问：","“何谤？”","天后“舍指夫人”说：","“一，世人以为是我挑起帝释天及阿修罗天的天上战争。”","又：","“二，世人以为我是阿修罗之妻，其实不是，世人以为帝释天因我的美貌，所以夺了阿修罗之妻。”","“三，世人以为我的第一位儿子，是阿修罗王之子，其实不是，他是真的帝释天之子。”","","我听了，不动声色，问天后夫人“舍指”：","“你要我如何昭雪？”","天后“舍指”说：","“你在你的书中，写出我本阿修罗最美丽的女人，仰慕帝释天，帝释天见我美貌，便娶我为妻，其他的全属子虚乌有之事。”","我听了，沉默不语。","舍指夫人说：","“你不能为我昭雪白谤吗？”","我观察自心的《通天之书》。","上书：","昭雪无用。","无用昭雪。","原本无事。","自性净洁。","","我告诉“舍指夫人”：","“帝释天，帝释天天后，阿修罗王，这种天上的事，亘古以来，早已流传甚久，众已知之。我卢师尊，岂能因我一语，便可昭雪天上界之事，我是不是太自不量力了，所以我无法遵命行事。”","“舍指夫人”说：","“那永远沉冤不白了？”","我说：","“不管是不是冤屈，但，一心皈依三宝，实修佛法，悟得真性，得如来的般若智慧，世间如幻，天上如幻，还有什么昭雪不昭雪的。”","舍指夫人听了，大悟，说：","“如今，我就皈依卢师尊吧！”","我说：","“不舍一个众生。”","终于帝释天皇后“舍指夫人”于善见城皈依了莲生活佛卢胜彦。","","诗曰：","毁谤无终极。","我","天人也叹息。","但知本无事。","完全不须理。"
"042 金刚座","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c042","说，中阴身（灵魂），有二地去不得：","一曰，佛陀的金刚座。","二曰，女人的子宫。","据我所知，佛陀的金刚座，有不可思议的“结界”，也就是不可思议的幻，那是一切智如幻法门所出生的。","一切佛菩萨，恭敬“金刚座”，如同恭敬佛陀，故金刚座只有佛陀一人可坐，未闻有其他者，可坐金刚座。","又，女人的子宫，是出生“有缘”者的地方，有“缘力”结界。","一切中阴身，除非“有缘”，否则同样近不了子宫。","中阴身有神通，但近不得金刚座，及女人的子宫，这全是有大结界之故。","我出了“幻身”。","由幻身出现金刚王，也就是最胜的，最清净的，最圆满的，最不坏的。","而我这“幻身”，却进入了“金刚座”的结界，而且直奔“金刚座”之前。","这是从来没有的。","从古至今，未曾有人，能赴佛陀的“金刚座”之前。","有大力菩萨问我：","“卢师尊，如何入金刚座结界？”","我答：","“无等无所动，平等坚固法，悲愍流转者，不染一切趣，三界无所依。”","菩萨听了，亦肃然起敬。","","●","","佛陀见我入了金刚座结界，也就从金刚座现身。","佛陀说：","“我让出金刚座，由卢师尊坐，如何？”","我说：","“三世一切佛，都恭敬佛陀，承认金刚座，是佛陀所独有，无人敢坐，我卢师尊也不敢坐。”","佛陀说：","“坐坐无妨。”","我内心犹疑了，佛陀诚意相邀，我如不坐，岂不是违了佛陀本意？","正当我犹疑不决，《通天之书》出现了字：","佛陀金刚座。","现金刚法幢。","是其身心现。","坐之则不敬。","","我一看，就清楚明白了。","我说：","“我虽能入金刚座法界，只因我有金刚藏，有破惑之智，已断最微细的无明，故已是等觉。”","“但，我不能坐金刚座，因是佛陀身心也，佛陀身心是金刚顶，我岂能坐？”","佛陀问：","“卢师尊，仁者何以不仁者？”","我答：","“不仁者亦仁者。”","","诗曰：","不坐金刚座。","仍然是金刚。","据","十方一切佛。","不在坐非坐。",""
"043 听见妇女哭声","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c043","在某日，于“真佛密苑”静坐时，突然听见雷藏寺内有妇女啜泣之声。","声音忽大忽小。","我仔细听了几回，确实是妇女哀祷的声音。","西雅图雷藏寺到“真佛密苑”，距离虽不是很远，但，真佛密苑是听不见雷藏寺的声音，雷藏寺也听不见“真佛密苑”的声音。","我问法师：","“寺内谁哭？”","法师们听我一问，人人惘然。","我再问：","“寺内何妇女哭？”","","这时才有法师说：","“最近几天，常有一位妇人，于午后到雷藏寺来，对着佛菩萨嚎哭一回，又默坐一回，又偷偷的低声的笑。”","法师说：","“我们以为这妇女精神不正常、不稳定，所以没有告诉师尊。”","“多久了？”","“就这几星期。”","我说：","“不管这位妇女，有何怨屈，又有任何疾病，或有何困厄，我们身为法师的，都要趋前去关怀才是。”","法师说：","“我们对于精神不稳定的病患，不敢报告师尊知道，恐怕她又害了师尊，有了前车之鉴，这等精神不稳定的妇女，敬而远之才好！”","我说：","“我佛慈悲，精神不正常，已是不幸，她又有怨屈，我们若不加怜恤，谁来怜恤，我个人不舍一个众生，任何人都应该去帮助她才是！”","我请法师们，多多照顾这方面的妇女，尽量去帮助她们。","如果确实有大困难，我亦可尽全力去协助她。","","这哭泣的女子有三大难处：","一、只身在美国，无工作。","二、二个小孩叛逆。","三、无依无靠。","在二○○八年七月二十六日晚上的同修会，她来皈依我。","我一见此妇女，观了《通天之书》，便知此妇女的一生经历。","这真是一件神妙的事。","这妇女在雷藏寺哭，我在“真佛密苑”，竟听到她的哭泣声。","奇哉！奇哉！","我若不问，法师们隐瞒不说，岂不是少度了一个有缘人？","我当尽全力帮助她。","","诗曰：","学佛觉有情。","度生非虚名。","不舍一众生。","这是真性灵。","","","","","","我","","",""
"044 三只小黑狗","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c044","二○○八年七月二十六日（星期六）的同修之中，由于我刚从欧洲回到美国西雅图，因时差之故，略略闭目。","竟然看见一群人，逃离家园，又看见三只小黑狗。","我看见三只小黑狗，站立在桥墩柱，如同热锅上的蚂蚁，张惶失措。","因为桥下的水，已渐渐淹上桥墩，水流湍急，漫天的大雨，倾盆而下，水位上窜迅速，很快就要淹没三只小黑狗了。","我看见《通天之书》，上书：","“结界”二字。","我把逃离家园的人及三只小黑狗，全部用法力，“结界”起来。","这“结界”是：","无形气罩。","网住人及三只小黑狗。","小黑狗因在无形气罩中住。","可浮于水。","不致于淹死。","我出定后，对同修的同门说：","“我看到一群人逃难及看见黑色的狗。......。”","","●","","后来，我才明白：","原来台湾又来了大台风，这个台风名叫“凤凰”。","由东部登陆，再由彰化出海。","是中度台风。","阵风最高达十七级。","半径二○○公里。","挟带了暴雨。","使台湾的许多城镇淹大水，甚至水流淹没了桥面。","那三只小黑狗，果然是真有其事，有电视台记者摄影到三只小黑狗在桥墩上。","后来水位上升。","三只小黑狗便失去踪影。","","等到台风过后，再摄影桥墩，早已不见了三只小黑狗。","说也奇怪的是，三只小黑狗，没有被大水淹没，也没有死，没有被急流给冲向大海，反而是在河岸出现，悠哉游哉，这真是命大。","我看了非常欢喜。","原来“结界”有很大的好处：","一、密教行者可保护自己。","二、避免灾厄。","三、地、水、火、风可避之。","四、可保护自己生命。","五、可保护自己不被外灵入侵。","六、大至国家、家庭，小至坛城及个人，均可结界之。","我亦然明白，四圣六凡十法界，原来都是有“结界”的。","","诗曰：","佛法实便当。","可救诸灾难。","一指全覆盖。","黑暗变明光。","在","","",""
"045 加州大地震","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c045","欧洲旅行的时候，同行的有加州四位大妈，即是：孙爱珍、魏思颜、陈传芳、蒋冠蓉。她们都住在洛杉矶。","美国加州盛传将有大地震。这不是空穴来风，也不是谣言。","而是地震学家说的：","加州是地震带，断层严重。","百年前有过巨大的大地震。","如今能量已聚集了如同百年前惊人的力量，可以达到九级、十级。","只要一地震，足以毁灭整个加州，是难以想像的大灾难。","加州的大地震或然率达百分之九十九。","这是十分吓人的。","住在加州的人，忧心忡忡。","","●","","加州四位大妈对加州大地震自然特别的关心，频频问我，怎么办？","“会发生吗？”","我答：","“会。”（《通天之书》也写会）","“那我们怎么办？”","我答：","“我们学佛的人，照常修行佛法，自有菩萨善神守护，同时要具备地震发生时具有的逃生常识，这是最基本的。”","“师尊可以帮帮我们吗？”","我答：","“当然。”","“怎么帮？”","我答：","“大事化小，小事化无。总之，我能令你们平平安安就是。”","陈传芳说：","“有师尊在，安了！安了！”","我说：","“这可是不能掉以轻心的，你们平时就要准备水、粮食、手电筒、收音机......。一旦发生，逃生的常识一一具足，这样才能躲过灾难。其实不只加州是地震带，美国西雅图也是地震带，我们同样要提高警觉。”","“西雅图有师尊在，美国加州没有。”","“我会为你们祈祷！”","我说：","“地震一来，不要十级，减半吧！或不发生。”","","●","","二○○八年七月二十九日中午时分，美国加州果然发生五点四的大地震。","人们惊惶。","幸好只是五点四，浅层地震。","没有重大的伤亡传出。","我如此说：","“就算再怎么样，我本人具有守护加州弟子的责任，我期盼将结界的力量，尽力去守护加州的弟子们！”","","诗曰：","昔日倾城貌。","今日又来袭。","在","祈愿只半半。","骨肉不分离。","（同修不分离）"
"046 悟佛陀的悟","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c046","一天，我开悟了。","我观《通天之书》，上书“悟佛陀的悟”。也就是我的悟道正是释迦牟尼佛在菩提树下，所悟的完全一模一样。","是真的“悟佛陀的悟”。","我悟了之后——","破生死。","破烦恼。","破梦幻。","破有。","破空。","甚至天地皆破。","等等等等。","我当然明白，什么是大明咒、大神咒、无上咒、无等等咒。","此悟“无上”，故称“无上正等正觉”。","","我当然明白：","身空。","心空。","法空。","性空。","开悟了，当然如是如是。","我很奇怪，当年的孔子圣人，怎会说出，“朝闻道，夕死可矣！”难道孔子也明白佛陀的悟吗？（这个悟，世人很难忆测）","自从我拥有了“佛心印”之后，我从此知道，就是“这个”。","我自知，没有比“这个”更上的开悟，没有比“这个”更珍贵的，没有比“这个”更有价值的，世上的器世间泯灭。","世上的空间、时间、有形、无形，全部泯灭，这是完完全全寂灭的境界。","对于：","权位。","财产。","名誉。","色相。","欲望。","","我只能喊：","“苍天！苍天！”","我这一生，名誉完全破碎，变成完全没有名誉，我也是只能喊：","“苍天！苍天！”","我实实在在的告诉大家，我的开悟，是绝对的。超出权位、超出世上财主、超出名誉、超出色相、超出欲望。","甚至：","“轮回”。","“涅槃”。","我当然不能把“悟佛陀的悟”一下子公开在书上，或在我的演讲上说了出来。因为世人悟性参差不齐的缘故。","如果接近“开悟”者，刹那明白。","未接近“开悟”者，反而毁谤。","故：“不可说！不可说！”其原因在此。","","诗曰：","此世何有怨。","吾已立高峰。","有","悟佛之大悟。","斥破空假中。",""