"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","firstcharacter","chapterbody 52","chapterbody 53","chapterbody 54"
"目录","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c999","序 白空行母现身(序)","001 白空行母抛下的一本书","002 头壳坏掉了","003 破“根本上师”誓戒","004 酱缸的污染力","005 常常想自己必将死去","006 三只碗","007 瑜伽士的宝剑","008 请勿随意毁谤","009 “无明”是轮回之根","010 众生不可思议","011 行者与众生的三昧耶","012 皈依的三昧耶","013 开悟者有三昧耶吗？","014 精进的三昧耶","015 膨风法王","016 瞎猫碰到死老鼠","017 丘长春真人","018 瓜田李下","019 大乐的下堕","020 无的放矢","021 毒舌","022 无止尽的“喋喋不休”","023 舌剑唇枪","024 贪恋世俗","025 不可憎恨","026 傲慢与偏见","027 最最严重的三昧耶","028 佛陀的制度","029 什么是真正行者？","030 以“无我”为第一的教戒","031 “无我”的深密","032 一整出戏","033 “门户之见”是过患","034 论“退失道心”","035 肤浅的“神通”","036 烦恼如何断尽？","037 证量的象征","038 遇见珍宝上师","039 冒滥的上师","040 白度母的警告","041 掉入陷阱的危机","042 幼稚幼稚又幼稚","043 先修对治法","044 斩魔的宝剑","045 内心深层的痛","046 最大的关键","047 修持成就的口诀","048 大圆满的法教","049 最后的警告","050 附录：嶽神受五戒","","","",""
"序 白空行母现身（序）","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c000","日。","我在“吐登达吉”上师处，我的上师对我讲述了一件真实的故事。“吐登达吉”说：","有一天。","白空行母现身对我的上师讲：","“你要速去台湾，找一位姓『罗』的，这位姓『罗』的，在这个时劫里，会是一位珍宝上师，将来成就果位，这位上师的报身就是阿弥陀佛。”","“吐登达吉”最初不以为意。","但白空行母屡屡出现。","于是我的上师带着侍者“吐登其供”到台湾弘法，顺便寻找姓“罗”的。","找啊找的。","始终没有找到一位姓“罗”的。","“吐登达吉”上师找不到姓“罗”的，非常的沮丧。","过了不久，我主动皈依了“吐登达吉上师”，上师为我取法号：","“吐登其摩”。","又有一天。","白空行母现身，我的上师对白空行母说：","“在台湾，找不到姓『罗』的。”","白空行母回答：","“他早就在你的身旁，他就是卢胜彦，你传授他内密三部甚深不共口诀吧！”","我的上师说：","“他姓卢不姓罗？”","白空行回答：","“台湾话，姓卢的发音就是罗。”","“卢”的发音是“罗”。","吐登达吉上师恍然大悟。","所以，我在吐登达吉上师处，成为他的主要弟子，所有内密口诀均得自他的传授，无与伦比的灌顶，加持力源源不绝。","我在吐登达吉上师处得到：","咕噜咕咧佛母灌顶。","无上密灌顶。","大威德金刚灌顶。","时轮金刚大灌顶。","......。","甚至在“吐登达吉上师”入灭后，仍然现身，传授我不共的法教。","我感恩顶戴。","","●","","有一天。","白空行母现身对我说：","“卢师尊，你要写一本书，你有责任写这样的一本书。”","“什么书？”","白空行母从虚空中抛下一本书给我。","我翻开一看，大骇！","白空行母说：","“写吧！这是警惕你的圣弟子，在险地上，在歧途上，叫唤他们走回正道的方法！”","我说：","“这！太难为了！”","白空行母说：","“难为而为，也是善哉！此书，众生须读。”","","莲生活佛卢胜彦联络处","Sheng-yen Lu","昔","17102 NE 40th CT","REDMOND WA 98052","U. S. A."
"001 白空行母抛下的一本书","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c001","文“序”中提到，白空行母从虚空中，抛下一本书给我，我这一翻，大骇。","此书书名：《极机密下三恶道名册》。","我翻了一翻。","吓得我手足无策。","第一页：","很多行者，从皈依金刚上师开始，皈依佛，皈依法，皈依僧，修习外法、内法、密法、密密法。他们对三宝保持不动的信心。","向上师。","向三宝。","祈请及献供。","这些都是修行所必须的。但是，他们忘了“持戒”是修行的根本。","因为没有“持戒”，所以在“业缘”上，将堕落到三恶道中。","这三恶道，就是：","“地狱”。","“饿鬼”。","“畜生”。","在书中，例举了一些“因”及一些“果”。触目惊心的是，有不少熟悉的姓名，出现在我的眼中，那是熟得不能再熟的名字。","因此，我泪流满面！","这怎么办？这怎么办？这怎么办？这些熟悉的弟子“堕入三恶道”，是堕落定了。如何挽救他们，答案是：","“还净法！”","","●","","什么是“还净法”？","原来是忏悔自己所犯下的戒律，速速在诸尊面前求忏悔。","向根本上师当面悔过。接着重新皈依及灌顶，誓愿守五戒、八戒、菩萨戒、行十善法、发菩提心。","直至“忏相”出现。","便可脱离了堕入“三恶道”的险地及歧途。","如果不如此：","一定堕落三恶道，求出无期。","","●","","我们学佛者明白：","守五戒——人道。","行十善——天道。","守小乘戒——阿罗汉。","修十二因缘——缘觉。","行六度——菩萨。","发大菩提心——佛。","","许许多多的佛菩萨示现各种不同的身貌与形饰，教导我们守着各种不同的誓戒，我们见地须“高”，但修由“戒”起。","（也就是从最初的戒起修）","佛陀示灭，留下最重要的一句话：“以戒为师”，这就是佛陀的旨意了。","无上正等正觉的佛陀，只将一个“戒”字留下，吾等信众岂能不守？","如果不守戒，能成就佛果，吾等不信。","","书上明示：","修习守戒，并且对何者应该避免，何者应该遵行，如此修行，才能在正法的轨道上。","守戒之力，无远弗届，舍弃不当的恶行，就是对治烦恼的法门，戮力守戒吧！","守戒崇高。","守戒清净。","前","守戒功德。","如此修行才能得力。",""
"002 头壳坏掉了","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c002","《极机密下三恶道名册》之中，列名几位特殊的人物，我隐去他们的姓名。","有一位是“财政”，由于自己欠钱，将公款私吞，卷款而逃。老天！那是道场的钱也！","有一位是“堂主”，由公家的道场，变成私人所有，等于将整座道场，属于私人所有。","有一位是“弘法人员”，将整座寺庙全吞下去了，从真佛宗的旗下，逃之夭夭。","等等等等。","他们全列名在《下三恶道名册》之中。","","我以前在说法中，曾说：","“日本的治安，比较好些，盗贼比较少。为什么？因为日本人从小就教育，不是自己的东西，不要去取！”","就是这么浅显。","就是这么简单。","就是这么单纯。","但是——","为什么有些人就教不会？","","●","","我曾对人说：","“一个是解脱生死的佛法，另一个是金碧辉煌的寺庙，这两样，你选择哪一样？”","有智慧的人，选择“解脱生死”。","头壳坏掉的人，选择“寺产”。","我如此说：","佛法的重点在：","出离心。","菩提心。","中观正见。","这世界上的修行人，如果为“寺产”而争执不休，或私吞“寺产”，是不是很丢脸的一件事？实在“没见笑”（台语）。","寺庙是世俗物。","寺庙立于大地。","寺庙是任何人也带不走的。","“寺”、“堂”、“会”、“钱财”均是如此。","","所以，在卢师尊的心中，只有“佛法”，心依止在殊胜的觉悟上，除此之外，岂有其他？","所有众生，尤其是行者，都应该知道出离“世俗”，出离“物质”，出离“钱财”。","如果不修出离。","反而贪染世俗，便是犯戒！","白空行母在书中说：","“尤其修行的公家财物，如果盗取，其罪业更重。”","在地狱中：","那位“财政”将吞溶化的铜汁，烧焦自己的喉咙。","那位“堂主”将下油锅。","那位“弘法人员”将用飞轮，天天给他开脑，因为他的头壳坏掉。","......。","","岂不闻一首偈：","施主一粒米。","大如须弥山。","如果不修行。","披毛戴角还。","","一粒米就如此重。","在","“道场钱财”、“整座堂”、“整座寺庙”，你如何还？","请扪心自问，在深夜中。你的世俗享受、受用、食睡、是你应得的吗？","你是在修行吗？"
"003 破“根本上师”誓戒","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c003","空行母说：","“对于阿弥陀佛化身的卢师尊，一皈依之后，只有守护根本上师的誓戒。”","为什么密教的根本上师如此的珍贵，因为卢师尊就是佛的化身。","能为人天之师，教授所有的秘密佛法，能“指引”、“救赎”、“破迷”、“教示”、“接引”。......","一切的本尊、护法、空行、诸天，全因为根本上师的教示才出现。","汝当视师如佛。","守“事师法五十颂”。","但是：","破坏“根本上师”誓戒的人，实在不少，所以真正得到成就者就如同清晨的星星，寥寥无几了！","","例如：","提婆达多原是八大王子出家，是佛陀的大弟子之一，跟佛陀很亲近，且是亲戚。","他最后攻击佛陀：","一、住豪宅（竹林精舍）。","二、穿锦衣（最好的法袍）。","三、食佳肴（受供）。","......。","对释迦牟尼佛起疑念，想占位领导僧团，破和合僧，煽动五百比丘，脱离佛陀。","破了誓戒，于是下堕地狱。","","例子二：","西藏“赤松德赞”王，迎莲华生大士入藏，又皈依莲师，但，信心薄弱。","初时，莲师与移喜蹉嘉的修行，被信仰苯教的王臣指责：","一、违法。","二、破俗。","三、神棍。","四、无耻。","最后，赤松德赞王，将莲华生大士逐走，将移喜蹉嘉流放“艾巴”。","赤松德赞王也犯了誓戒。","幸好，赤松德赞王有悔过，有修“还净法”，才能免入三恶道。","","●","","现今。","阿弥陀佛化身的卢师尊，同样受一名女子的攻击。这一名女子，接触过的人，都知道，她是......。","她毁谤卢师尊。","自然犯下了“破根本上师誓戒”。","而受其影响的圣弟子，如果深信片面之词，起了疑惑，无坚定的信心。","等同犯了“破根本上师誓戒”的人。","敬师。","重法。","实修。","当然不成，下三恶道的因缘反而具足了！","","●","","我卢师尊誓言：","“若敬师、重法、实修，若不成佛，我卢师尊负责！”","“我视众生如己，发大菩提心，平等视众生，是利益众生的。”","“我从来不害众生。”","“我证知佛果，无我执、法执。教授六度及大悲，禅修空性，无烦恼，无生死，增善减恶，身、口、意清净。”","白","圣弟子要以“正念”及“良知”的铠甲，来守护“根本上师誓戒”是必要的。","",""
"004 酱缸的污染力","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c004","空行母说：","“远离破戒者，远离邪人，是必要的。因为相处在一起，必被污染。”","首先，我对这句话存在着“异议”。","我说：","“一个证悟者，不是要视众生平等而无分别吗？依佛性论，破戒者亦有佛性，邪人亦有佛性，岂可分别善恶？”","白空行母笑了：","“只有卢师尊，平等无分别。但，尚在修行的行者，是要远离污染的。”","白空行母说：“看啊！”","一个破戒的弘法者，会带走一个同修会。","一个破戒的弘法者，会带走一个分堂。","一个破戒的弘法者，会带走一个雷藏寺。","为什么？","答案是“污染力”。","","●","","卢师尊终于恍然大悟。","孟母为什么要三迁？","近朱者赤。","近墨者黑。","","我想起了韩国人的“酱缸文化”，他们的酱缸好大好大。里面放糖、放盐、放醋、色素、香精、酸、甜、苦、辣等等等等。","于是，将所有的青菜放了进去。","埋入土中。","取出后，则成酱菜。","没有一种青菜能保持永远的清白，只要一入酱缸，必成酱菜。","这就是酱缸的污染力，酱缸是非常可怖畏的，入鲍鱼之肆，久而不闻其臭，言之有理。","又说：","十里不同风。","五里不同俗。","这“风俗”全是环境导致的后果。","","如果我们发觉了，弘法者渐渐偏离了“传承”，弘法者非常的“自满”，弘法者非常的“高傲”，弘法者自认有“功德”。","弘法者不屑于“根本上师”。","弘法者自认为自己最“伟大”。","弘法者批评：","“根本上师”。","“佛陀”。","“真佛密法”。","“其他弘法者”。","牢记住、要牢牢记住，这位行者已经摇摇摆摆了。在“敬师”、“重法”、“实修”上，他已是一个破誓戒者。","白空行母说：","“速速远离！”","","纵然你这位行者，穿着干干净净的白袍，然而，你处在一处污浊的泥泞之地，那些黝黑的污水，肯定会污染白袍，让你的白袍沾上了黑点。","同样的，纵使自己的三昧耶是清净的，也必然会被他人损坏的三昧耶所污染，成了一个一丘之貉。","在密教来说，只要你对根本上师、根本上师的法、根本上师传承、佛、法、僧，掺杂了一丝丝的怀疑，那就得不到相应的成果。","慎之！慎之！","牢记！牢记！","要远离破戒者呀！","","白","","",""
"005 常常想自己必将死去","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c005","空行母说：","“常常想自己必将死去，如此，可以避免破戒的行为。”","我说：","“我已证悟无生无死，本无生死，修习无死虹光瑜伽，且已证悟，那何必常常想到死呢？”","白空行母说：","“卢师尊的无生无死，本无生死，已是最高的无上正觉。自然任运自在，不执着依恋。但，一般行者及凡夫不同。”","白空行母又说：","“一般的行者凡夫，都是有执着依恋的。由于执着依恋才会犯下破戒的恶行。”","例如：","贪婪财物。","迷恋女色。","争夺高位。","享受美食。","荣华富贵。","这是世俗人的贪婪依恋，永远不会满足的。一个修行人，也一样会受其污染，而犯下了破戒的行为，所以常常想：","“自己必将死去！”","","人生苦短，所以不需苦苦追求世俗的事物，避开了污染之源，就不会堕落到三恶道的歧途。","牢记必将死去，毕竟无所得。","牢记来生无限，早证解脱。","","在台湾，我常说：","“经营之神，王永庆，他得到了什么？陈水扁总统，又得到了什么？还有温世仁，他又得到了什么？”","财。","名。","色。","最终全是空空如也！","我们修行人，如果因为贪婪财物、迷恋女色、争夺高位。","是“破戒”的。","必将死去！一切无所得！应该摒弃苦苦追求世俗之乐。否则，破戒难免，下三涂恶道难免矣！","我们相信因果，不管再怎么微细的恶行，仍旧会导致恶果。","","普贤菩萨偈：","是日已过，命亦随减。","如少水鱼，斯有何乐？","","●","","我们的弘法人员，很多位都被看出“贪婪财物”的，这些人，心中有数。","他们被列名在《极机密下三恶道名册》之中，因为他们爱钱。","这是很容易被看出来的！","反正，这个也要钱，那个也要钱，只要进了雷藏寺，一定被敲得断腿，用爬的，才爬了出来。这些爱钱的，实在有够夭寿！","","我个人主张：","“一切随意！”","随意乐捐，才是如法的！","强求，就是破戒！","以前世因果恐吓，也是破戒！","有些弘法人员，他们的戒律已受损了，但他们无动于衷，不但如此，继续违犯下去，掉入泥沼，愈陷愈深。","我奉劝：","“常常想自己必将死去！钱带得走吗？速速脱离险地才是呀！”","白","","",""
"006 三只碗","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c006","空行母说：","“你当用性命来守护誓戒！你当用性命来守护誓戒！你当用性命来守护誓戒！”","白空行母说了三遍。","我很惊奇，一句话说了三回。","白空行母说：","“不用惊奇！誓戒是解脱的根本，解脱比性命更重要。所以不管你做什么事，都要如法，合乎誓戒，如此才能累积『资粮』、『功德』、『智慧』。”","","白空行母说：","“有三等人永远也无法解脱。第一等人，他根本不想解脱。第二等人，他一直在做不如法的事。第三等人，他的内心充满了五毒。”","","这句话警醒了我，令我想起“三只碗”的比喻：","一、覆碗——碗是覆盖着的，这等人不信有佛，不信有轮回，不信有因果，根本什么也不信。法乳想倒入碗中，此等人根本无缘。","（佛无法度化无缘）","二、破碗——碗已经破碎了，或是已经破了一个洞，或是裂了缝。这表示这个人的誓戒，已经破了。法乳想倒满碗，结果是流失了，永远也无法添得满，此等人无法解脱。","三、脏碗——这只碗没有破，只是这只碗是脏的，不清净的，用脏的碗来盛法乳，结果法乳也弄脏了。表示这等人的心很脏，充满了贪、瞋、痴、疑、慢。如果不清净，照样无法得解脱。","","白空行母说：","“重新皈依，马上忏悔，再受誓戒。就是还净的法门。”","碗朝上。","新碗。","洗净的碗。","（这才是正法器）","","●","","我卢师尊深深明白，白空行母的一片苦心，祂一直在帮助我救度众生。","白空行母具有最大的慈悲心。","祂希望被列入《极机密下三恶道名册》中的人，急急反省。","重新上路。","人之一生，除了证得佛果与利益众生之外，其他都是没有意义的。","不要去执着世俗。","世俗就是轮回之根。","先要如法的修练——","修出幻身。","修出虹光。","无惧于死亡及整个宇宙的毁灭。","要知道如何融入净光。","要知道如何证四圣位。","要知道如何去圆满佛果。","要知道如何自在如何任运。","","●","","我的誓愿是，不舍一个众生，我的法侣当然是无尽的，是不可思议的，有五百万个法侣也好，有百万也好，有十万也好，只有二个也好，我当然知道这全是一体的。","我要让我的法侣，分享内心的觉醒：","无漏法。","拙火法。","明点法。","（大乐成就、净光成就、幻身成就、虹光成就、无死成就、无生成就、自在成就、任运成就、大圆满成就）","","","白","","",""
"007 瑜伽士的宝剑","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c007","空行母说：","“瑜伽士的宝剑，是守护誓戒的。守护誓戒才能如法的修行，日常的生活，就是修行，这日常生活也是在誓戒之中。”","“什么是日常生活的修行呢？”","白空行母说：","“食”的修行。","以肉、植物、矿物为食。","以“甘露”为食。","最重要的是以“气”为食。","（凡是有性命的，先供养、超度、感恩）","","“衣”的修行。","穿法衣变成甲冑。","或穿单衣或赤裸裸。","修出“拙火”或修出清净的“光明”，这是真正的“衣”。","","“语”的修行。","任何事均要持秘密的咒语。","清净自己的语言。","柔软的语言、随顺的语言、善良的语言、真实的语言。","或沉默让能量流动。","一切无聊的话尽量勿交谈。","破誓戒的话，一句也不可说。语就是“真言”。","","“身”的修行。","对坛城做大礼拜，对尽虚空做大礼拜。","对寺、塔、坛城，绕行礼拜。","净化行者的身体。","身要宁静、安住。身就是“清净”。","如果在短暂的时光中，轻忽了，那就是“过眼云烟”。","“意”的修行。","大乐的觉受、清净的觉受、光明的觉受、空性的觉受。","生起大圆满的觉受。","一直在“禅修”之中。“禅修”就是“意”。","","“法”的修行。","专一的。","修加行法、上师相应法、本尊法、气、脉、明点法、无漏法、拙火法、明点法、金刚法、无上密法、大圆满法。","依法修行，守护誓戒教义。","一一去证验。“悟”就是“法”。","","“利他”的修行。","以利益众生为第一。","仁民爱物。","依止大乘发菩提心、修行“无我”，不是只顾自己，而是利益他人，帮助他人。","","“大悲”的修行。","视你的仇人如同父母长辈。","爱众生如同自己。","视一切世俗的东西，例如：房子、汽车、金银珠宝、金钱如同粪土。","去帮助他人。","布施他人。","白","能“舍”一切世俗，就是“大悲”。","","●"
"008 请勿随意毁谤","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c008","空行母说：","“当你并不了解一位行者，或只是听来的，或片面之词，就请勿随意毁谤。除非你已完全证悟了般若，你完全有了他心通。否则，请勿随意毁谤。”","“毁谤”是世人的通病。","最容易犯的誓戒，属于口业。","","世俗人容易毁谤他人。","行者也不例外。","行者易犯毁谤其他的宗乘。","行者易犯自赞毁他。","行者易犯挑其他行者的过错及迷妄。","行者毁谤其他的教法。","行者有宗教的偏见，不了解而毁谤“宗师”及其弟子，所以舍弃“偏见”及“执着”是非常重要的。","","●","","我在台湾时，看了几本书，是毁谤“密教”的，尤其是西藏密宗。","这几本书，是一位学“唯识”者所写，他更批判了密教祖师“莲华生大士”。","这位行者，也批判了三论宗师“印顺导师”。","他认为：","西藏密教“邪淫”。","“莲华生大士”是“邪淫的魔”。","“印顺导师”只认定六识。至于“七识”、“八识”，印顺导师认为只是“唯名”是错误的。","","我特别在此说明：","莲华生大士有五位特殊成就的女弟子，她们都是莲师的法侣。","这五位是：","移喜蹉嘉。","曼达拉娃。","释迦爹娃。","卡拉悉地。","达絺。","这五位都是得大成就者。","另外经续中有记载的，除了这五位之外，还十五位得成就的。","除了这二十位之外，还有更多。","她们都是莲华生大士的“明妃”。","因此，“莲华生大士”被毁谤成邪淫的祖师。","西藏密宗是邪淫的宗派。","","据我所知：","莲师的“双身法”是有秘密意的，属于无上的秘密，此法的修习，易得“大乐”、“光明”、“空性”，对密教“气”、“脉”、“明点”均得大用。","“无染的”。","“超脱的”。","“圆满的”。","这种秘密的传承，是恰当和正确的，是生起次第及圆满次第的结合，以方便法门达致超脱的如来智慧。","（这是世俗人难以理解的，所以令人垢病。写书的行者当然尚未证验此法，所以毁谤难免了）","由于不知秘密意，犯了毁谤的口业，这是这位行者的破誓戒。","这位行者以“唯识”，攻讦其他的宗乘，这也是犯了毁谤之业。","","我认为：","这世间，太多的人，均犯了毁谤的口业，只因为众生盲目的居多。媒体的渲染，众生之口的错误传播，有心人士的谣言。","于是，不正确的信息流布于世间，真正的“真相”被湮没了。","白","这世间，行者应保持沉默！避免犯戒！","",""
"009 “无明”是轮回之根","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c009","空行母说：“从无始以来，人们已经转世了无数次了，但，始终未能终止轮回，未成就四圣位。究其原因，是『无明』障碍的过患。”","白空行母的这句话，令我感动深深。","是的。","很多很多人，他们的人生过程“大同小异”：","“出生”、“幼稚园”、“小学”、“初中”、“高中”、“大学”、“硕士”、“博士”。","“就业”、“退休”。","“结婚”、“成家”、“生子”。","“子女结婚”、“子女生孙”。","“老”、“病”、“死”。","","所以陈传芳说：","一岁出场亮相。","十岁学业至上。","二十岁春心荡漾。","三十岁职场闯荡。","四十岁稍微发胖。","五十岁老当益壮。","六十岁血压向上。","七十岁记忆渐忘。","八十岁摇摇晃晃。（走路不稳）","九十岁迷失方向。（失忆）","一百岁挂在墙上。（去世）","","这就是“人生”，大致上，很少人能脱离这个框框，这个人生的模式。","在这模式中，所有的人，对世俗事物穷追不舍，因为穷追不舍，便有了“贪”、“瞋”、“痴”。因此，煽动自心，犯了很多的黑业，黑业累积，造成了下“三恶道”的因。","白空行母说：","“这是无明！”","","我说：","如果有人能有机会接触到“佛法”，这真是三生有幸，因为只有佛法能接引你，离开俗世，进入圣域，解脱轮回，达到四圣界。","有些人虽然已接触了“佛法”，也遇到了“大善知识”，但，仍然受不了世俗的诱惑。","和增长恶行的人为伍。","追逐功名。","贪色。","伤害别人。","强取豪夺财物。","为贪食而杀生。","贪豪宅、名车、珠宝。","","白空行母说：","“这一类的追逐，往往煽动自心造恶，永无止尽的追索而不疲惫，是快乐与痛苦的循环，不是得，就是失，不能让自心安住，也是无明。”","","我个人认为：","行者要专一的修持佛法。","始终将自己的身、口、意清净是绝对必要的。","要出离世俗。","自己想办法，对治世俗的贪求。","不只自己学习对治，还要度化他人学习对治，这是菩提心。","最重要的，不要有自私之心，时常观照自己是否自私。","更重要的是，要爱他人更甚于自己，这就是大慈大悲的心。","","白","白空行母说：","“只有这样的人，才叫真正行者，才算是出离了无明。”",""
"010 众生不可思议","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c010","空行母说：","“众生不可思议，一个行者须以众生来锻炼自心，如此，对众生用慈悲，发菩提心，才能成就佛道，这就是佛出世间。”","我觉得这段话，不可思议。","我说：","“众生非众生即是众生。”","白空行母答：","“这是大悟者才知，所以是不可思议。一个行者，要成就佛菩提，要为众生而修习，一切为众生，借此才成就佛菩萨。”","我说：","“若无众生。”","白空行母答：","“无法成佛。”","“何以故？”","“菩提心无由发起故！”","","●","","卢师尊在此提醒所有的修行人。","就算你拥有般若之智，拥有最大法力的咒语，拥有大神的力量。","但，没有众生。","你发不起菩提心，就无法有成就，就算有成就，也等于零。","这是非常奇妙的一件事。","","我在一次说法中，如此说：","“卢师尊是一位具德的大善知识，但是若无众生来听佛法，有何屁用？”","不如涅槃算了！","不如入灭算了！","套一句现代话“毫无一点成就感！”","","所以，要依着众生，生起菩提心，这点就是成佛的口诀。","因为有了众生，才会有“烦恼”和“世俗”，行者要对治烦恼和世俗，这才会禅修。","行者因有了众生，修行除去一切世俗的“污染”，及世俗的“攀缘”，这才是大瑜伽士。","行者不贪图世间八法。","行者要救度众生。","行者在基本上，认知情器世间也是幻影，我们不堕落在幻影之中，而沉沦下去。我们借着幻影的众生，对治烦恼，发菩提心。","（这是白空行母的口诀）","","●","","我如此的说明，也许仍然有很多人不能明白和了解，或许会生起矛盾。","总之，我的旨意是：","行者不离众生。","又不受众生污染。","行者不执着世间八法。","对世间发菩提心。","行者要度化众生。","一切众生的幸福快乐，来自于佛陀的法教。","众生有苦有乐。","众生有善有恶。","行者在众生之中，要善护自己的誓愿及三昧耶，守戒律，不被腐蚀。","这样才叫“修练”。","我个人明白“白空行母”的旨意和口诀，一个行者和众生种种的关系。","白","众生可以帮助行者。","众生也可以毁灭行者。","众生实在不可思议，我的誓愿是，不舍一个众生，其意义在其中。"
