"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","firstcharacter","chapterbody 52","chapterbody 53","chapterbody 54"
"024 贪恋世俗","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c024","空行母说：“行者应该避免贪恋世俗，因为贪恋世俗，不会上升，反而下堕。世俗包括一切有形无形，例如：名位、财物、美色。”","白空行母说：“行者的出离心是很重要的，如果没有出离心，修行无益。所谓出离心，当然要避免贪恋世俗。”","白空行母说：“不肯布施、贪他人的财物、贪美色、贪非自己之物、贪执美好之物，均是贪恋世俗。”","","我说：","金钱。","黄金。","珠宝。","股票。","豪宅。","名车。","这些都是美好的世俗之物，拥有不是不可以，而是不要太贪执，不要有了还想更多、更美好，积存世俗之财物，就是贪恋世俗。","我们都知道，生不带来，死不带去，世俗之物是“无常”的。就算富豪也只是一时，就算高官也只是一时，就算名人也只是一时，就算美色也只是一时，全部都是一时而已。","所以，白空行母要我们不要紧攫财物、名位、美色不放。","修行人了知一切“无常”。","不会去贪执。","不会舍不得布施。","应该要自然来，自然去，来就来，去就去。一切世俗美好，不放心中，如此，就是“无念”之行，“无念”之行，就是“般若行”也。","","●","","贪恋世俗有三种因果：","一、会下生三恶道。","二、就算转世为人，会投生在饥荒、干旱、贫困的地。","三、为人小气巴拉。","行者摒弃“贪恋世俗”是非常重要的。","","●","","记得从前有位弘法人员，他跟卢师尊比赛财富。","我有一部宾士车，他买了三部宾士车。","我有住宅一间，他买了住宅十栋。","我后来有了“彩虹山庄”（现已成彩虹雷藏寺），他在中部也建了“摩天山庄”。","他逢人便说：","“我要胜过卢师尊！”","我叫“莲生活佛”。","他的名片印：","“莲○活佛”。","后来他过世了。","我的内心哀痛。","","●","","又有一位弘法人员，他是买卖股票的，常常问我股票的涨或跌。","我说：","“股票不是涨就是跌，不是Ｍ字，就是Ｗ字，只是一时而已！”","我说：","“行者不应玩股票，赚了就喜，输了就沮丧，心牵股票，不是修行人所应有的。”","后来，他背弃“真佛宗”。","他太贪恋世俗了！","贪恋世俗的人，不是一位行者，行者是不把世俗放在心中的。","白","贪、贪、贪，会下三恶道的！","",""
"025 不可憎恨","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c025","空行母说：","“不可憎恨，憎恨一定下三恶道，憎恨是犯三昧耶的，行者啊！慎之！慎之！”","白空行母说：","“贪爱与憎恨，虽然是相对的，事实上，同出于本源，是一体的。憎恨是对人有敌意，只要对人有敌意，就违背了道，如此就会下三恶道。”","白空行母说：","“佛的道理法教，是说，无缘大慈，同体大悲，大慈悲心，发菩提心，这些法教，行者都能明白，但，为什么做不到呢？”","","我听了白空行母的法教，汗涔涔而下。","我知道，做到的人，太少了。","我认为：","憎恨的产生有很多的因素：","一、人与人不合。","二、吃醋。","三、嫉妒。","四、由爱生恨。","憎恨原来是念头的不善，但，由憎恨所产生的行为，是令人怖畏的。行者要避免憎恨，不要因憎恨犯下了伤害自己及他人的恶行。","我们看多了：","人与人不合，杀了对方。","吃醋，杀了对方。","嫉妒，杀了对方。","由爱生恨，杀了对方。","（这是世俗人间，常常可以看到的。修行人要避免憎恨，连憎恨之念也不可有，因为，这是犯三昧耶戒的。）","","我们密教行者，要发四无量心：","一、慈无量——给人快乐。","二、悲无量——解除人的痛苦。","三、喜无量——欢喜的去慈悲。","四、舍无量——连生命、时光均要施舍。","","●","","我个人以为：","站在一切众生，都具有“佛性”的立场；站在一切众生都平等无分别的立场；站在一切众生与自己是一体的立场。","行者不能憎恨！","憎恨一定下三恶道！","例如：","一名女子，攻讦卢师尊不休，卢师尊不可憎恨。","一名背弃弟子，攻讦卢师尊不休，卢师尊不可憎恨。","反之，卢师尊要发愿，不舍一个众生，永远发大菩提心。","如是。如是。","又例如：","美国总统“柯林顿”与“陆文斯基”的事，曾轰动全世界。","这是一个“由爱生恨”的实例。","憎恨是很可怕的。","所以“情人看刀”的例子，非常多，非常多。","爱的时候，天翻地覆，恨的时候，同样也是天翻地覆的。","因为这里是人间，芸芸众生都是世俗凡夫之故。","然而，佛的法教不同一般人。","修行人要领受佛的法教。","“不可憎恨！”","我实实在在的告诉圣弟子，你如果有了憎恨的心，你就不是大乘的行者，连小乘的行者也不是。","白","有人憎恨你，你不能憎恨他，甚至设法救度他，如此，才是行者！","",""
"026 傲慢与偏见","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c026","空行母说：","“自己未证悟，却说自己证悟。这是夸大！自己未得神通，却说自己已得大神通。这也是夸大！因为未证未得，便自夸大，就是自大，也就变成了傲慢。”","白空行母说：","“未证未得的人，自说佛理，就产生了偏见。例如，常见或断见。例如，苦行是至高无上的。例如，宇宙是暂时的聚合体。”","白空行母说：","“这些都是邪见，其结果将堕落三恶道之中。”","","我说：","在这世界上，很少人，很少人，真正了解正见与邪见的分别。","但，开悟者知道。","我说，像宇宙是暂时的聚合体，表面上是通的，但，仍然是邪见。","别人不知道。","我知道。","","又：","世人太半都赞扬苦行，有了苦行，便获得世人的认同，认为道德高深，修行成就。其实这也是邪见。","别人不知道。","我知道。","","又：","早期，我的长辈对我说，人死了，什么都没有了。天堂、地狱、因果、报应、轮回，全是宗教家编出来的。","我一听，便知道，这是“断见”。","死了，什么也没有，这是“断见”。","","又：","有人对我说，他什么也不信，只相信“钱”。只有“钱”才是真的。","豪宅、名车、美女、钻石、珠宝、名利、地位......。均可得之。","一切都是实有的。","我们要在现实世界中享受人生。","我一听，这是“常见”。","执持实有的世界，而不放，这正是“常见”。","这“断见”、“常见”全是邪见。","","●","","我（莲生活佛卢胜彦），可以批评一切行者，为什么？因为我是开悟者。","在这世界上——","如果你未达开悟，而去批评人的话，那就是“诋毁”，那就是傲慢与偏见，以邪引邪，以迷引迷，以盲引盲，全部入火坑。","但，","如果你是真实开悟，你是可以批评一切行者的，这是指引他们，证悟无上正等正觉的方法，是一种狮子吼，是正义的呼声，是唤醒众等，得到了“正见”。","事实上：","“常见”、“断见”会下三恶道。","“苦行”是邪见。","“暂时聚合体”是邪见。","......。","这世界上，有很多自认为博学的人，他们创造了很多理念。","这些理念，是抱持“邪见”的。","现在只有“明心见性”的人，才能真正的以“佛慧”去看透。","有什么疑惑？","看来，只有问“我”了！","","白","","",""
"027 最最严重的三昧耶","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c027","空行母说：","“莲生，卢师尊，你当说明最严重的三昧耶戒，行者若犯了，一定下地狱、饿鬼、畜生。而且时间长到无间断、空间广大无边。其中之苦，千百亿万倍于人间世，不可想像。”","“为何是最严重？”","白空行母说：","“是因为对象不同、环境不同，而有了轻、重的程度差异，卢师尊，你当说明之。”","","于是，我说：","最最严重的杀生——是你杀了一位已证悟无上正等正觉的行者生命。由于这位行者的生命很重要，而你却杀了他，你等于杀死了千万人的慧命是一样的。","（杀佛杀菩萨，其恶业最重）","","最最严重的偷盗——是你偷取了“寺”、“堂”、“会”。把“寺”、“堂”、“会”的产权，归入自己的名下，非你所有，却偷盗之。","（以募款方式，建立寺、堂、会。后来私吞了事，这即是最严重的偷盗。）","","最最严重的邪淫——是你诱惑比丘僧，或诱惑比丘尼，犯下了淫行。这是比一般人更重的恶业。如果你强迫了一位菩萨与你行淫事，这又是非常重的恶业了。","（也就是说，诱惑修行人，犯下了邪淫，罪加一等）","","最最严重的诳语——是你欺骗了你的根本上师，欺骗师父，欺骗圣贤僧。对根本上师诈骗，任何一种方式，为了名位、金钱等，施行诈骗，是一定下金刚地狱的。","（欺骗根本上师，修法无益，不得成就。原因是失去传承，没有加持力）","","最最严重的两舌——你离间僧团，也就是分裂僧团。僧团是最主要的修行团体，你设法以口舌分裂之，形成了，僧团分裂，其罪业第一严重。","（叛逆佛陀的提婆达多，分裂僧团，就是最好的一个例子）","","最最严重的恶口——你以恶言恶语，或最是污秽的言词，去侮辱你的根本上师。你只是听来的，以讹传讹，或是编造的，如小说一般，并非真实见，你就诽谤，恶口一出，就是重罪。对一位实修者，也同样恶口，即是重罪。","","最最严重的绮语——你以无聊的闲言闲语，去扰乱别人的修行，或说黄色笑话，去扰乱实修者，扰乱阿罗汉。","","最最严重的贪——是贪三宝的钱。","（将供养根本上师的钱，据为己有。或私吞了去。或寺、堂、会的财政，卷款私逃，逃之夭夭。或贩卖佛具，收取回扣）","","最最严重的恶念——是不想出离轮回，是不想解脱烦恼，是不想生死自主。而你念头想的是，是世俗上的犯罪，尤其是“五无间罪”，或“五逆罪”。","最最严重的邪见——诽谤佛性、诽谤如来的智慧、诽谤三法印、诽谤一实相印、谤佛、谤法、谤僧、诽谤根本上师。","","白空行母说：","“戒律的法教，非常重要，要时时宣说。”","我问：","“在过去，我的书中，早已述说了，还要重复说明吗？”","白空行母说：","“戒律是一切法的基础，必须时常叮咛，若犯三昧耶戒，不但不得成就，还要下三恶道。”","","","","","","","","","","","","","","白","","",""
"028 佛陀的制度","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c028","教原是佛陀的教化之意。佛教从印度传至东南亚、中国、韩国、日本。......","原始佛教，因为种种的状况发生，佛陀才颁布了戒律与制度。","什么是如法的？什么是不如法的？","在原始佛教之中，出家的比丘、比丘尼、优婆塞、优婆夷，被称为四众弟子。","比丘地位被尊崇。","比丘尼次之。","优婆塞（男性居士）再次之。","优婆夷（女性居士）最低。","其中的制度很多，论之颇繁复。","","然而，时至今日，男女已平等。情况略有变动，对于佛教的制度，我特别向白空行母询问，请白空行母给予法教。","我问：","“原始佛教的制度，我们在现代，是否要一一遵守？”","白空行母答：","“最好合于佛制。至于少少变动，亦可，但，仍然不宜偏离。”","我问：","“早期，真佛宗有带发上师，而比丘、比丘尼向在家上师顶礼合宜否？”","白空行母答：","“不合宜，最好在家上师应及时出家，把不如法变如法。居士在上，出家下座；白衣在上，比丘在下，向上顶礼，是末法时期的怪现象。经典曰，是魔相，不合佛制。”","我问：","“古代，比丘、比丘尼悬殊，今代，男女平等，比丘、比丘尼是否平等地位？”","白空行母答：","“修证至佛菩萨，当然平等。但，在人间，仍然有制度在，有人昌言改革，但，大致上，各个教团，尚遵守佛制。”","我问：","“居士上师坐中央，两排比丘、比丘尼坐两旁，合宜否？”","白空行母答：","“不伦不类。当然不合佛制。最好是，居士上师坐中央，比丘、比丘尼坐居士上师之后，是尊重出家人也，也是权宜。”","我说：","“如果在家居士坐中央，头戴五佛冠，比丘、比丘尼向上顶礼，是否可以？”","白空行母答：","“顶礼五佛，是可；顶礼个人是不可。这也是权宜之计。”","我问：","“如何是好？”","白空行母答：","“最好出家，一切问题，迎刃而解。”","“有人不想出家？”我说。","白空行母答：","“密教三重：菩提心、出离心、中观正见。没有出离心，如何是行者？”","我说：","“我曾言，在家居士与出家人，平等平等，这句话是否有错？”","白空行母答：","“没有错。至少在修证方面是平等无分别，均可证果。但，在佛制中，出家人执持佛法，在家人护持佛法。”","","","","","","","","","","佛","","",""
"029 什么是真正行者？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c029","日，真佛宗的弟子，遍满全世界，种族不同，言语各异，习性也不同。","弘法人员虽然奔波弘法，辛勤备至，但，亦有“莠草”藏在其中。","很多真佛行者问我：","“什么条件，才是真正的行者？包括上师、教授师、法师、讲师、助教、堂主、真佛同门。我们请问卢师尊，如何才是标准的真佛行者？”","","我将此问题，问白空行母。","白空行母答：","做一个标准的真佛行者，至少有十个条件。","","第一——他从来不杀生。不但不杀生，还放生、救生。","食素亦可。","若不能食素，要懂得“供养”、“超度”、“清净”之法。","","第二——他不小气巴拉，喜欢行善布施，出钱出力，广结善缘，是一位乐善好施的大善人。","如果穷困弟子。","喜当义工。","也是大善。","","第三——他的生活纯正。不抽烟、不喝酒、不打牌、不赌、不淫、不斗。","不好逸乐。","不恶劳动。","乐观精进。","","第四——他是一个诚实的人。对根本上师不虚伪，恭敬佛、法、僧。对佛法尊重，对修行人恭敬。","不说谎话。","不出恶口。","不挑拨离间。","不讲无意义的话。","诚实无伪很不容易。","","第五——他聪明而有智慧。能分别善恶因果，对人世间的是是非非了了于心。有能力去调和他人的恩恩怨怨。","","第六——他行事慎重，一切都是如法的，不如法的事不做。不受色诱、不受财诱、不受名诱、紧跟着圣贤、具德、大善知识的脚步走，跟着根本上师的脚步走，而不是跟著有异心的弘法人员的脚步走。","","第七——他必须实际上的修行，修行身、口、意清净，深入三摩地中，常常有法流灌顶与加持，有了证验的。","尊师。","重法。","实修。","","第八——他发了大菩提心，慈悲喜舍，爱一切众生更胜于自己，这是大乘。","如果爱自己更胜于他人，这是小乘。","如果恶他人，下三恶道。","真正的行者，是发大菩提心的，爱他人更胜于自己。","","第九——他出离心很重。","出家修行第一。","在家修行，心中也已出家。","世俗的事很淡泊。出离世俗、出离贪财、出离贪色、出离贪名、出离贪欲。","","第十——他对根本上师没有怀疑，只有净信，必得加持。","","今","这十个条件具足，你就是真正的行者，最终证得果位。","否则，尚不是真正的行者。",""
"030 以“无我”为第一的教戒","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c030","问白空行母：","“无我法是何义？”","白空行母答：","“佛性的修练。”","我问：","“如何修练？”","白空行母答：","“渐渐免除二元分别的执念。”","我问：","“如何实修？”","白空行母答：","“离开于一切的造作。”","我问：","“是自然吗？”","白空行母答：","“对世间的利衰、毁誉、称讥、苦乐，了了于心，但，心不受束缚，而是让心休息。无念、无念，不执、不执。”","我问：","“是三轮体空吗？”","白空行母答：","“正是，正是。”","","●","","白空行母说：","“很多修行人，都有自私的念头，还有一些自私的人，去追随自私的修行人。这些修行人实在愚蠢而无知，而追随者更是无明深重。只要有自私的念头，或是执着二元分别的人，就无法证悟无我的佛性。不但如此，还会下三恶道之中呢！”","白空行母说：","“自私的修行人，是以『自我』为中心的人，以自我为中心者，必然有敌、友之分，有自、他之分。如此，就与菩提心背道而驰。如此之行者，必愈陷愈深，无可救药，堕入三恶道之中。行者自己，及一切追随者全部入火坑。”","“为什么全部入火坑？”我问。","白空行母回答：","“二元性，认定有利的为友，认定伤害的为敌。如此一来，便产生了贪爱与憎恨，由这二项，就造出了恶业，由恶业便入轮回及下三恶道之中了。”","白空行母说：","“拔除人的自私吧！这自我是魔！”","","白空行母的法教是：","自修无我，教授人人无我。","追随无我者。","追随无我的根本上师及无我的大善知识，不要追随自私的行者、自利的行者，因为，他们没有证悟无我。","要舍弃分别，例如国家、家族、地域、阶级、敌人、友人等等。","不要贪名。","不要贪利。","不要贪自己的肉身。","不要贪自己的家族。","认识无我。","认识佛性。","要知道一切的名相皆无实性。","要知道世界众生及万法皆无实性。","要知道好像有，其实如梦幻泡影。","无可得。","无何有。","无可住。","","我","","",""
"031 “无我”的深密","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c031","天的深夜。","白空行母告诉我：","“你的侍者之一，莲宁上师，是大紫莲花童子的转世，你当指引他『无我』的深密，这是甚深无上的大法了。”","白空行母说：","“莲宁上师是未来的大法王，是了悟自始无生的本净，你要点醒他。”","于是，我对莲宁上师说：","你要参《金刚经》的二个偈：","无我相。","无人相。","无众生相。","无寿者相。","","又：","一切有为法。","如梦幻泡影。","如露亦如电。","应作如是观。","","我告诉莲宁上师，离开一切的概念与一切言诠的限制。","离开一切作为，大圆满。","我对莲宁上师点了一点，石破天惊，令莲宁上师开悟。","莲宁上师也玲珑剔透的开悟了！","","●","","开悟自然是隐密的，因为世人无法了悟到这深密，太高深了，世人是不解的，故而不可说。","又因为超乎言语或心念的，故而不可说。","此曰：","无上。","无修。","任运。","","●","","这等人，是最上根器的人，那是修行到了最高的境界，只需一点即是。","这等人知道：","一个大明点的法身。","安住于无作的大空。","立断。","顿超。","我给莲宁上师，认可为大紫莲花童子的转世，给明力灌顶，让他明心见性。于是他应该了悟轮回与涅槃、烦恼与菩提、实相与方便。见到了本然的法身。","我说：","如果没有这个口诀的法教，就无法烦恼断除，就无法自主生死，就无法解脱，就没有办法去证悟。","可笑的是：","一些自称神通者，未修此法，是“依通”、“鬼通”、“神通”、“报通”，仍在险地。","一些建大寺院者，未修此法，是在边地。","一些只做济世者，未修此法，仍在资粮道。","一些大法师，未修此法，仍是有羁绊的过患。","......。","落入宗义者，而不自知。","","一","●","","我们要了悟："
"032 一整出戏","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c032","师尊降生在一个平凡的家庭，一九四五年六月二十七日，正是美机轰炸嘉义（水上机场）的时候。","举家搬到牛稠溪畔的“鸡舍”出生，那年正是“鸡年”，我全身缠着“白纱”出生。","据说我是早产。（母亲说的）","父亲觉得这孩子来得奇。","不被重视。如同外星人一般。","于是，有一段日子，我被送给我阿姨养，我阿姨是“黄雪花”。","我这初生的婴儿，什么也不懂，后来懂了，有几个意义在其中：","一、白纱——是白色天衣。","二、来历——是菩萨。","三、出生——奇特。","（这里面隐藏着一个非凡的一整出戏）","","●","","我问白空行母：","“为什么我的出生是一整出戏？”","白空行母说：","“来历非同凡响。”","我问：","“为何非凡？”","白空行母答：","“你直接入莲胎，未受父精母血沾染，出生未满足月，历经三教苦修，终于证得明心见性，广度众生，利益人天。”","我问：","“来历呢？”","白空行母答：","“莲花童子降生，阿弥陀佛是本地，毘卢遮那佛是根源。”","我问：","“白空行母的来历，又是何本地？”","白空行母答：","“般若佛母是本地。”","","●","","我问：","“这一整出戏，如何演化？”","白空行母答：","“你修证明心见性，截断生死之流，传无上法门，通晓一切法，八万四千种法门，创宗立派，利益一切众生。”","我问：","“如何教化？”","白空行母答：","“卢师尊生起一切的功德，以种种法门，善巧应用，调伏众生的习性。”","我问：","“仍然有不守戒，未受调伏的弟子？”","白空行母答：","“全然的正遍知，了悟生灭之理，无分别心，平等施予。就算未受调伏，卢师尊也明白其中的因果及根源。”","我问：","“如何教化不如法的弟子？”","白空行母答：","“具有信心、大悲心、利他的心、聪明及智慧的卢师尊，你当知道，什么是无一遗缺。”","我点点头。","我明白，根本上师的我，是一切如来菩萨的心中心，只要背弃一切如来菩萨的心中心，就是不如法的，这一点我深深明白。","卢","只可惜，众生似懂非懂，屡屡犯错，因为，毕竟这里是人间啊！","",""
"033 “门户之见”是过患","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c033","空行母说：","“门户之见，是今日行者的大过患，绝大部分的行者，全犯此弊。”","又说：","“因为行者犯了如此的过患，因此，造了口业、身业、意业而不自知，纵然下了三恶道，仍然不知到底犯了何过？”","我听了白空行母之言，恍然大悟。","我说：","修行人不可有“门户之见”，就如同“善财童子”五十三参一般，通达一切法教。","所有的行者，都知道善财童子五十三参，但，没有一个“行者”办得到。","我卢师尊，是遨游二十八天的人，是遨游四圣界的，甚至遨游三恶道的人。见地深，见地广，不是小眼睛、小鼻子，自居于山头大大小小法师，所以，我无门户之见。","因为不拘泥于门户之见，所以能正遍知，了知一切法没有实性，知道一切法门全是方便，所以能不畏怯任何的事物，达到“无所谓”的境界。","我说：","我因为心胸宽大，所以宗宗非宗，法法非法。一切无明的黑暗，全然清清楚楚明明白白，我如同一盏灯，一入暗室，全部照见。","（观自在菩萨，行深般若波罗蜜多时，照见五蕴皆空）","","我说：","解脱万法，万法解脱，会吗？","一法通万法，会吗？","渐进，会吗？","顿悟，会吗？","如此，不犯三昧耶，会吗？","（不生不灭、不垢不净、不增不减）","卢师尊学习了一切的法教，精进所有的法相，因而解脱了一切门户。","什么叫“真佛”？","包容一切，解脱一切，叫“真佛”。","穷究所有的法教根源，了知所有的佛法宗派。","最终的是合一，一切法教都是一味，而一味又归于零。","当“般若”登峰造极的时候，了知所有的法教的真谛，是曰：“明心见性”。","","●","","白空行母说：","门户之见的三昧耶有：","任何法门都想，但，任何法门都不通达。","无法合一，无法归于零。","见不到真正的法界实性。","盲修瞎练，没有根本上师的口诀传承。","依盲目的师父。","不守三昧耶的戒律。","如法或不如法，根本不清楚。","不知道佛法只是一味，不知道佛法的真实见地。","佛法的根本是什么？不了解。","人云亦云，站在此山头，谩骂所有的山头。","没有见证到法性。","没有开悟，却建立了大山头，以盲引盲，全部入火坑。","我认为：","所谓的大宗师，如果没有开悟，是有门户之见，宗派之分的。用大偏见彼此攻讦，如此必犯三昧耶戒。","","","","","","白","","",""
"034 论“退失道心”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c034","问白空行母：","“如果戒律太严，或依佛陀的制度来实施，会不会令行者退失道心？”","白空行母答：","“道心建立在信心，信仰佛教的人，深信佛法能救度众生出轮回。一直依止这个信仰，有信心的人，一定会持戒，尊重佛陀的制度。”","我问：","“有人说，他退了道心。”","白空行母答：","“如果有道心，就不会退。”","我问：","“退了呢？”","白空行母答：","“他从来就没有道心。”","我为这个问题想了很久。","道心，道心，退道心，退道心......。","于是：","有人说：“我要退道心了！”","我回答：“有道心的人，不会退。你根本从来就没有道心。”","有人说：","“我要还俗了！”","我回答：","“你几时圣贤过，你本来就是俗，还需要还俗吗？”","（请三思这个问题）","","●","","白空行母说：","“道心如同大日，永远的恒在。悬挂在虚空之中，是恒在的，永不退失。所谓退失，是自己的无明、贪、瞋、痴，去遮住了大日，大日永不失，是自己迷失，而不是道心退失。”","我问白空行母：","“我一向主张自由、民主，要大家守戒律，遵守佛陀的制度，会不会太紧了些？”","白空行母答：","“所谓戒律是止恶。所谓制度是规矩。是教人免于过失，免于偏见，免于怨憎的，免于分别心的，免于模糊，免于失去礼仪。”","白空行母答：","“这样子的行者，如同黎明的天空，一切清清朗朗。如同水晶球般的透明。所谓国有国法，家有家法，宗有宗法，庙有庙规。完全自由、民主，就是一片混乱。”","我问：","“真佛宗欠缺什么？”","白空行母答：","“管理。”","“管理是什么？”我问。","白空行母答：","“戒律与制度。”","我问：","“我们弘法人员欠缺什么？”","白空行母答：","“部分人似乎只专注在财物上，在扩展地盘上，是为了发财扩充地盘。弘法只是一个幌子，佛法修行不是重心。这些部分人是知道财富不能带走，只是仍然迷惑不休。你，卢师尊，如何保证他们不堕入三恶道之中？”","我愣住了。","“他们已有神通耶！”我说。","白空行母说：","“是钱通，不是神通。”","","","","我","","",""
"035 肤浅的“神通”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c035","空行母说：","“是钱通而不是神通！”","这句话令我想起，在街上有些“算命仙”，专论人“三世因果”。","（知人的“三世因果”，这是“神通”。）","“算命仙”编出信众的“三世因果”。然后恐吓你，必然会有厄运。","你听了心生恐惧。","“算命仙”便说可以解除。但，需要一大笔钱，才能消灾解厄。","于是，你给了一大笔钱。","果然没有厄运发生。","这是“算命仙”的灵验，消灾解厄成功，双方皆大欢喜。","如果真的出现厄运。","这也是“算命仙”的灵验，消灾解厄钱太少，需要更多钱“补运”。","“三世因果”可以信吗？这其中，我认为“假”的居多，舌粲莲花的骗徒，多的是。","全是假的“神通”了。","","●","","白空行母说：","假的神通很多，例如，没有实际的修行功夫，而自称有神通，这种神通是肤浅的。","只有自私自利，开口要钱，闭口也要钱，这种天天要钱的人，自称有神通，这种神通一定是肤浅的。","不守三昧耶，违背根本上师的旨意，上师要他做的，他不做；上师不要他做的，他却去做，而自称有大神通，这种神通是肤浅的。","不守戒律，犯贪、瞋、痴、疑、慢、杀生、偷盗、邪淫、妄语、喝酒，而自称有神通，这种神通是肤浅的。","根本没有甚深的禅定功力，只是依靠鬼魂交通、精灵交通、低灵交通、动物灵交通、小神交通，而自称有神通，这种神通是极其肤浅的。","不是由佛法的修持，而是由邪神而获得的通力。根本不知佛法，不明白般若，而自称有神通，这种神通是肤浅的。","没有菩提心，不知道慈悲众生，根本没有利他的行为，不随喜功德，却在经营生意上非常的认真，而自称有神通，这种神通是肤浅的。","没有出离心，一切行为俗里俗气，做股票、开商店、买与卖、套滙率、赌钱、出入色情场所、舞、歌、享受、争名、争利、争地盘......，而自称有神通，这种神通是肤浅的。","没有正见，无明习气深重，邪见甚多，邪气满身，宣说的不是佛法，鼓励人只要去了天界就好，而自称有神通，这种神通是肤浅的。","一个言行都不如法的人，自称有神通，这种神通是肤浅的。","只知修四禅天的定，由初禅到无色界的禅定，不知有更甚深的禅定，而自称有神通，这种神通是肤浅的。","假的神通。","鬼灵神通。","小的神通。","邪的神通。","神的神通。","四禅神通。","白空行母说：","“这些自称有神通者，尚在肤浅的神通之中，何况其他。”","","","","","","","","","","","","","","","白","","",""
"036 烦恼如何断尽？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c036","空行母说：","“只有烦恼断尽的人，才是圣贤，才是大善知识，才是菩萨，才是佛。”","我问：","“这世间，谁烦恼断尽？”","白空行母说：","“卢师尊！”","我哈哈哈大笑三声。","我接着说：","“我的烦恼才大呢！你白空行母怎能说我没有烦恼？”","白空行母答：","“你不放心上，故，烦恼断尽。”","我说：","“这是一语中的。”","","●","","白空行母说：","学佛的行者，若不禅修断尽烦恼，灌一千个、一万个顶，也无益处。","学佛的行者，如果已明心开悟，但仍然有烦恼，这只是理上的开悟。在事实上，没有开悟的实践，仍然不算开悟。","学佛的行者，对佛法有信心，但，愈修烦恼愈多，这一定是出了差错，不能对治烦恼，这样子学佛实无益处。","学佛的行者，实修非常的精进，但，烦恼的困厄始终未去。","要去请教根本上师（大善知识），到底是什么地方出错？","刚开始修行很精进，后来却感觉到厌倦了，懈怠了，毫无成就感，赶快去请教根本上师吧！","如何修？修来修去，心愈是散乱，心永远不平静，心始终不安。","","圣严法师有一句话：","“心安就是平安！”","这句话很对。","但，这世界上有几个人，真正达到“心安”？","我请问圣严法师：","“如何心安？”","我实实在在的告诉大家，这世界上，只有一个人达到了“心安”的境界，这个人就是“莲生活佛卢胜彦”。","哈哈哈！","","白空行母说：","“要修戒、定、慧。要明心见性，要实践无念法门，要明白世间的真谛，要明白佛法的真实谛。”","如果禅定没有办法断尽烦恼，如果持戒没有办法断尽烦恼，如果智慧也没有办法断尽烦恼。","一点都没有办法？","只有去请教根本上师卢胜彦。","面对痛苦与困逆要如何？","卢师尊说：","转。","转不了？怎办？","出离。","出不了？怎办？","空。","空不了？怎办？","于是，我会告诉你，烦恼的实相，人的实相，世间的实相，众生的实相。......","如果你领悟了。","你就是“释迦牟尼佛”！","","白","","",""
