"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","firstcharacter","chapterbody 52","chapterbody 53","chapterbody 54"
"037 证量的象征","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c037","空行母说：","“修行人常常提到证量两个字，有人把证量与神通划上等号，其实这是很可笑的一件事，因为证量与神通是毫无干系的。”","","“那什么是证量呢？”我问。","白空行母答：","行者对任何痛苦的事，已能承受，而且不觉得痛苦。","这即是了悟无常的证量。","","行者的烦恼不会生起，就算生起了烦恼，也能马上止伏。","这即是降伏烦恼魔的证量。","","行者在任何环境之中，不管是顺境，或是逆境，都能平静自己的心，完全不起波浪。","这即是禅定的证量。","","行者的修法，从来不觉得厌倦，恒长的精进，不懈不怠。","这即是心气任运的证量。","","行者对根本上师视之为佛，根本上师的优点是佛，根本上师的缺点是教化。","这即是无分别心的证量。","","行者妄念不起。","（定的证量）","行者明觉恒住。","（慧的证量）","行者五毒不侵。","（戒的证量）","白空行母说：","“真正的证量，是指这一些，这才是证量。至于眼通、耳通、他心通、宿命通、神足通、漏尽通，这是通力，只有漏尽通，可算烦恼漏尽的证量。","如果这些就是证量，这是鬼迷其心，《下三恶道名册》中，列有其名。","●","","白空行母又说：","另外有些小小的证量，也在此，特别述一述：","执着少了些。","烦恼减轻了，看得透了些。","比较不那么的自私。","名利心看得淡了，一切自然来，一切自然去。","不再嫉妒比自己更有成就的人。","离开了渴望求取。","就算在没有禅修的时候，也没有失去禅修的明觉。","任何念头的生起，均能一刹那之间的摒除，而不残留心中，就是无念法门。","涅槃也可，轮回也可，也就是无分别心的证量。","不攀缘了。","一切安住。","","●","","白空行母说：","有一些行者自称已拥有了证量，而且证量大得很，大到上了九重天外。","这些行者如果：","好名位。","白","争利。","争地盘。","迷惑其他行者。（不如法的）"
"038 遇见珍宝上师","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c038","空行母说：","“在这人世间，要遇见一位珍宝上师是很不容易的，因为这人间，冒牌的上师特别多，有证量的上师很少。能遇见珍宝上师，一定是在累世之中，积聚了资粮功德。”","白空行母又说：","“卢师尊的出现于世，不是偶然，你是一位具德的珍宝上师。你自己所遇见的珍宝上师，像了鸣和尚、萨迦证空上师、十六世大宝法王、吐登达吉上师等，全是累世的善友道侣，这不是巧合，而是因缘。”","白空行母再说：","“当有志于修行的人，正好遇见你，又皈依你，这也不是巧遇，而是有缘的线把大家牵在一起。你是阿弥陀佛，根本就是事实，无数的莲花童子，也是事实。你们的前世修行的宿命全部被唤醒了，唤醒了珍宝上师与圣弟子，彼此相逢的事实，这些全是事实。”","","我问：","“那背弃的呢？”","白空行母答：","“就像大日被云遮住，就像驶船遇到大风，就像断了线的珍珠，就像覆了巢的卵，就像离群的飞雁。......这人世间，当然是不够完美的，羊群里会有几只骆驼，米桶里也会生虫，这时，珍宝上师也当知道，这是佛法碰上了莫名其妙的敌意，这也是一种教化，沉默及忍辱是最好的良方。”","我问：","“无法救度吗？”","白空行母答：","“恶业及污染，使弟子背弃珍宝上师，这也是事实。《下三恶道名册》中，均列了他们的姓名。只有信心及聪慧再起的时候，以还净法的教授，能令他们得到救度了！”","白空行母说：","“就因为有背弃的事实发生，你卢师尊了知诸行的无常、诸法的无我、涅槃与寂静，也就能转心出离人世间，远离俗世的生活，而领悟了实相，不是吗？”","","我问：","“为什么弟子会背弃珍宝上师呢？”","白空行母答：","信心不长远，只有暂时的感动是不够的。","信心低微，世俗心的企图太强。","自视太高，认为珍宝上师泛泛。","自认自己才是领导者，漠视珍宝上师。","欺骗珍宝上师，以获取利益。","根本没有把珍宝上师放心上，自认比珍宝上师还要行。","把佛法当幌子，目的在世俗利益。","把珍宝上师当幌子，目的是过河拆桥。","不实修，没有证验。","到处游走，信心不坚固，哪边有利哪边去。","夸大神通，吹嘘自己开悟，比珍宝上师更厉害，迷惑道侣。","喜欢搞是搞非，内心欠缺佛法。","江湖术士。","言行不如法，却凭聪慧自行解说。","谬见。","我问：","“还有呢？”","白空行母答：","“这样还不够吗？”","","","","","","","","","","","","白","","",""
"039 冒滥的上师","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c039","问：","“有珍宝上师，岂无冒滥上师？”","白空行母答：","“怎会没有，不只如此，冒滥的上师，如同过江之鲫，而珍宝上师难觅。”","我问：","“谁是冒滥的上师？”","白空行母答：","“全列名在《下三恶道名册》之中矣！”","我问：","“为何会是他她？”","白空行母答：","佛法的宗旨，只为了“自主生死”、“解脱烦恼”、“弘法度众”。","舍了这三大宗旨，便是冒滥上师无疑。","","例如：","一位博学的佛学权威，研究三藏十分精通，经、律、论，均能通晓。","如果他没有“实修”，就是一位冒滥的上师。","","例如：","一位读过密教著作三百多册的佛学宗师，他自己也发表甚多著作。","如果他从未“皈依”、“灌顶”、“实修”，就是一位冒滥的上师。","","例如：","一位佛教的大宗师，他喜欢政治，专心于政治，胜过自我的修练。","纵然名气全世界知晓，也一样是一个冒滥的上师。","","例如：","一位受过皈依、灌顶的密教行者，凭着三寸不烂的舌头。","用金钱取得阿阇黎灌顶。","从此行骗天下。","欺骗世人说有实修，其实根本没有，这也是一位冒滥的上师。","","例如：","一位阿阇黎，口口声声讲“神通”，夸大了自己的神通，把神通说成佛法，把神通说成证量，这种高谈阔论的空话。","久久成习。","其实全是吹牛。","这一类的上师，正是冒滥的上师。","","例如：","一位阿阇黎，聚集“金钱”，胜过自心与佛法合一，这一定是冒滥的上师。","","例如：","一位阿阇黎，一心在自己的名位上打拚，“攀缘”于世界名人，成为最有名气的上师。（攀缘太过）","而事实上，自心与佛法并未合一，这一定是冒滥的上师。","","例如：","一位阿阇黎，广收徒弟，拚命扩充地盘，而自心与佛法并未合一，这一定是冒滥的上师。","","总之：","一位阿阇黎，专注世俗的利益，胜过出世间的妙果。","一位阿阇黎，专注于外相，忽视了内在的修为。","我","一位阿阇黎，迷于神通，不晓究竟果。","一位阿阇黎，追名逐利，虚荣，浮夸，没有真正的实修。","一位阿阇黎，作了许多恶行，不守戒律。"
"040 白度母的警告","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c040","问：","“我们真佛宗走在正常的修持轨道上吗？”","白空行母答：","“真佛宗是有人在正常轨道上，但，多数人很腐败。”","我大骇。","白空行母说：","“有人只用嘴皮修法，真佛密法是幌子，自称是修行人，自称弘法人员，而最爱身外之物的冒滥行者太多了。”","我问：","“我们的缺失？”","“一盘散沙。”","“将来会如何？”我问。","“不具备丝毫的修行功力，有证量的弟子不多，毫无制度，世俗的追求太炽热，只有少数的人能够在轮回中解脱。”","我问：","“上师呢？”","白空行母答：","“自视甚高的、自认最上的领导者的、攀缘第一的、执着谬见的、未具出离心的、贪爱财物的、言行背弃传承的、根本不实修的、妄言讲神通的、蛊惑信徒的、催眠洗脑的、壮大自己想独立分枝的......。”","我听了脸色苍白。","我问：","“怎么办？”","白空行母答：","“下三恶道。”","我问：","“如何救？”","白空行母答：","“持戒是佛法的根本。若不守誓戒，真佛宗是一盘散沙。”","“上师最大的缺失是什么？”","白空行母答：","“离开根本上师愈行愈远，而且自以为是。所谓的虔敬心，只是表面上的。得不到传承加持力，不只如此，无法利他，只是利己。贪心的上师，愈来愈多，这是极其怖畏的。”","","我问：","“什么誓戒？适合什么人？”","白空行母答：","五戒适合刚皈依灌顶的人。","八戒适合于在家修行的居士。","沙弥戒适合于想出离轮回的人。","菩萨戒适合于慈悲喜舍修行的人。","比丘戒适合于男众出家人。","比丘尼戒适合于女众出家人。","愿菩提心戒适合于自、他平等的人。","行菩提心戒适合于视他人更胜自己的人。","事师法五十颂戒适合于密教行者。","十四大戒适合于修行瑜伽士。","具足戒适合于大修行者。","我问：","“这些重要吗？”","白空行母答：","“这些当然重要，如果僧人或在家居士，毫无戒律的话，整个真佛宗会松松散散的。修大乘的，没有菩提心；瑜伽士不守三昧耶；上师没有实修；行者拚命的不是成就，而是世俗之物的取得；好名好利好色。这样子一来，修行成就很困难，倒是堕入无间地狱很容易。”","我默然。","","","","我","","",""
"041 掉入陷阱的危机","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c041","了家的修行人，“比丘”、“比丘尼”，一心只想出离世俗，走入圣道之中。","我问白空行母：","“比丘、比丘尼有歧途否？”","白空行母答：","“甚多！”","我请白空行母举例说明。","白空行母说：","例如：有一位比丘尼，“名声”非常的大，大到全世间的人都知道。","这就产生了掉入陷阱的危机，为了保有自己的名声，费尽了所有的心思，比丘尼反而更入世了，入世是歧途。（入世多于出世）","比丘尼忘却“修行”见道，出离“世俗”。","","例如，有一位大师，这位大师想获得诺贝尔奖的“荣誉”。","朝思暮想，就想获得诺贝尔奖，于是，大师必须挖空心思，去营造诺贝尔奖的条件，和平奖得之不易。","如果矢志在诺贝尔和平奖。","必然掉入陷阱的危机，无法“修行”见道，修出“究竟”。","","例如，有一位禅师，建了一座全世界最大的禅寺，建禅寺原本无可厚非。","然而，一座又一座的大禅寺，需要花费很多的精神及金钱。","“金钱”的获利，难以估计。","精神的耗费，难以评估。","如果禅师只重在一间又一间的大禅寺的建立。","如何“修行”见道？","忘却“出离”就是陷阱，就是危机。","","例如，又有一位禅师，矢志建一座佛教大学，这也是无可厚非的。","然而大学的建立，需要财力、又需要人力、又需要管理、又需要教学、又需要经营、又需要土地、又需要学生......。","出家禅师投入大学兴建，大学也非全是佛教，入世反而多些。","宜否？","请比丘、比丘尼三思。","是否是修行见道的歧途？","","例如，又有一位大师，大师有百万弟子，每位弟子都想见大师，谈谈话儿。","如果大师将全部精神，用在弟子身上，只想收更多的弟子。","大师又想天天面见弟子。","如此，弟子多，反而成了大师的陷阱危机。","修行“见道”，出离“究竟”有了阻碍。","","白空行母说：","亲戚会阻碍圣道。","经营会阻碍圣道。","生意会阻碍圣道。","等而下之的：","名声会阻碍圣道。","荣誉会阻碍圣道。","最最等而下之的：","享受会阻碍圣道。","懒散会阻碍圣道。","睡眠会阻碍圣道。","......。","如果有任何阻碍你“修行”见道及“出离”世俗的牵缠，都可能是陷阱及危机，必须调整自己的脚步！","","出","","",""
"042 幼稚幼稚又幼稚","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c042","问白空行母：","“佛眼视众生如何？”","白空行母答：","“幼稚。”","我又问：","“菩萨视众生如何？”","白空行母答：","“幼稚。”","我再问：","“白空行母视众生如何？”","白空行母答：","“仍然是幼稚。”","我说：","“不是说，众生不可思议吗？众生非众生才是众生吗？佛出世间，佛是由众生出生的是吗？众生如何是幼稚？”","白空行母答：","“众生果然不可思议，从幼稚中，能见证佛性，这才是不可思议。”","我问：","“为何能如此？”","白空行母答：","“如来的教化！”","","●","","白空行母说：","“虽然有些人，已明白修持佛法，但，却幼稚得很，卢师尊，你要教化他们！”","我问：","“如何教化？”","白空行母说：","一面钓鱼，一面修四无量心，慈悲喜舍，那是非常幼稚的。","天天去请求上师灌顶，但，却不持守身、口、意清净的三昧耶，那是非常幼稚的。","天天去听上师的法语开示，却无法身体力行，根本不能照办，那是幼稚。","一面想做善事，但，却做出恶行，一面修忏悔法，一面又照做恶行，岂不是幼稚。","跟上师跟得很紧，随侍在上师之旁，但，恶行恶状，是不是幼稚？","已经灌顶为阿阇黎上师，等于是老师了，却在做世俗的生意，为世俗生意劳心劳力，这就是幼稚。","已经是上师，却天天去求，设法去求，求什么？诺贝尔奖、和平奖、亲善大使奖、慈善奖、成就奖、终身奖、大善人奖、人间之光奖......。助长世间荣誉，岂不是幼稚！","已经是上师了，还说，这人不好，那人不好，讲是讲非，真是幼稚可怜。","行者去受种种戒，却无法守戒，也是幼稚。","习气一点也没有改，却说自己修忍辱波罗蜜，真是幼稚。","每天惶惶恐恐，却说自己修禅定波罗蜜，真是幼稚。","每天忙进忙出，未修密法，却说自己修精进波罗蜜，真是幼稚。","自言开悟，又说自己被侮辱、很委屈、被排斥、受诽谤。......此等人尚未开悟，岂不幼稚。","说自己已成佛，却又不利生，岂不幼稚。","说自己是菩萨，却无慈悲心，岂不幼稚。","说自己已成就，却嫉妒他人，岂不幼稚。","已经皈依，也受了灌顶，得到了修法仪轨，坛城也设了，最后是没有时间修法，这岂不是非常幼稚。","","","","","","","我","","",""
"043 先修对治法","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c043","问：","“所有的修行法，应该先修什么法呢？”","白空行母答：","“对治法。”","我说：","“是不是要永久修对治法呢？”","白空行母说：","“对治到不必对治时，明白心，见证了佛性，可以自在任运时。那时不用对治，也即是对治，这是至高的境界了。”","我说：“我明白。”","","我又问：“是哪些对治法呢？”","白空行母回答：","最大的对治是：","用出离心来对治世俗。","用菩提心来对治小乘。","用空性来对治轮回。","","一般的对治是：","用戒律来对治恶行。","用布施来对治小气。","用精进来对治昏沉。","用忍辱来对治瞋念。","用禅定来对治散乱。","用智慧来对治五毒。","","又：","忆念死亡可以对治你的懈怠。","忆念轮回之苦可以对治你的不善业。","忆念诸天乐境可以对治你对此生的迷恋。","忆念善缘可以对治一切不好的缘分。","忆念因果业报可以对治最微细的恶行。","忆念上师可以对治失去了加持力。","忆念佛本尊可以对治失去了摄受力。","忆念护法尊可以对治失去了护持力。","","又：","追求来生的更安乐，可以对治堕入三恶道。","追求善业的努力，可以对治轮回。","追求解脱，可以对治六道轮回。","（我如此说，行者的追求，不是世俗的名、利、色、享受，而是不落入三恶道，更不落入人道天道，最终的六道轮回均不入，证得解脱菩提道，从此任运自在了）","","又：","追随珍宝上师，对治邪慧上师。","追随佛法善侣，对治损友。","用忏悔法来对治过患。","用还净法来对治破誓戒。","用净信来对治疑惑。","用利他来对治嫉妒。","用平等来对治吃醋。","用自他无别来对治不平等救度。","用身清净对治身的不净行。","我","用口清净对治妄语、两舌、恶口、绮语。","用意清净对治妄念及散乱。","用单纯的生活来对治污垢。"
"044 斩魔的宝剑","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c044","空行母问卢师尊：","“什么是魔？”","我答：","“大自在天魔、烦恼魔、五蕴魔、死魔。这是喜金刚，脚踏的四魔。”","白空行母笑了：","“这是四魔没错。但，你知道吗？最大的魔，是我执之魔。魔根本不在外，而是在内，你必须向内在的魔去斩除，外在的魔就不能作祟了。”","白空行母问：","“你明白内在的魔吗？”","我答：","“我执、法执。”","白空行母问：","“如何斩？”","我答：","“般若剑！”","白空行母说：","“你说的不错，可惜这世间的人，有谁有般若剑？大大师、大法师、大禅师、大和尚、大活佛，谁有般若剑？”","我问：","“这些大修行人都没有般若剑的话，谁又有般若剑呢？”","白空行母答：","“很少、很少。卢师尊是少数中的一个。”","","●","","“看啊！”白空行母说：","大权贵的人，被傲慢之魔所绑，他们无法成为行者。","大富豪的人，被金钱之魔所困，他们无法成为行者。","有大地位的人，被大地位牢牢卡住，他们怎可能卑下的修行？","一般的人，被无明之魔，矇住了眼，愚昧的不能成为行者。","企业家，被财富及忙碍之魔所限，很难成为行者。","大学者，被知识之魔所阻，很难成为行者。","大科学家，被科学之魔局限，很难成为行者。","大修行人，被山头所困，很难逃脱山头之魔。","大修行人，被宗派之魔所困，很难成为真正的解脱者。","大修行人，被大寺之魔所困，忙于寺务。","大修行人，被大群弟子所困，无法挣脱束缚及解脱。","大修行人，被世间俗务之魔所困，无法解脱菩提，真正证见佛性。","有些人被儿女、亲人所困。","有些人被可爱女人所困。","有些人被可憎之人所困。","有些人被名牌饰物所困。","有些人被美丽所困。","有些人被甜言蜜语所困。","有些人被贪爱所困。","有些人被宠物所困。","有些人被习气所困。","白空行母告诉我：","“执着大乐，被大乐之魔所困；执着净光，被净光之魔所困；执着空，被空魔所困。甚至执着功德、执着成佛......。全部被困住了！”","我问：","“如何才是般若剑？”","白空行母答：“无为。无作做！”","","白","","",""
"045 内心深层的痛","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c045","空行母说：","“人世间，痛苦是多于快乐的，表面上的苦与乐是相对的，事实上，苦与乐是同一个心。”","我说：“是的。爱与恨，也来自于同一个心。”","白空行母说：","“所以是一心演万法了。”（万法唯心）","我问：“人间是苦吗？”","白空行母答：","“是苦。”","白空行母说：","“在人世间只有一种人，无苦无乐，无苦受无乐受，这种人超凡入圣，身在人间，心不在人间。”","我问：“心不在人间，心又在哪里？”","白空行母答：","“无心道人！你不明白吗？”","我明白，点点头。","","●","","白空行母说：","“不要以为追逐五毒的人，追逐财、色、名、食、睡，追逐贪、瞋、痴、骄傲、嫉妒的人，会得到快乐，其实这种快乐的深层也是一种悲苦罢了！”","我问：“如何说？”","白空行母答：","贪心的人，惶恐异常，其内心常处于痛苦之中，害怕东窗事发。","瞋心重的人，当他发火的时候，自己早已身处痛苦的火海之中了。","愚痴心重的人，如同飞禽走兽一般，弱肉强食，内心迷惑，无法自拔，一浮一沉，岂不是痛苦。","骄傲的人，早已在别人不屑之中，享受了痛苦的滋味。","嫉妒心强的人，企图心强，心机也强，事实上，嫉妒他人的，嫉妒就是一种痛苦。","","白空行母说：","卢师尊，你看看：","不能调伏自心的人，全是痛苦的人！","不能去除我执的人，全是痛苦的人！","不能够满足的人，全是痛苦的人！","不能去除物欲的人，全是痛苦的人！","不能忍辱的人，全是痛苦人！","吃醋是痛苦的人！","嫉妒是痛苦的人！","陷害他人是痛苦的人！","怠惰是痛苦的人！","折磨及被折磨的人，全是痛苦的人！","得也苦！","失也苦！","患得患失都是苦！","","白空行母说：","在轮回之中的，全是痛苦的人！","在追逐攀缘中的人，全是痛苦的人！","在最高地位中的人，全是痛苦的人！","在美色之中的人，全是最痛苦的人！","在迷恋之中的人，全是痛苦的人！","渴望者即痛苦者。","我问：","白","“如何不痛苦？”","白空行母答：","“了悟自己的心吧！”"
"046 最大的关键","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c046","问：","“密教修持成就，最大的关键是什么？”","白空行母答：","“根本上师。”","我问：","“为什么？”","白空行母答：","“密教从皈依灌顶开始，而施皈依灌顶的，是根本上师。一切佛法，从根本上师传承下来，没有根本上师的传法口诀，一切行者如何得知？就算有了修法仪轨，但无传承法流的灌顶加持，行者也不会得成就。根本上师的成就口诀，行者也不会知道，所以修法无益。总之，密教根本上师，统摄佛、法、僧三宝，故而，传承根本上师的重要，是成就佛法的最大关键所在。”","我问：","“如果不敬师，也会成就吗？”","白空行母答：","“这是笑话。不敬师，就不重法，不重法，就不会实修，这是互相关联的。”","我问：","“如果只重法，只重实修，如何？”","白空行母答：","“根本上师的加持力，如果没有，就如同光有木柴，却无火种，永远也点不上火的。欠缺火种的修法，如何燃烧？”","","白空行母说：","看啊！破三昧耶的行者，是这样的：","只宣说自己的密教成就，却不说得自根本上师的加持，隐去根本上师名，或不敢说出，或故意抹去。","只宣说，一切的佛法，来自于天，或来自于梦授，或佛菩萨亲授，或异人传授，没有传承，没有根本上师，或得自于背后的高灵指点，如此宣称者，根本背弃密教，不符合密教。","（白空行母指示：这天、梦、佛、菩萨、异人、高灵，有可能是魔的变化，一人入魔，魔子魔孙全入了魔）","只宣说自己的名声，夸耀自己的名声，把根本上师抛至脑后。或说自己的成就，早早超越了根本上师，根本上师无啥！","只宣说自己是清净的，诋毁根本上师，一切过错全在于根本上师。","只宣传自己的成就如何伟大，而根本上师早已在自己之下。根本上师的境界，不如自己，评断根本上师的果位。","（事实上，根本上师的成就，弟子们不可妄测的）","只将自己领导的一群人，归属于自己，从根本上师这里分裂出去，将来准备跟根本上师，分庭抗礼。","只是在私底下，假装恭敬根本上师，事实上，早已具足了背叛的心，私自将根本上师的法本盗取，自己搞自己的。","将供养根本上师的资粮私吞。","将供养根本上师的物品盗取。","欺骗根本上师。","宣称：","根本上师不重要。","未得根本上师认可，却说自己已开悟。","根本上师没有加持力，自己才有加持力。","......。","我问：","“怎么回事，会出现这样的弟子？”","白空行母答：“人间。”","","","","","","","","","","","","","我","","",""
"047 修持成就的口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c047","问白空行母：","“什么是修持成就的口诀呢？”","白空行母答：","“一切从皈依具德的根本上师开始。”","我问：","“什么是具德的根本上师？”","白空行母答：","“说来话长，然而，最简单的回答是，这位上师是真实已成就，有修持成就的口诀。”","我问：","“有神通重要吗？”","白空行母答：","“只有清净的身口意，才会自然升起神通，如果不是，那是鬼通邪通。神通不重要，不代表修持成就。”","我问：","“我有意见，清净的身口意，当然是修持成就，而升起神通，不也算是成就？”","白空行母答：","“神通往往和修持成就混淆，事实上，神通只是修持成就的附带品。更何况，现今的行者，真正有神通的人不多，大部分的人是通灵，而不是神通。三世因果，也是通灵。能进出四禅，也不算修持成就的。”","","我问：","“要修持成就，有何口诀？”","白空行母答：","随侍根本上师很重要，取得口诀很重要。","虔敬根本上师，不虚伪，不要让根本上师心中起烦恼。","一切的恶行要遮止。","把根本上师当顶饰，永远头顶着根本上师，时时忆念，如此可以得到加持力。","连一点点违背具德的根本上师的旨意，都不可以有。","（我想，这一点，何人能做到啊？）","精进的每日修法，一日一修或一日三修、四修。重点在：","观想。","持咒。","入三摩地。（入我我入）","观想的重点是：","对生。","顶戴。","自生。","对于重要的口诀，要牢记于心，千万不要轻忽口诀的绝对性。","菩提心非常的重要，出离心非常的重要，正见非常的重要。","坚守誓愿及戒律，一切三昧耶戒，不能破，破了无法修持成就。","明心非常的重要，明心就是开悟见道，在此人世间，开悟的人不多，你，卢师尊，是一位真实的开悟者。","开悟不能随便泄露，只有见地相当的人，才可以点醒他。","修行见性是重要的，只有见证佛性才算修持成就，其他的都不是。","礼敬具德的根本上师。","礼敬本尊。","礼敬护法。","我问：","“有谁已修持成就？”","白空行母答：“卢师尊，你自己知道！”","","","","","","我","","",""
"048 大圆满的法教","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c048","问白空行母：","“藏密红教的大圆满法，白度母有何特别的口诀吗？”","白空行母答：","“口诀是有，但，这是至高的大法，行者要修到如此的成就很难。世间之人，还是一步一步脚踏实地的修持才好。”","我问：","“先修资粮道、再加行道，直至见道、修道，最后达究竟道，大圆满成就是何道？”","白空行母答：","“大圆满法成就，即究竟道。”","我问：","“妙觉成佛？”","白空行母答：","“是的。”","我问：","“我修大圆满法究竟如何？”","白空行母说：","“莲生佛！”","","我说：","“请白空行母谈一谈，大圆满的口诀，好吗？”","白空行母说：","请仔细听：","一元非二元，这就是重要的口诀。空即是色，色即是空。轮回即涅槃，烦恼即菩提。","佛魔一如。","净垢一如。","善恶一如。","等等等等......。","","我说：","“这些，一般人无法意会。”","白空行母说：","这些只有“见地”到至高时，才有可能明白，一般行者是不知道的。","修行的口诀是：","在禅定中，不知是禅定。","无知如虚空。","烦忧也等于是没有烦忧。","不执着真佛宗的存亡，有真佛宗也等于没有真佛宗，何况其他。......","你我他皆不存在。","有相皆空。","（财、色、名、食、睡）","颠倒恐惧根本没有。颠倒恐惧不生起。","名誉不存在。","亲眷不存在。","没有爱憎。","没有悲哀，也没有快乐。","明白器世界的幻。色、声、香、味、触、法是幻。","连我亦不存在。","我说：","“这不是空了吗？”","白空行母说：","“这是大空而住。”","我说：","我","“空怎会快乐？”","白空行母说：","“舍弃就是快乐，开悟就是快乐，自在就是快乐，安住就是快乐，不牵挂就是快乐，没有我就是快乐，无念就是快乐。......这种乐才是永恒的大乐。”"
"049 最后的警告","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c049","说：","“白空行母菩萨，这本书已写至最后一篇，你尚有何话要交代？”","白空行母说：","“警告、再警告、三警告。”","我说：“话说一次就可以了，何必重复？”","白空行母说：","“人们健忘，或明知故犯，或受不了迷惑，或以为可以幸免。人们忘掉了因缘果报是一丝不苟的，下三恶道的人，须修忏悔法、还净法，一点也不能马虎。”","我问：","“弘法人员还要注意什么？”","白空行母答：","自己常常没有修法，却要教人常常修法。","自己没有真正实修，却给人皈依灌顶。","自己没有相应，却给人灌顶相应法。","自己没有开悟，却说自己开悟，又去证明别人的开悟。","自己自利又自私，却要他人慷慨布施。","自己行为不正，又评论他人的行为不正。","自己没有定力，却教人禅定。","","总之——","弘法人员要做行者的榜样。","伪装。","心机。","虚假。","骗人。","欺瞒。","都是《下三恶道名册》中列名。","我问：","“守三昧耶和誓戒，是不是让佛法变得死板而无味，也无法实际应用，这样是不是不太好吗？”","白空行母答：","“要守戒，而不被戒守。这当中有许多巧方便，有时间再说，其实也可以灵活运用，绝对不是死板的。”","我问：“行者有什么须注意的？”","白空行母答：","“不守戒律、修法懒散怠惰、自己认为境界很高，轻视自己的根本上师，这样的行者修行绝对不会成就。”","","白空行母又说：","喜欢世俗的，不会成就。","谬误的修法，不会成就。","欺骗上师的，不会成就。","江湖术士的，不会成就。","贩卖佛法的，不会成就。","腐败的生活，不会成就。","不守三昧耶，不会成就。","专讲神通的，不会成就。","渴求物质的，不会成就。","野心企图的，不会成就。","不会忍辱的，不会成就。","白空行母说：","“这些都是没有正见的，如果不下三恶道，也会转世成为邪见之人、食人魔、夜叉、罗刹鬼、精灵。”","我请白空行母再教示。","白空行母最后说：","“请细读本书，牢记于心，一再的思惟。”","我","“此书重要否？”","“第一重要！”白空行母答。",""
"050 附录：嶽神受五戒","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c050","嶽“元珪禅师”，专修戒律。后来得“安国师”授法，顿悟玄旨。","有一天，有异人峨冠裤褶而来，随从很多，轻步舒徐，来参访元珪禅师。","元珪问：","“为何而来？”","他答：“禅师认得我吗？”","元珪说：“我看佛与众生等，吾一目视之，没有分别。”","他说：“我嵩山岳神，能令人生死，禅师安得一目视我！”","禅师说：","“我本不生，汝也不死。我看身与空等。看看自己与你，你能坏空及你吗？如果能坏空及你，吾则不生不灭。你尚不能如此，又岂能让我生死。”","嶽神听了，稽首说：","“禅师广大智辩，我求正戒，令我度世。”","于是禅师给嶽神授五戒。","","●","","禅师问：","“你能不淫否？”","答：“我有妻。”","师说：“不是谓此，而是不多欲。”","禅师问：“你能不盗否？”","答：“我是嶽神，何有盗取之事。”","师说：“不是谓此，而是贪求供养。”","禅师问：“你能不杀否？”","答：“我是司生杀之神，岂能不杀。”","师说：“不是谓此，而是滥杀、误杀、疑杀、混杀。”","禅师问：“你能不妄否？”","答：“我正直为神，岂有妄？”","师说：“不是谓此，而是合不合天心。”","禅师问：“能戒酒否？”","答：“能。”","禅师说：“以上正是佛的五戒！”","读完了“元珪禅师”给嶽神授“五戒”，我有一些感悟，如下：","守不淫戒，指的是邪淫、多淫、乱淫。","守不偷盗戒，指的是贪供养、多取、偷、拐、抢、骗。","守不杀戒，指的是不该杀而杀。","守不妄语戒，指的是出口合不合天心。","守不饮酒戒，指的是迷乱心性的，不沾唇。","这五戒原是一切戒律的根源，要学佛得成就，须守五戒，否则，顿失人身。","","●","","我觉得真佛宗的弟子，人人都应该守五戒，因为只要是佛弟子，这五戒不守，就已是俗人一个，佛不能成，人身也不保。","所有弟子都应该守五戒，更何况是金刚上师、出家法师等等弘法人员。","若多淫欲——犯戒！","若贪供养——犯戒！","若多斗争——犯戒！","若妄语多——犯戒！","若饮酒等——犯戒！","我发现有些弘法人员，贪求供养已经太过份了，多了还要更多，已经到了无法无天的地步，弘法人员贪求供养，不守本份，是等同“偷盗”的。","我更发觉，有些弘法人员，出口便是妄语，不只是偶犯，而是随口便是不实之言，真正成了“白贼七”，惨矣！","还有些弘法人员，争抢地盘，争名夺利，互相斗争，与世俗人何异，学佛不成，成了阿修罗了。","嵩","我见如此弟子，深深觉得可悲可叹，也可惜他们错失成佛的大缘份。","我无语问苍天！坐观这些人的伎俩把戏。",""