"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55"
"024 永远不会死去的","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c024","呷！","我想告诉你的是，在我的过去世之中，我记忆某些人、某些事，还有记忆你的事，我自觉，你我从来未曾死过。","好像死过，但，还是没有死。","我有段记忆是这样子的－－","突然之间，自觉自己非常的疲惫，全身无力，虚脱了。","一片长长的黑暗飞了过来，那黑暗把自己给掩埋了，四周全是黑暗。","感觉上，四周有很多人，我算是一个大人物吧！因为四周的人很多。","他们都在注视着我。","我无法同他们对话，因为一片黑幕，还有连说话的力气都没有。","我知道，原来这就是死。","","但，一片光明照射过来。在某一个时空之中，又似乎神奇的活了。","啊！我并没有死啊！","呷呷！","认眞的说，我并没有死，我举几个例子来说明，我并没有死－－","我只是换一件衣服。","我只是换住另一个房子。","我只是搬了一个家。","我只是改朝换代。","我只是换了一具身躯。","我只是整型一次。","","有一点点改变，但，大部分是不变的，我有强悍的生命意志，一直的延续下去，就像红花一样，开了又谢，谢了又开；开了又谢，谢了又开。但，叶子永远不落，根、茎永远活着。","呷呷！","你我正是－－","互相交缠。","互相纠结。","互相绵密。","我们的这一世，连结着上一世，上上一世，更上上一世，当然也连结，下一世，下下一世，更下下一世……。没完没了。","大家以为死了的，其实从别地方，又活了过来。","","憨山的诗：","一泓死水静无波，绕岸芦花寂寞皤。","声及潭边惊鸟起，寒光翠影共婆娑。","又：","雪里梅花初放，暗香深夜飞来。","正对寒灯独坐，忽将鼻孔冲开。","(表面似死，却是活的。)","","写一首诗，送给你：","没有不散的席筵","但","情是深","意是浓","心与心却是绵绵","","不要以为飘渺如烟","忽悠悠化去","泪眼","长眠","呷","怎知道来世又重演","","","",""
"025 在风雨飘摇之中","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c025","呷！","听说“台湾”又有台风来了，在这些年中，在关岛形成的台风，在菲律宾形成的台风，它们吸足了太平洋的水气，于是风大雨急的扫过。","风吹倒电线杆。","风拔树倒屋。","暴雨。","土石流。","落石。","淹大水。","……。","","在台风日，人们不耐烦待在家中，反而到百货公司去，或电影院满座。外面风雨飘摇。而过着台风假的人们，躲在温暖的一角，暂时把风雨抛在脑后，那是悠闲而自在的另一种舒适。","如果不这样。","你可以在落地窗前，看见大雨急骤，风呼呼的吹，群树张牙舞爪。","窗内，你喝着咖啡。","窗外，有抽象画之美。","台风夜，你亦可享受那份风雨中的宁静，你沉沉进入梦乡。","梦中无风无雨。","","呷呷！","我的事儿，流传甚广，在我的四周，不是风，就是雨。","人们最喜欢的是“风言风语”，它们像台风一样，一波又一波的侵袭，有些实在错得太离谱了，有些根本走了样，有些“子虚乌有”，有些“穿凿附会”。","台湾人常说：","“看一个影，生一个仔！”","更糟糕的是：","“一犬吠影，百犬吠声！”","我一点也不惊慌，我每天照样安静的写作，安静的修法。","台风夜！","我更沉静！","","法远的诗：","幻世出没有何穷，幻化本来体自空。","南山起云北山雨，楼头鼓动庆阳钟。","又：","来时无物去亦无，譬似浮云过太虚。","抛下一条皮袋骨，还如霜雪入洪炉。","","我体会到：","无所谓！","无所谓！","无所谓！","","我写一首诗送给你：","对于外面的风风雨雨","你我均懒慵","不看","不听","当成耳边风","","我们化为一道彩虹","只是一时的惊鸿","呷","这偶而相逢","风起云涌","风起云涌","又消失的从从容容",""
"026 我们不要失眠","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c026","呷！","我听到有人说：","“睡好眠有三大口诀。第一，心放空；第二，身放松；第三，气要通。”","我听后，觉得很有道理。","心放空－－把脑袋的垃圾，包括妄想、烦恼、心事、琐碎的小事，全抛出去。","身放松－－摆一个你最习惯的姿态、最放松的姿态，让身体松懈，轻轻松松。","气要通－－呼吸通畅，无鼻塞、无痰、不咳嗽，吐纳均匀。","这是睡眠三要素。","","宗一禅师的诗：","美玉藏顽石，","莲华出淤泥；","须知烦恼事，","悟得即菩提。","","呷呷！","你若悟得，便知禅定的口诀是：","无事。","无心。","你说：","“会失眠！失眠很痛苦！”","我说：","“放空就好了！”","你说：","“因为有你，所以放不空！”","我说：","“暂时放空，一切醒来再说。”","","我觉得这就是修行，修行如同晓通禅师的一首偈：","冷似秋潭月，","无心合太虚，","山高流水急，","何处驻游鱼。","","呷呷！","前二段是无心，后二段是无事。明明有事怎会是无事？","那就要靠“止观”法了，当你止不住想念的时候，何不“金刚诵”？","“”－－白光吸入。","“”－－红光久住丹田。","“”－－蓝光呼出。","你若如此观修，就是“金刚诵”，行者的心渐渐的专注于一念，由一念止住了万万的念头，由这一念入于深眠之中。","你说：","“失眠是我害的！”","我说：","“我们不要失眠，用『金刚诵』吧！”","","写一首诗送给你：","彼此的想念","何啻价值千金","我们心连着心","呷","","请把我吸入你的身","二者合一","变化成知音","就这样深入睡眠"
"027 鲑鱼的回航","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c027","呷！","你知道吗？在美国“华盛顿州”，在“伊斯挂”(lssaquah)的小鎭，有一个地方，是鲑鱼产卵的地方。","鲑鱼产卵之后的卵，变成了婴儿鲑鱼，牠们在这里成长、成长。","长了成形，接着牠们就出去流浪，牠们从溪河到达了“华盛顿湖”。","在那里适应一阵子，然后由淡水的“华盛顿湖”，进入咸水的海洋。","在海洋之中到世界游历……。","约五年后。","牠们要产卵了，就从海洋游回“华盛顿湖”，再由“华盛顿湖”沿着溪河游回“伊斯挂”产卵的地方，成长的地方。","","每年，鲑鱼出去流浪。","每年，鲑鱼回来产卵。","千千万万的鲑鱼，蔚为奇观。","有人说：","“鲑鱼有GPS。”","有人说：","“鲑鱼认得故乡水的滋味。”","有人说：","“鲑鱼不忘本，出生及死亡都在同一个地方。”","有人说：","“鲑鱼有情！”","有人说：","“这是爱的回航！”","我听了，非常的感动，这虽然是非常难以理解的事，但，这是事实，百分之百的事实。","","由鲑鱼，联想到你我。","那是很久很久以前，你我初见面。","你说：","“我的内心深处就已经有了你的味道。”","我回想起来：","“那倒是眞的，初见面的那一天，我就已经惊叹了！怎么这个人，那么的深刻、那么的熟悉。”","于是：","你心中有我。","我心中有你。","你去流浪，我也去流浪，最终的，又回到我们的海上。","","法照的诗：","万里归乡路，","随缘不算程，","寻山百衲弊，","过海一杯轻。","(天哪！你我终于回到自己的地方。)","","我写一首诗送给你：","我走过了多少城市省州","你坐过了多少车船机舟","在水际","在山头","住过了多少楼","","辗转多少年后","呷","多少时候","悲欢离愁","缘来了","缘去了","原来就在你我的回首"
"028 回到鄕下去种田","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c028","呷！","我心里有一个计划，必须要对你说，将来我老了，我退休了，我要住到一个没有弟子的地方，住到偏远而不知名的乡下。","我已心中有谱。","在那里，毗邻着海岸。","有一大片的松林。","羊肠小道的尽头。","有一间木头小屋，烟囱上吐着袅袅的炊烟，那就是我老头的家。","我会种植一些蔬果，我举起铲子，把过去的一切，全部埋葬。","在过去，我是昂扬的帆船。","现在我把帆船，繋起，不再出航了，只要停止了出航，就不会有波浪。","","一切都结束了！","我想到：","最好的肉－－鸡肉。","最好的菜－－蕃薯。","最好的果－－木瓜。","我要养鸡，我要种蕃薯，要栽木瓜。","我要过一个完全没有干扰的晚年。","这个时候－－","没有什么叫顺境。","也没有什么叫逆境。","","呷呷！","在海岸，夕阳就是我们的邻居，会让我们时时目睹。","让你我坐下来，欣赏着时光中流逝的种种风景。","我养的鸡，就是你我的亲眷属，当然有公鸡，也有母鸡。","我喜欢公鸡的威武。","你喜欢母鸡的柔顺。","这是另一个安宁时代的来临。","","呷呷！","你喜欢吗？","你可以摇金刚铃，鼓晚钟，那是多么美丽的黄昏。","敬安(八指头陀)的诗：","迢遥钟梵下斜阳，寂寂岩花渡水香。","屋角一铃风自语，窗前万木雨催凉。","山衔云气窥人净，江挟涛声入海长。","却羡巢松千岁鹤，不知尘世有沧桑。","","呷呷！","你我把过去的事，全忘了吧！现在大地之间，只剩下你和我。","写一首诗送给你：","就像一埸戏","总有一天锣鼓歇","","这个时候","我将与诸弟子永别","挥一挥手","挥去了襟袖凄冽","也离开了法座金阙","呷","","呷呷！","如果在寒冬时节","可以依偎着看窗外的新雪",""
"029 欢偷的日子","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c029","呷！","我有很多的日子是凄凉的，我有很多的日子是忧伤的，我有很多日子是幻想的，我有很多日子是落寞的，我有很多日子是孤单的……。","这一生，挫折很多很多。","这一生，打击很多很多。","这一生，毁谤很多很多。","我应该是，一个忧悒的人，一个悲哀的人，一个走在沙漠的孤独的行人。","那一年！","我们见面了！","那绝对不是第一次的见面，而是很多次的见面，只是，我们是有影像之间的距离，这奇异的距离，见面如同不见。","一直到那一天，我们座位非常接近，二个人的座位，你我同坐。","我们开始说话了！","你讲了 一句，令我不敢相信的话，这句话令我的心灵产生了颤抖，我惊呼，这简直太突然了，我想也不敢想。","","这句话直接进入我的心中，我看到我的内心，其实你就在里面。","情！","是的，是情！","这时，我才惊觉，我的内心，早已把你珍藏，没有人胜过你。","从那天开始，我就疯了！我这个疯子，左看右看，前看后看，就是想看到你，看到你，心情就十分的欢愉。","从此，欢愉的日子，就展开了序曲，我对内心说，我对你说：","“这是我这一生之中，最欢愉的时光！”","你说：","“我也是！”","我快乐。","你也快乐。","","就这样，我体贴你，你体贴我，我们互相体贴，贴切而自然，你我的感触不同了，欢愉的日子，一直都很绚烂。","于是我知道：","“你是我快乐的泉源！”","你也说：","“在一起，是一生中，最快乐的时光。”","怎么会这样？","天哪！","怎么会这样？","你我总以为这不是眞实，或许是逼近眞实，但，眞的是眞实。","我眞的爱上了这个眞实，你我不管后来会变得怎么样。","","写一首诗送给你：","呷呷！","你终于把我的心扉打开","而里面","一个栩栩如生的你走出来","不用剪裁","","快乐在你的香顋","你我的缘分啊","变成洗不掉的千万年青苔","","","","","呷","","","","",""
"030 将“快乐”供养","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c030","呷！","我是一个将自己“身、口、意”供养给自己的“上师”、供养给自己的“本尊”、供养给自己“护法”的行者。","当然，我一样把“你我”，供养上师、本尊、护法。","祈求祂们垂加护。","让我们的快乐能够恒恒久久……。","我了解：","当一叶小舟，漂泊于湖上之时，小舟会留下水的痕迹。白色的，拖在舟尾。","这一道痕迹是小舟行走时，划下来的水痕，但，很快就会消杳，又平静了，无涟漪。","不用很久。","","我的人生也是一样－－","童年已幻化。","少年已幻化。","青年已幻化。","壮年已幻化。","在我的回忆之中，渐渐的、渐渐的，模糊了、模糊了 。","只是偶而“电光一闪”，有一丝的欢喜，有一丝的忧伤，或许一时勾起，在某一些时刻，牵动我们的心思而已。","","呷呷！","我不喜欢这样，虽然明知“电光石火”，但，我眞的不喜欢这样。","我明知不可执着，但，我却执着。","我什么都不执着，就是执着你呢！","于是：","我把我供养给“阿弥陀佛”。","我把你供养给“白衣大士”、“白空行母”。","在未来际－－","“白衣大士”永远的跟随着“阿弥陀佛”，天上人间，都是一样的。","大同的偈：","四大动作，","聚散常程，","汝等勿虑，","吾自在行。","(此偈道尽人生，唯有自在的人，常能永恒。)","","我祈愿，在未来际，在佛国刹土 ，我是无量寿的阿弥陀佛，你是无量寿的“白衣观音”，这样就可以“自在”行了 。","","写一首诗送给你：","佛说","不执着","我说","沧海一小舟","随风十方去流浪","东西南北游","","如今","要到彼岸去","在那里有一片绿洲","你是观音","我是弥陀","","呷","将漂泊的心来收","极乐国","恒久恒久","这是你我的地头",""
"031 坐在法王的宝座上","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c031","呷！","我常常如此说，这一生我只会两样：","一是写作。","二是佛法。","我每天要花很多时间研究“经、律、论”，尤其是五部大论、弥勒菩萨五论、一切续部。","我读经，实修密法。","我的的确确的实修：","四加行。","上师相应。","本尊法。","修气。","修脉。","修明点。","金刚法。","无上密。","大圆满法。","明心见性。","","在我“明心见性”的时候，十方诸如来，统统现全身，我融入其中，我知道一切成了。我可以端坐在法王的宝座上，向大众宣讲佛法。","我能够坐在法王的宝座上，那可不是一蹴而成，而是经历了千辛万苦的磨练，通过了诸多的考验，死去活来的挫折，最后才能端坐紫金莲的。","藏密教主“甘丹赤巴”亲自给我披上了：","“法王袍”。","","呷呷！","当我坐在法王的宝座上时，传统的悲剧又来了，很多人看不见我是眞正的行者、实修者，反而觉得我这个法王得来太容易了，引起了他们的嫉妒及吃醋。","这些，我是不去理会的。","昔日佛陀成道，一样遭受到二女“战遮”、“孙陀利”，六师外道(六大教派)攻击。","所以我称之“传统的悲剧”。","其实这也是：","“誉之所至，谤亦随之”。","这些都不要紧，要紧的是，你要好好的追随我，要：","读经。","修法。","让你的成就与尊贵的“空行母”同等。","我们不只是道侣，我要看见你，壮阔雄伟的胸襟，全身光明的印记，领悟空性的智慧，深入禅定的寂灭之海，如此，才不违背你我的“相惜”。","我坐在法王的宝座上。","我也要你，坐在法王的宝座上。","","写一首诗送给你：","日月等闲容易过啊","盼望勿虚掷光阴","祝你","一步一步的实落","","管他人蜚长流短的言语","不理会","心也不漂泊","走过那平沙漠漠","","就是那光明与光明的相融","呷","成就于一","坐上你我双双的宝座","","",""
"032 不会有结局","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c032","呷！","有一天晚上。","一群弟子送我，却读唱了一首歌：《无言的结局》。","我对弟子们说：","“不会有结局！”","弟子们愕住了 。","我解释：","“所谓不会有结局，是无始无终的意思，是绵绵不断的意思，是师徒之间的缘分永永远远，一直循环不息，不会分散的意思。”","这时。","弟子们才掌声不断！","是的，你我之间，不应该有结局，有结局就停留在那个阶段，不能再前进了 。","呷呷！","我对你说，我们不会有结局的意思是说，我们没有空间、时间的限制，你我的情谊，永永远远不停的流转不休。","","我们不是：","“王子与公主，从此之后，过着幸福快乐的日子。”不是这种结局。","我们也不是：","“爱你一万年！”","一万年也是结局。过了一万年就没有了。","也不是：","“爱你万万年！”","万万年毕竟有结束的时候。","我说“不会有结局”，就是你就是我，我就是你，没有什么结局不结局，是无始无终的，是不会结束的。","像云一样－－","","云不知从何而来，云不知从何而去，云无生，云无死，它是偶然来，它是偶然去，不过它的出现，它的消杳，等于是：","此处没。","他处现。","它是无始无终的。","云根本不会有结局！","","有谁能识浮云意，悠悠天地之间？","皎南的诗：","未到无为岸，","空怜不系舟，","东山白云意，","岁晚尚悠悠。","(这白云悠悠是眞正的义谛)","","写一首诗送给你：","就把我观想成天际","就把你观想成云","云与天","欢欢喜喜","","我惜你","你惜我","在这有情的天地","何必去寻见","","呷","悄悄的来","悄悄的去","在不分离之下没有结局","",""
"033 我修“无漏法”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c033","呷！","当我在修行“宝瓶气”之后，我先修“无漏法”，后修“拙火法”。","为什么？","因为我认为“无漏法”是“拙火法”的基础，先得到“无漏”，气才能足，腹(脐下四指)，生法宫发暖，如此才能升起拙火。","我认为：","漏精(明点)摩擦精管是小乐。","无漏(明点)在中脉中降提摩擦，才是大乐。","明点不流失，易升拙火。","在大乐中，能够入定，这就是“欲乐定”。","","“无漏法”观修口诀：","手印：七支坐。","咒语：长“吽”。","观修：先修宝瓶气数次，用右手结“金刚指”，中指指在头顶中脉的顶穴。","想脐轮有红色“”字，其“吽”字尾的勾“”勾住龟头(宝珠头)前的白莲花(明点)。","此时，收腹部，运气上升，念长“”字，将“吽”字顺中脉，往上提，提到顶穴之上。","观想最上为“”字(红色)。","次为白色莲花。","三为肉髻。","(肉髻是阳具，倒卷入中脉，至顶穴而成肉髻。)","这是观修法。","","技法方面：","一、日月朝天－－双眼朝上看。","二、舌抵上颚－－通气、提明点。","三、压喉结－－麦管吸水，一压不漏。","四、上行气呼出－－下行气上升，提住明点。","五、腹贴背－－收腹部，把明点提住。","六、提肛－－收紧肛门，提住明点。","(这是萨迦六势变，无漏技法。)","","呷呷！","我为何要重述“无漏观修”及“无漏技法”，因为这对行者修“拙火法”太重要了。","又对：","众生有大益。","呷呷！","你知道的，要得“大乐”、“光明”、“空性”，是一定要观修：","“无漏法”。","","应物的诗：","长川不见龙行雨，幽谷遥闻虎啸风。","偶与游人论法要，眞元浩浩理无穷。","(这眞元，有形的，应指明点。无形的，即是佛性。)","","我写一首诗送给你：","不要因为我写的秘密","就惊讶","这是众生的日常行谊","不会不雅","","呷","这可不能装聋作哑","我不是","太闲暇","","要认眞的观修"
"034 听着雨声入梦鄕","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c034","呷！","这几天，雨总是不停的下着，听着雨声入梦乡，这眞是美好的夜晩。","我听过你唱歌，那清澈悠扬，那柔音绕梁，点点滴滴沁入心房。","歌声、雨声，我拥抱着呢喃，就这样，不知不觉的沉入了梦乡。","在梦中，我又回到“天河胜景处”故乡。","在那里“天女”不停的唱歌。在那里，天乐不停的响，天鼓不停的敲，“天女”的舞蹈，姿态美妙。","我们总是姿态优美的飞翔！","我们总是不停的歌唱！","我们总是不停的游戏！","所有诸天的快乐，胜过人间的种种：","橄榄球。","保龄球。","羽毛球。","跳绳。","弹琴。","歌舞。","","这些等等等等，全在奔驰流转，这些游戏一场又一场。","非常的尽情，非常的尽兴，愉悦更是非常。","我说过：","你我玩跷跷板。","你上我下。","我下你上。","“克、克、克、克”。","就是这样的游戏，过了人间一百年，过了人间一千年，凡尘俗世的人，眞的非常的难以想像。","没有灰尘。","没有疾风。","没有寒热。","这世界无法形容，那种快乐嬉戏，长、长、长，畅、畅、畅，无法，挡、挡、挡。","","我心里想：","甘露。(食)","天衣。(衣)","宫殿。(住)","游戏。(行)","这“天河胜景”就是所谓的天堂，那是你我天上的故乡。","象征的诗：","利名归俗世，山水委贫僧。","视篆都车马，分符擅爱憎。","清风犹吝色，明月岂钦称。","独羡芒鞋软，楼台任意登。","(这首诗抛世俗，而乐出世。却也不如天河胜景处的安适。)","","写一首诗送给你：","这残雨","惹得江天变成夜暮","你的歌","就如同点点滴滴的叶树","","人间就是短暂的客旅","呷","不如归去","走向回家的路","梦里已经历千百度","忆起天河胜景处",""
"035 我眞正的工作是写作","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c035","呷！","有人问我：","“卢胜彦，你在人间眞正的工作是什么？”","我一时怔住了，后来想了一下。","我答：","“我只会学佛、写作、修法、说法，还有划一点点画。”","那人再问：","“如果去掉佛法，你的工作是什么？”","我答：","“那就是写作了！”","是的，是写作，这是每一天，我在书房，专注的埋首，日常的工作。","我到 Office Depot，买 Filler Paper，然后装订成一册，共一百张。","我每天写二张。","五十个工作天，就完成一本书。","然后就出版。","","我的工作是很孤单，只是一个人，一枝笔，一本写作簿，没有人能帮忙！","当我投入工作的时候，整个人及精神，完全在笔与纸之间。","如同我写这一本《对着月亮说话》，我的脑海中只有一个你。","你的一言一行。","你的鲜花般的笑靥。","你的优美姿态。","完全而没有保留的，投影在我的写作之中，完全融合成一片。","这写作，是我终生的工作，终其一生，没有离开过写作。","有人说：","“认眞工作的人，最庄严！”","我笑了。","","事实上，没有比人专注于自己工作的时候，更庄严了。","有人笑我，你仍然在爬方格子吗？现代的作家，用电脑写作，讲话输入电脑，按键写作，e时代来临了，卢胜彦师尊，仍然用笔及纸，太落伍了！","是的，我是落伍了！","我在荒芜的田园，仍然用锄头。","我在空白的纸上，仍然用笔。","","呷呷！","这就是我的“眞”。","写一首诗送给你：","眞正在工作的时候","一向","只有一灯相伴","","脑海中只剩下一个你","占据了我的全部","无法分散","","孤独的笔与孤独的纸","在时光中","一半一半","","其实也没有什么好怨叹","呷","这个工作就是不能断","","","",""
