"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","firstcharacter","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60"
"025 这里眞的是“地狱”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c025","有一个亲人生病了，她不让我们知道，主要是，她不想让我们担心她。","她经常吃止痛的药，半夜痛到醒来，趴在床旁痛哭，她感觉到有一个人，去拉扯她的肠子，她痛得每晚都哭泣。","","后来她进医院了。","她的：","子宫。","卵巢。","肠子。","粘贴在一起，而且腐烂了，她必须要动最大的手术。","","师母“莲香上师”去看她。","师母看到:","一群重症患者，一个个躺卧病榻上。","插管的。","失智的。","疼痛的。","晕死的。","开心的。","开脑的。","开肠的。","截肢的。","师母说:","“这里眞的是地狱！”","","这里的病患，其实人人心中都很害怕，人人都很痛苦，生死存亡之际，每一个人都在受考验，他她彷徨无依。","","事实上，没有尊严，没有虚假，没有多大希望，那些穿白色制服的人，穿插在他她中间，穿白色制服的人，也麻木了！","病人急。","守护的人急。","但，白色制服的人，麻木了。","师母说：","“这里眞的是地狱！”","","我个人当然了解生病之苦，我也曾经生病过，我到医院去探访病患，那里躺的，全是扭曲变形的人。","我确认：","“医院如同地狱！”","","我自己问自己：","“你怕病吗？”","“怕。”","“你怕痛吗？”","“怕。”","“你怕你的器官出问题吗？”","“怕。”","“你能预防吗？”","“防不胜防。”","“如果你病了，而且是绝症，只有等死，你会怎么样？”","我答：","“认命！”","“你会抱怨吗？”","“不会！每一个人都会死，抱怨也没有用！”","“你会怎么想？”","我","“心存一念，往生净土，超生出苦，南无阿弥陀佛！”","“有无遗憾？”","“没有。戏演完了！”","","","","",""
"026 赵舜的死","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c026","视台的老演员赵舜，他死了，五十八岁。","我在电视新闻看到他的死讯。","赵舜是眞佛宗的弟子。","","记得很久以前，赵舜第一次中风。","后来第二次中风，喉咙连口水都无法呑咽。","有人教他念《高王经》一千遍，他信而持之，刚好念完一千遍《高王经》，赵舜的喉咙就可以呑口水了。","是奇迹？","是巧合？","总之，赵舜就皈依了眞佛宗，而且为眞佛宗大大的宣传一番。","后来听说有三度中风，但也好了。","","最近赵舜因为病情恶化，躺在医院的重病房。","赵舜之妻简讯给徐师姐。","问：","“什么时候可以醒？”","我答：","“百分之五十，他在生死的关键时刻。”","再问：","“几天后可知？”","我答：","“五天后，就有答案。”","徐师姐计算时间，非常的巧合，就刚好第五天。","“赵舜死了！”","徐师姐告诉我：","“给赵舜超度吧！”","我说：","“我会。”","","我问我自己：","“赵舜死了，你有什么感觉？”","我说：","“连释迦牟尼也得死，全世界上的生物，都终究得一死，这件事是非常严肃的，也正为有这一死，才能解脱人世的苦，有这一死，再也不用烦恼此生。”","“那你是不烦恼死啰！”","“商人得死，佛教徒得死，政治人物得死，宗教人物都得死，富人得死，穷人得死，连国王总统都得死......。”","我说：","“死才是另一种解脱！”","我说：","“眞是痛快啊！”","认眞的说，我不把“死”当成一回事！","“那你把什么当一回事？”","我答：","“没有事！”","“佛法呢？密法呢？度众生呢？”","我答：","“那是我有生之年的最珍贵的宝物，我很重视。”","“那不是事吗？”","我答：","“佛法最终极，是没有事；密法最终极，是没有事；度众生最终极，更是没有事。我讲这句话，不知有人明白否？”","","","","电","","","","","","","",""
"027 整型","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c027","一天。","我突发奇想：","我要去“整型”，去找中山医院整型外科主任郑森隆博士。","他是我久年的弟子，我在台湾，住“宜欣社区”的时候，他就皈依了。","","他问：","“卢师尊想要如何整型？”","我答：","头发要有发髻。","眉心要有一颗红痣。","佛的长眉。","佛的长眼。","鼻挺、口阔。","重要的是耳垂及肩，耳加长，垂及肩。","胸前卍字。","(我拿阿弥陀佛的法相，给他看，我就是要整型成阿弥陀佛)","郑森隆博士笑了。","我也笑了。","","一弟子说：","“以后，我们修上师相应法，要如何观想根本上师？”","我答：","“视师如佛。”","一弟子问：","“以后阿弥陀佛来接引卢师尊，已认不得卢师尊了？”","我答：","“佛接引佛。”","有一弟子说：","“色蕴不是佛！”","我说：","“对了！色蕴绝对不是佛！”","","色蕴包括了一切物质的现象，以众生来说，它指的是人的身体，自我观念的生起和我们的身体有关的种种。","我们执着我们的这个身体是“我”。","然而，如果我们以分析究竟“无我”的眞正智慧来探究竟。","我们发现身体不是自我。","","我问我自己：","“昔日的学生时代卢胜彦，是不是今日的卢胜彦？”","我答：","“不同。”","“昔日潇洒的少年卢胜彦，是不是今日的七十岁卢胜彦？”","我答：","“不同。”","“昔日光鲜的脸，今日额头皱纹，眼睛鱼尾纹，眼下眼袋，鼻旁法令纹，是不是不同？”","我答：","“不同。”","“谁才是卢胜彦？”","我答：","“谁都不是卢胜彦！”","“老天！谁才是卢胜彦呢？”","我答：","有","“根本没有卢胜彦。”","认明这句话，一切烦恼断。","","","","","",""
"028 按摩院","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c028","一次，几个人，走过一家按摩院。","一位弟子问：","“卢师尊你可以进按摩院吗？”","我答：","“可以。”我很爽快的说。","弟子问：","“纯按摩？还是不纯按摩？”","我反问：","“什么是不纯按摩？”我明知故问。","弟子答：","“不纯按摩，是有女侍，脱个精光，女侍自己在身上涂肥皂或精油在你身上摩擦，然后......。这样卢师尊也可以吗？”","我答：","“我没试过。”","弟子问：","“为什么没有试过？”","我答：","“没有人邀请我。”","弟子说：","“如果我邀请你呢？”","我说：","“嗯！没问题。”","弟子说：","“到时可别说是戏言，不许逃哟！”","我说：","“绝对不会逃。”","弟子说：","“很好！卢师尊果然是不凡的和尚，很好，哈哈哈！”","","我问我自己：","“一般和尚、修行人，连纯按摩都不敢进去，何况是不纯按摩。卢师尊！难道你是圣人吗？完全不动心吗？”","我答：","“女人我懂，男人我也懂，食欲、性欲、睡欲我都懂，甚至滋味我都懂，好滋味我也懂，欲望，我懂。”","“懂，你还敢去？”","我答：","“我的修行功力就在这里！”","“什么功力？”","我答：","“我能自我控制。”","“如果控制不了呢？”","我答：","“控制不了，就不算功力了！”","“你胜凡夫多少？”","我答：","“喧嚣、吵杂、异香、女人、柔情、蜜意，把我整个肉体包裹了起来，我不会完全的沉醉，我的灵明还在，我自我控制还在，我无得也无失。”","“谁能证明？”","我答：","“佛！”","“卢师尊！你不要吹牛？”","我说：","“如果我吹牛，我就是凡夫。我能自我控制，我不是凡夫僧。我就是这样！”","","","有","","","","","","","",""
"029 穷极密法的人","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c029","人问我：","“卢师尊！你懂什么密宗？”","我答：","“我是穷极密法的人。”","人问：","“东密你懂吗？”","我答：","“开元三大士的不空，传密法给惠果，惠果传空海，空海回日本，便是东密。”","“台密你懂吗？”","“最澄到了天台山，最澄回日本，传的是台密。”","“中密你懂吗？”","我答：","“金刚智传密法给不空，不空传惠果阿阇梨，是中密。”","“藏密你懂吗？”","我答：","“西藏的密宗，大圆满法、大手印法、大圆胜慧法、大威德法。从四加行、上师相应、本尊法、金刚法、无上密。事部、行部、瑜伽部、无上部。”","“你懂杂密吗？”","我答：","“在天竺乌金，密教盛行，流行的种种较偏颇的密法，统称杂密吧！”","","人问：","“你如何学？”","我答：","“我各有师承，也有禅定最寂静的传承。”","人问：","“你最终极学到了什么？”","我答：","“明心见性。”","“明心见性又如何？”","我答：","“哈哈哈，什么都知道了，清清楚楚，明明白白，好好玩，好有趣。”","","我自己问自己：","“一生穷极密法的人，也难逃一死，穷极密法有什么用？”","我答：","“莲华生大士、龙树、那洛巴、宗喀巴、卢胜彦......，将来我也会消杳，因为所有的祖师都会消杳，所以我很心安。”","“这是什么义？”","我答：","“了义。”","“了什么义？”","“无得无失，不增不减，不一不异，不生不灭。”","“这有什么心安？”","我答：","“成佛，成密。”","“还有什么？”","“爽！”我说。","“你用了多少年的功夫去求取密法？”","“三十多年吧！”","“用的是什么法？”","“不瞒你说，我用的方法很多，也有师父教的，也有用买的，甚至也有用偷的，还用骗的，哈哈哈！”","人问：","“眞令人惊讶！还有骗！还有偷！”","有","我答：","“没办法，有些师父珍藏不传，结果，全被我偷光了！哈哈！”","","","","","",""
"030 面对“千夫所指”的时候","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c030","一阵子，听说有不少人在“网路”上批评谩骂我这个小小卢胜彦。","一小丛人，来势汹汹。","有一些同门，跑来对我说：","“不好了！不好了!”","“情况很严重耶！”","“卢师尊快被人灭顶了！”","","我个人，没有手机，没有平板，也没有电脑，我根本也不会上网，所以我一切都不知道，我连一篇文章都没有看过。","所以完全不受影响。","我根本不理会。","","但同门很紧张：","“会断了很多很多人的慧命，会有很多人退出眞佛宗，会有很多人不敢进眞佛宗。”","有人说：","“很惨！很惨！”","我个人，面对千夫所指，无动于衷，因为我什么都不知道。","然而师母莲香上师指示建立：","“眞佛护法园地”。","“眞佛护法金刚”。","以对抗来势汹汹的一干人。","","我自己问我自己：","“你自己为何面不改色？”","我答：","“因为人家怎么骂，我连一篇都未看，由于不知道，所以面不改色！”","“但，人家骂得又毒！”","“不知道。”","“但，人家骂得又凶！”","“不知道。”","“但，人家骂得又狠！”","“不知道。”","“但，人家骂得又阴！”","“不知道。”","“但，人家骂得又奸！”","“不知道。”","“无所不骂！”","“不知道。”","由于眞的不知道，所以“好了了”。哈哈哈！","“卢师尊！你如果知道呢？”","当然会有人告诉我一句二句。","我答：","“当然也一样，面不改色！”","“泰山崩于前，也不会眨一眼吗？”","“是的。”","“为什么你能如此？”","我答：","“因为我是觉者啊！哈哈！”","我说：","“人世间，都是一时的假相，没有一个人是眞的。一切均是梦幻泡影，一切都是无常，一切都会过去的，我会死去，对方也会死去，一切的事情都会死去，那还紧张干什么？”","“你会输啊！”","我说：","“世间实无输，世间实无赢。”","前","“对方要把卢胜彦斗臭，对方要把眞佛宗搞垮！”","我答：","“谁是卢胜彦？眞佛宗是什米碗糕？”","","","","",""
"031 冯冯如此说","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c031","得冯冯在世的时候，我们有一次在一起。","我说：","“我读过你写的《空虚的云》、《释达坦》及《禅定天眼通之实践》等等的书，我读的非常细心。”","冯冯说：","“你眞的读啊！”","他一副惊讶的表情。","我说：","“我当然读，这没什么！”","冯冯说：","“文人相轻，你知道吗？”","我说：","“我知道，但，这眞的没什么，我连星云大师的文章，我都读！”","冯冯说：","“那种庸才法师的文章，就算写了一百本，我连一本也不碰。”","冯冯对财大名大的法师，似乎不抱好感。","","我那时，忘了问他，我的书，你到底有没有读过？","我不想问。","我也想，他可能连看也不看。","冯冯说：","“我自己写的文章，自己确信比那些庸俗法师还高明，我不想看，因为看了庸俗法师的文章，我心中会嘲笑他们，你们实在不行啊！”","我静静的听。","不作声。","但我心想：","“不算怎么样，人家建立起来的基地，总有他的本领在。”","","冯冯说：","“你听慈济证严法师的说法吗？”","我说：","“听过！”","“你认为法师说法如何？”","我答：","“老实说，架势、技巧、口白，我有听不下去的感觉。”","冯冯说：","“我是欣赏慈济精神，其他，一样不敢恭维！”","我说：","“但，他们的基地这么大！”","冯冯说：","“那是他她的方法，更胜别人一筹！”","我说：","“我就没办法了！”","冯冯说：","“你啊！你也算不可思议了！”","","话说到此，我自己问自己。","“你会建立那么大的基地吗？”","我答：","“不可能。”","“别人能，为什么你不能？”","我答：","“我就是不可能，也说不出什么因由。”","“是你没有企业管理？”","记","“应该是。”","“那你为何不做？”","我答：","","“我只会顺其自然。”","","",""
"032 从“宾利”的车子说起","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c032","九九九年，“含尼哇”小姐，送我一部“宾利”的名车，是“BENTLEY”，这部车是“珍珠色”，据说，全美国只有一部珍珠色的“BENTLEY”。","","我们晓得“劳斯莱斯”的车与“宾利”的车，可以说是同一品牌。","在英国：","皇族老辈，开“劳斯莱斯”。","皇族年轻辈，开“宾利”。","此二车是兄弟。","","一九九九年以后，我出门代步，全用这部“宾利”的车。","很多老外，一看到我开“宾利”的车，便竖起大姆指说：“好车！”","我则说：“谢谢！”","","到了今天，二〇一四年，已经过了十五个年头，我的“宾利”已经十五岁了，且二〇一五年马上又到了，这部车已十六岁了。","我始终没有换车。","","大家知道，现代的车子，日新月异，电子的设备，日日换新，机能愈来愈好。我那部老“宾利”，名好，但，设备已不精良。","“宾利”的车种也在变化，我那部老“宾利”已落伍了。","我那部车，唯一的缺点是，车子的电池，经常会漏失电。","须常常充电。","这是唯一的缺点，其他尚好！","","有人说：","“卢师尊！你应该换车了，这部车已经很老了！”","我说：","“我人已老！车子也老刚刚好！”","那人说：","“现代的车子那么多，名车也多，换一部不是更好吗？”","我说：","“唉！十六年，我和车有感情。”","那人说：","“你想占有它吗？”","我说：","“不是占有，是舍不得。”","那人说：","“舍不得就是占有！”","我说：","“是吗？我也弄不清楚？”","","我与自己聊天:","“你可以永恒占有这部车子吗？”","我答：","“不可能！”","“为什么不可能？”","我答：","“车子是机械的组合，不只会老，也会坏掉，总有一天，因缘到了，车子坏了，修不好，就寿终正寝！”","我说：","“我的人也七十岁了，过年七十一，有一天，我躺下了，死了，我也寿终正寝了！”","“所以，没有永恒？”","我说：","“是的。世间一切，没有永恒。只有因缘聚散而已！”","(此句是觉醒)","","一","","","","","","","",""
"033 谈一谈因缘聚散","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c033","在美国期间：","雷根总统-其竞选总部曾发函，邀请我帮他助选。他选上后，曾邀请我去参加他的就职典礼。","后来：","年老痴呆，逝世。","","布希总统-他住中国钓鱼台的总统馆，我住中国钓鱼台第十的总统馆。","匆匆之间，有一面。","后来：","布希回德州。","","柯林顿总统-我在美国过五十五岁生日时，柯林顿及希拉蕊，特别写了生日卡来给我道贺。","我寄书给他。","每一回均来信道谢！","他与陆文斯基的官司，我特别写了一篇文章去阐述。","","欧巴马总统-我曾寄书给他，他回函致谢。没有什么特别的互动。","......。","这种缘很淡。","也很容易散。","","在因缘聚散之中，在台湾我始终想起三个人:","阿扁总统。","当上了总统的一位台湾人。","结局是进监狱，身心沮丧。","","王永庆先生。","是台湾的第一位财神首富。","结局是：","子女争产。","第一位首富换郭台铭。","","崔苔菁。","美艳动人的秀场女王。","今日迟暮。","秀场女王换蔡依林。","这些人生的种种，因缘生，因缘灭，能不能警惕你什么？","","我与我自己聊天：","“卢胜彦，你写这些干什么？”","“没事！”","“没有为什么要写？”","我答：","“我啊！我舒畅多了！”","“你不觉得应该哭吗？”","我答：","“为什么要哭？”","“你将来也会变成这个样。会老、会病、会死，你没有了，眞佛宗乱成一圑。”","我答：","“别人的事，如此；自己的事也如此；这不是很奇妙吗？”","“奇妙？你说是奇妙？”","我答：","“眞的太奇妙了！”","我","“你不会觉得懊恼吗？”","“不会。”","“你不会觉得伤脑筋吗？”","“将来，你的命运如果更悲惨，你怎么办？”","“不会。”","我答：","“本来就这样，哈哈！”",""
"034 千年野人参","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c034","港莲馨上师，给我带来“长白山千年野人参”，然后，用炖的，熬出了一碗参汤。","她说:","“慢慢喝！”","我将参汤，咕噜咕噜，几秒钟内，全部给喝得一干二净。","","她说:","“不是这样喝的，要慢慢的一口一口尝，但，你已喝完了！”","我说：","“就这样喝完了！”","她说：","“滋味如何？”","我说：","“一点点参香，就是滋味。”","“感觉如何？”","我答：","“没有感觉。”","她说:","“一般人参，只是一时补补气，时间短。而千年野人参是天然的，补气时间很久，绵绵不绝，是非常珍贵的。”","我问：","“是千年吗？”","她：","“......。”","","我想，我们人的寿命也不过是百年，“千年野人参”，可以给我带来千年的补气，我恐怕没有补完，就已经死翘翘了。","","以前的皇帝，一般臣民，都称：“万岁！万岁！”","皇帝的儿子，大家称：“千岁！千岁！”","但，那只是赞誉、歌颂。","短命的很多。","","我喝下了“长白山千年野人参”，在武侠小说中，功力会增加十倍、百倍、千倍。眞是金光闪闪，瑞气千条，武功盖天下了。","","有人在旱灾的时候，请我卢师尊念念经典咒语。","祈求下雨吧！","而我仅是“静坐”。","有人在水灾的时候，请我卢师尊念念经典咒语。","祈求雨停吧！：","我也是安静的坐着。","","人问我：","“为何不念？”","我答：","“佛法可以撼动天地吗？”","“那你用什么撼动天地？”","我答：","“我只是安静的坐着。”","“坐著有什么用？”","我答：","“等候天命啊！若我能止旱、雨停，这旱灾、水灾自然会停止。”","“若无天命，岂不是白白静坐？”","“那也不是。”","我答：","香","“我是觉悟的人，我相信有这个天命。我只是在等待，很安静的，就像是吃了千年野人参，慢慢等效果罢了！”","","","","","","",""
"035 眼见众生苦","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c035","很多人到我的处所来，他们都是病苦的众生，我见他们痛，我心很痛。我见他们苦，我心很苦。我一直在想，为什么这小小的身躯，害得众等哀爸叫母？为什么这个臭皮囊，令众生泪流满面？为什么这个驱壳，让一家人愁云密布？","","一个少女，双脚无力，坐轮椅坐了许多年。","一位壮年企业家，心的瓣脉，出了问题，等候医师宣判他的寿命。","一个肺，常年会积水。","一个卵巢，长了一个比卵巢还大的瘤。","","你可知？","胆结石。","膀胱结石。","肾结石。","他们的痛？","你可知？","中风在脑。","中风在心臓。","你可知？","脸上长了肿瘤。","全身长了乒乓球的肿瘤。","你可知？","皮肤痒、皮肤溃烂、全身“体无完肤”的人？","","天啊！","眼瞎了！耳聋了！口不能言！鼻过敏！牙全掉了！","疼痛，这里痛，那里痛。","心、肝、脾、肺、肾出大问题。","脑部手术。","五臓六腑手术。","大小肠手术。肛门手术。","连一步也不能移动的脚。","全身插管的病患。","口腔内舌头溃烂。","......。","","这些，这些，到我面前，我能够告诉他她：","“人身是因缘假合！”","“物质的肉身是假！”","你要想“不净观”。","他要想“白骨观”。","要厌恶你的肉身，要抛弃它。","痛不想，苦不想，你要想西方极乐胜景这样才对！","","但，这时候，不能讲这些。我这时候，只能尽我的力量。(因为他她毕竟是人)","用我的手光。","用我的心光。","用我的身光。","本尊的光。","护法的光。","","用这些光去加持众等的病，盼望着奇迹出现，神迹出现，无形的力量出现，神圣的力量出现。","我用八万四千法门，去治八万四千种病，先离苦得乐再说。","","我关心病患。","有","关心他她的痛，关心他她的苦，关心这位，关心那位。","我说：","“在这个时候，能显现佛法无边，至重！至重！”","","(无常、无我、空，这时候，用不上。)","","",""
"036 觉醒的人眞好","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c036","一篇文章〈眼见众生苦〉，是属于入世的，而这篇〈觉醒的人眞好〉应该是开悟的。","觉醒的人，应该知道：","每一个人都会生病。","每一个人都会多多少少有意外。","每一个人身体会变化。","每一个人想法会变化。","每一个人命运有时好有时坏。","每一个人都会死。","","生、老、病、死，没有一个人能够逃得掉，唉！人就是这样！","如果，你常常想-","生病了，为什么是我？意外了，为什么偏偏又是我？","为什么不能常保青春？为什么我身体会变老？","我的命运怎么那么背？","为什么我会死？","哀声叹气、怨天怨地、痛哭流涕，这人生是多么的苦！","","但，觉醒的人，不同：","这是自然法则。","每一个人都要经历的。","命运本来就有吉凶祸福，不是顺，就是逆，尚有吉带凶，凶带吉。","人的最终，就是死。","哈哈哈！","","人生本就是一场梦。","人生本就是一出戏。","像梦、像幻、像泡、像影。","一切就随它去吧！","","我与我自己聊天：","“哟！卢师尊，你眞的是如此觉醒的人吗？”","我老实说：","“有时候也没有，也会跟一般人一模一样，像凡夫一般，叹气！”","“那你如何自称是开悟者？”","","我答：","“我遭遇困境，就用自然法则去想一想，想一想，就淡然了！”","“什么是淡然了？”","“随它而去吧！不然要怎么样？”","淡淡的，淡淡的，淡淡的月光。","荷塘啊！荷塘啊！","水慢慢的吟唱！","鱼儿哟！鱼儿哟！","慢慢的游！","我不会把事情看得很重要了！","","我说：","“我以开悟去触任何问题，一切问题全淡化了，消失了。”","“关于哪一些事？”","我答：","眞佛宗的未来，管它的。","卢师尊活佛眞假，管它的。","前","将来名誉如何？管它的。","你的境遇？管它的。","你的死后？管它的。","我只管，下一顿饭，我吃什么？","邪教？管它的。","","",""
"037 去看一场“闹戏”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c037","〇一四年的圣诞节，那天晚上，我们在“新光三越”聚餐，正好赶上一场电影《博物馆惊魂夜(三)》，就这样顺理成章的看了一场“闹戏”。","","剧情是这样的：","从埃及的法老王陵寝，取来的“刻字版”在月光的照射下，会有魔法。","能够令古物复活。","于是，从纽约“自然科学博物馆”，演到“大英博物馆”。","在“刻字版”的魔力之下，博物馆的动物及人物都活了过来。","","当然：","戏是假的。","人物是穿凿附会的。","古代已过去。","现在正上演。","一部“闹戏”终于看完了。","看完了，哈哈哈大笑。","","我说：","时间是假。","空间是假。","过程是假。","人物是假。","动物是假。","","乱编乱凑，看来有一点眞，其实全是假，唯一的，对话全是“搞笑”。","所有的观众，哈哈一笑，就“剧终”了！","","由这一部“闹戏”想到现实世间的人世，你会有什么感触呢？","这时间也是一时罢了！","这空间也是一时罢了！","这人物也是一时罢了！","这发生的曲折变化也是一时罢了！","一切房屋车子也是一时罢了！","","我在演一场“眞佛宗”的戏，这戏剧也是一时罢了！","谁知它什么时候会结束呢？","这戏也有魔法！","有很多人在剧情中担任必要的角色，我是第一名的男主角。","","我自己与自己聊天：","“你这名男主角是永远的吗？”","答：","“不会。”","“为什么不会？”","答：","“很快就死了！”","“眞佛宗会永远在世间吗？”","答：","“谁知道？我说，也不一定很快就寿终正寝了！”","“你会担心吗？”","我答：","“不会！”","“为什么不会担心？”","二","我答：","“有开始就有结束。连太阳、月亮、地球，也是有寿命的，有一天，什么","都结束了。”","我答：","“你会遗憾吗？”","“开什么玩笑！你不知道无得无失吗？哈哈哈！”","",""
"038 身体非“我有”的见解","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c038","一次，皮肤有小恙。","我问廖医师：","“我的皮肤会好吗？”","廖医师答：","“会。”","我又问：","“会再来吗？”","廖医师答：","“会。”","我说：","“怎么会这样？好了又再来？”","廖医师反问我：","“你会感冒吗？”","我答：","“会。”","廖医师又问：","“会再感冒吗？”","我答：","“会。”","廖医师说：","“就是这样。不然我们医师吃什么？”","","这时，我想起一首出名的偈：","身体非我有。","因为不自主。","身体各部位。","坏了无由治。","一切均假合。","分散何我有。","","廖医师最后对我说：","“只有死了之后，一切的病，才眞正全部好了！”","","有的人，手抬不起来，那抬不起来的手，已经不是我的手了。","有的人，脚已无法走，那不能动的脚，已经不是我的脚了。","五臓六腑，器官坏了，已都不是我的了。","一一分解。","才知一切因缘假合，身体非“我有”。","","我自己与自己聊天：","“有很多弟子令你非常快乐是吗？”","我答：","“是的。”","“也有很多弟子叛离，令你恼怒不悦是吗？”","我答：","“是的。”","“这些事情有可能完全不发生吗？”","我答：","“不可能。”(一个人不能让所有的人满意)","“既然不可能不会发生，就把它当成自然，也不用太快乐，也不用恼怒，是吧！”","我说：","“是的。”","有","“你知道快乐与恼怒来自于何？”","我答：","“心。”","我答：","“心又在哪里呢？”","“不知道。”","“既然心不在于身体的哪一部位，没有人找得到，身心均非你所有，是吗？”","我从此，悟了！"
