"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","firstcharacter","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60"
"039 送我牡丹花的女人","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c039","中国大陆的女弟子，送我一束牡丹花，那束牡丹花姹紫嫣红，绽开的非常美丽。","我一接了花，随即供养“本尊”。","","抬头看一下女弟子。","这女弟子长得；","黑色的长发。","圆圆的脸，皮肤白晳。","头微微的倾着。","眼睛大大的，嫣然带笑。","双颊腮红。","红唇。","哇！好美！","","我问：","“妳从哪里来？”","她答：","“西安。”","我说：","“西安我去过，妳人美花也美。”","她说:","“谢谢！”","","我突然想起了“白居易”的诗，诗名是〈西明寺牡丹花时忆元九〉：","前年题名处。","今日看花来。","一作芸香吏。","三见牡丹开。","岂独花堪惜。","方知老暗催。","何况寻花伴。","东都去未回。","讵知红芳侧。","春尽思悠哉。","","这首诗，这从“西安”来的美女，这束“牡丹花”，令我想起很多......。","我今七旬老翁。","花开花落。","日子过得美，日子过得甜，日子过得舒，一下子！美人迟暮。","昔日亲友零落。","昔日同学零落。","昔日知己零落。","","我问：","“妳叫什么名字啊？”","她答：","“我叫小诗！”","我说：","“哇！小诗，我才想起一首小诗呢！”","她问：","“哪一首？”","我说：","“不谈也罢！”","有","","过了不久，“小诗”就在人群中，倏然不见。我的眼睛如何搜寻她，她都没有出现过，因为我的弟子太多了，一个人一走入人群，就好像消失了一般。","隔了几天。","我呆住了！","有一名女子，很像“小诗”，我问是“小诗”吗？她答：我是成都来的，我叫“小月”。","突然有一悟：","“好像有来，好像有去。”",""
"040 听“周蕙”唱歌","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c040","〇一四年十二月二十八日午时，我参加“常仁上师”举办的十方同修会，华光功德会的聚餐。","在餐宴中一","听取了“点滴是生命”的慈善报导。","兴建了“三一六一”个水窖，供当地用水。","建造了“四个”塘坝。","(中国西北部，甘肃、青海)","","云南赈灾：","建五座太阳能发电。","资助二十六个儿童心臓手术。","派发物资。","等等。","我看了心中很感动。","","在餐宴中，他们邀请了名歌星“周蕙”小姐来唱歌。","“周蕙”的歌，相当有名气，有很多人都喜欢她的歌。","她一共唱了四条歌，支支动人。","","据说：","周蕙刚出道，大家说她是“恐龙妹”。","后来：","周蕙努力改变形象，现在已经变成“苗条淑女”，脸也很清秀。","我沉醉在她的歌声中。","","我自己问自己：","“你的所见、所触、所闻、所嗅、所尝，你看透是什么？”","我答：","“泡沫。”","“每一种？”","“各种不同的泡沫！”","“你是用冷漠的眼光或淡淡的听觉？”","我答：","“对于每一件初相逢的事物，我也会深深的受到感动，去品尝每一种滋味的不同。”","我又说：","“但仅此而已。我会想，毕竟这些全是一种泡沫，迟早会消失掉。”","“你是又感动，又淡然，这不是矛盾吗？”","我答：","“这不矛盾。”","“怎么不是矛盾？”","我答：","“我听周蕙的歌，一时感动，就写下了这篇文章，但，就只这样而已。她和我照了一张相，照后，也没有了，我和尚不保留照片，就是只照相，后来就是泡沫了！”","“你看透了？”","我答：","“人生就是这样，也许她根本就不知道眞佛宗，也不知道哪里的和尚？”","“那是什么？”","我答：","“有趣！”","“复杂？”","我答：","“不是复杂，只是有趣，和尚听歌，就只是有趣而已！”","“有领悟吗？”","我答：","二","“有一个女人，唱歌！”","","","","","","",""
"041 活在“错觉”之中","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c041","洲航空公司，自从成立以来，飞行一直很平安顺利，因此，公司在宣传册子上印着：","“永不坠机的亚航”。","","二〇一四年底，亚航一架空中巴士A三二〇-二〇〇客机，编号QZ八五0一班机，清晨五时， 搭载一六二人离开东爪哇泗水机场，原定上午八时三十分，抵达新加坡。","但，在爪哇海域失联。","在二〇一四年十二月三十日，有关单位宣布：","“已坠入海中！”","这是一件悲惨的飞安意外。","","事实上，二〇一四年，是飞安意外死亡人数最多的一年：","坠的飞机最多！","死亡人数创新纪录！","","我写前一段的文字是说，亚航一直很平安顺利的飞行着，但，就渐渐的产生了一种“错觉”，认为亚航是：","“永不坠机的亚航！”","","按照佛陀的教示是：","“诸行无常”。","在人间，一切物质现象，都是在“无常变化”之中，无法由人去掌控。","","也就是：","每一样东西都会坏。","每一样东西都会变化。","一切的一切均在变化之中。","没有永远。","没有永恒。","","像机械的东西，会故障，会老旧，会坏掉，会失效，会错误。","怎可以自称：","“永不坠机！”","","我与我自己聊天：","“卢师尊，你已七十岁，过年七十一岁，你身体有病吗？”","我答：","“谁敢说自己永远健康，我会感冒，也有皮肤小恙，有时候肠胃不适，有时身子也会小酸麻，但，大致上还可以。”","“卢师尊！你有大病吗？”","我答：","“我每半年，健康检查一次，每次检查，到目前，尚无大碍。但，不敢保证年年都如此健康，甚至不敢保证，我能活多久。”","“你会活多久？”","我答：","“不敢说！”","“你可以活到九十九吗？”","我答：","“过去的已过去，未来的不去想，现在也很快的变过去，我当下平安就好！”","“你计划将来吗？”","我答：","“我只计划今天。活一天，快乐一天；活一天，感恩一天；活一天，修行一天。”","“如果你明天病了，或死了？”","我答：","“我不管明天的事！”","“你会恐惧吗？”","我答：","亚","“一切无所谓，不去想！”","","","","","","",""
"042 如果坐在失事班机上","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c042","计今年(二〇一四)的失事班机：","马航二班。","亚航一班。","复兴一班。","非洲一班。","小飞机不计......。","","曾经有一弟子，姓冯，有一次乘坐飞机，飞机飞行在二、三万英尺的高空。","突然，停电。","机内一片黑暗。","引擎的声音完全停止。","飞机从高空往下掉，速度甚快。但听见机内乘客一片惨叫哀嚎。","","冯弟子心想：","“这次完了！”","“要死了一切结束了!”","恐惧到了极点，怖畏到了极点，害怕到了极点，惊吓到了极点。","飞机抖动极点。","乘客抖动极点。","又突然，来电了，引擎声音又动了，机内灯火大明，飞机慢慢爬升。","天啊！正常了！","","冯弟子经历了这一次大变之后，再也不敢坐飞机，再远，也开车，不敢出国。","冯弟子说：","“我患上了登机恐惧症!”","他问我：","“怎么办？”","我答：","“每星期，坐一次飞机，或常常坐飞机，这是唯一的方法了！如此，才能把登机恐惧症，矫正成，登机信任症。”","","我问我自己：","“你害怕坐飞机吗？”","我答：","“不怕！”","“你为什么不怕？”","我答：","“我每次坐飞机，坐定后，先观想本尊住顶，持本尊咒，直到感应本尊驾临。于是我安心的坐飞机。”","“气流震动很厉害，怎么办？”","我答：","“持本尊咒！”","“如果你坐上失事班机，怎办？你不害怕吗？”","我答：","“无有恐惧！”","“眞的？”","“眞的。”我肯定的说。","“为什么不恐惧害怕？”","我答：","“我把我的神我，已交本尊，一失事，本尊把我带上净土，一点也不惧。”","“你的生命结束，一切化为乌有？”","我答：","“人生本来就是如此，早来与晚来的差别而已！”","“你眞的不怕死亡班机？”","统","我答：","“哈哈！一下子死亡，比拖着死亡，爽快多了！”","","","","","",""
"043 价码","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c043","一位密教的大法王，到了台湾，这位法王当然是一级H.H的大法王，他要来台湾草屯雷藏寺拜访我本人。","我听了，非常欢迎。","","我一定会用最高的礼仪招待他。(最高规格)","一、订制高大宽阔的法座。","二、最好的休息室。","三、大法会中，坐上最高的法座。","四、铺红地毡。","五、弟子献供养及哈达。我自己也会献上供养。","六、招待高级宴会。","七、等等。","","然而，他们的中心，要求：","一、法王及随员的头等舱费用，我们负责。","二、法王及随员的住宿，我们负责。","三、在台期间费用，我们负责。","四、先给供养，五〇万至数百万不等。","","我听了，他们的需求，全是：","钱。","钱。","钱。","","协商的结果是：","“法王不来了！”","我听了，法王不来，我轻松多了!","原本我以为，我的供养再加弟子们的供养，这些钱的数目也一定很高。","是可以的。","但，他们一定要先给“价码”，其他再议。","","我这个人，不是一个“金钱为上”的人，一生没有“价码”，一切都是“随意”的，每一个法王来，都要先谈“价码”。","我实在很不习惯！","","我这一生，致力于“修行”及“弘法”，任何法会及法事，只有供养：","“随意！”","从不勉强他人，一定要有一个价码，有钱的人，没有钱的人，一律平等。","供养多。","供养少。","“随意！”，","一百元台币也好，十元硬币也好。","","我与我自己聊天：","“你为什么不计较钱？钱在这世界上是第一好的东西，你为何不计？”","我答：","“我知足，我没有欲望。”","“你可以有至高的享受啊！”","我答：","“我在美国，只买汽油，因车子要加油。我在台湾，只买水，因台湾的水，不能喝。除了这二项的花费，其他没有了。”","“你养老也需要钱？”","我答：","“弟子的供养，很够了!”","“你不建属于自己富丽堂皇的寺吗？”","有","我答：","“什么才叫属于自己？”","“属于自己名下？”","“这世界上，有属于自己的东西吗？”","我答：","","",""
"044 佛陀也有怨敌","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c044","迦牟尼佛是一位伟大的智者(大觉大悟)，也是一位圣者，清净生活的行者。","但，遭逢了许多怨敌-","","例如：","六师外道-六个宗教领袖及团体，攻击佛陀的教团。","孙陀利-一位女人，向外宣称，与佛陀及五百罗汉有染。","战遮-一位少女，宣称，与佛陀有小孩，怀着身孕(假孕谤佛)。","提婆达多-佛陀的弟子，也是八大王子出家之一，是佛陀的亲属，后来叛变，带走很多佛陀的弟子，另外组织僧团。","反对的弟子-佛陀圆寂后，有一批反对祂的弟子，声称佛陀死了，黄面老子死了，从此我们就自由了。","外界-很多其他的因素，令佛陀在外，恶名流布。","一个神圣般的佛陀。","但外界对祂的批评，实在不少。","","由此得知:","在这世界上，就算你如何的正派，你如何圣洁的生活，你是一位君子，你谨愼言行，你不得罪任何一个人。","","但，一样有人会怀疑、毁谤、攻击、批评。","这些人中，有相识的。","也有完全不相识的。","很多人，你根本就不认识他。","他也不认识你。","但，人是很“八卦”的。","他们照样的批评你。","","我们看到佛陀的应对：","“不理会。”","“不反对。”","“默摈。”","","我自己与自己聊天：","“卢师尊，你如何呢？”","我答：","“我学佛陀。”","“你会不会稍稍生气呢？”","我答：","“无妨！”，","“你如何化解你心中的气？”","我答：","“很简单，就算你做的再好，不去得罪人，凡事随顺，你还是会有人找上你，向你挑战。人人都一样，这样一想，气就没了，圣者如佛，也是一样。”","“你修为不错，何以仍然炮火猛烈？”","我答：","“德高，魔大。”","“你会反击他们吗？”","我答：","“由金刚神、护法神去做！”","“对这么无奈的事，委屈的事，无理的事，行者如何应对？”","我答：","“感恩了!太抬举我了!人世间，好好玩!”","","","","","释","","","","","","","",""
"045 弟子之问","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c045","一位弟子问：“如果没有我的存在，师尊常说『无我』。为什么我人会","有痛苦？我人会有烦恼？”","","我的回答是：","开悟者说无我。","没有开悟者说有我。","开悟说:痛苦不眞实，烦恼不眞实。","没开悟者说:都很眞实啊！","","我实实在在告诉大家：","世俗谛：","痛苦。","烦恼。","胜义谛：","无生。","空。","前者：幻生幻受。","后者：无生空幻。","","所以有一偈：","胜义谛中虽无我，迷乱众生却说有。","痛苦虽不真实存，迷乱众生却说有。","是故应依二真谛，胜义谛与世俗谛。","","我常常如此比喻：","一百年后-","痛苦还在否？","烦恼还在否？","夫妻还在否？","子女还在否？","爱恨情仇还在否？","","唐、虞、夏、商、周、秦、汉、三国、魏、晋、南北朝、隋、唐、宋、元、明、清，到了今天，都已不眞实存在了。","剩下的是：","......。","一百年后，剩下的也是：","......。","","且问：","计较些什么？","《金刚经》里告诉我们：","无我相。","无人相。","无众生相。","无寿者相。","这就是现象的原本就是空，它们的本质都是空的。","只是因缘聚合。","原本一无所有。","","所以：","卢胜彦是空。","二百四十六册书是空。","有","说法四十年是空。","眞佛宗是空。","雷藏寺是空。","","五百万弟子是空。","所以我自己问自己：","“卢师尊！你对未来有何计划？”","我答："
"046 回台湾之后的感觉","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c046","住西雅图的生活，很宁静。","回台湾不同：","杂沓。","喧嚣。","混沌。","人们的交谈声，车声，曲乐歌唱，霓虹灯，人潮，食物的味道......。","空气的品质。","交通的紊乱。","排水道的臭味。","","置身于台湾，心也好像飘浮起来，波荡不止，念头也好像比较多......。","我当然知道，触目所及的一切，好像组合各个不同。","","但，其本质是一样的。","邀请我的特别多-","宜兰禅光雷藏寺。","新竹福佑雷藏寺。","台中香华雷藏寺。","桃园黄帝雷藏寺。","彰化卦山雷藏寺。","等等等等......台湾大小分堂。","台湾各同修会。","法会。","开光。","说法。","参访。","","当中还包括东南亚诸国。比较固定的是，台湾雷藏寺的春季大法会，台北中正纪念堂的大幻化网金刚大法会，桃园黄帝雷藏寺的虎头金刚大法会。","","那些之外，还有大灯文化的专访。","无数的邀约，把我自己的肉体层层包围住，所见、所触、所嗅、所闻全是：","邀约！","邀约！","邀约！","","我看见这些，早已看透，全是泡沫之一，但泡沫之多，也令我喘不过气来。","已七十一岁的老人。","时间不够。","我总是回答：","“一切因缘具足，我就会去！”","","我自己与自己的心中对话：","“邀请很复杂吗？果眞是很复杂吗？”","我答：","“不，一点也不复杂。”","“你说因缘具足，你就去，是打诓语？”","我答：","“不是诓语！”","“这么多的邀请，你是应付不完的？”","我答：","“我是云，云飘到哪里，就是哪里！”","“总是有邀请不到的吧！”","我","我答：","“这个当然，但，还是等因缘具足吧！”","“会不会遗憾呢？”","“是当然。但，诸弟子要谅解，就算是佛陀，也有三不能！”","我答：","","",""
"047 开悟的几句话","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c047","〇一五年元月四日，在“太和屋”的一间礼堂，由“大灯文化”主办的专访节目。","主持访问者是周明璟小姐。","我是被访问的对象。","周问：","“什么是开悟？”","我答：","“开悟很简单，就是觉醒者。”","周问：","“什么是没有开悟？”","我答：","“人在迷梦中，就是没有开悟。”","","我简单的把“开悟小语”写了下来，记录在这篇“短文”之中：","悟是眞相。","迷是错觉。","悟是不执。","迷即是执。","悟是醒。","迷是睡。","悟是什么都不沾。","迷是被沾。","悟是觉者。","迷是幻觉。","悟是绝对。","迷是走在十字路口。","悟是空。","迷是有。","悟是佛。","迷是众生。","......。","我如果继续写下去，永远写不完，因为无论如何比喻，悟的永悟，迷的永迷，如果统归一句话，如何说？","","我说：","寂灭。","因缘。","","我如此解释：","月球-一切寂灭。","地球-因缘生灭。","前者实相。","后者幻相。","实相就是幻相，幻相就是实相，色即是空，空即是色，色不异空，空不异色。","","我因为悟，所以没有顚倒妄想，无罜无碍。","众生因为迷，所以烦恼、痛苦、执着。","所谓度众生？","就是叫众生醒过来而已！","","我自己与自己聊天：","“你每天那么忙，做什么？”","我答：","“度众生啊！”","二","“结果会如何呢？”","我答：","“众生会很困惑。”","我答：","“那不是白忙一场吗？”","“所以很有趣，说不定会笑出来？”","“为什么会笑出来？”","我答："
"048 我是如何的生活着","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c048","现在的生活是如何呢？","其实我一样在微妙的意味之中。(人性)","我的吃，希望营养均衡，精致美味。","我的衣，希望舒适好看，光鲜整齐。","我的住，希望安定愉快，足够休憩。","我的行，希望平安准时，工作顺畅。","财-够用。","色-动人。","名-实有。","","七十一岁，能有一个健康的身体，快乐的一颗心，每天写作快乐，修法也快乐，一切都在美满幸福之中。","","我当然会遇到不悦意的状况：","厌恶的气味，口臭的人。","不喜欢我的，摆臭脸的人。","衣着臭秽的人。","坏掉的食物。","不相干的人的攻讦。","缠人又无意义的话。","......。","","虽然如此，在我的内心之中，我了悟一切皆是因缘，不管是我喜爱的，或是厌恶的，我知道一切都是因缘生，因了悟了，所以也不执着，因为因缘生，也一样因缘灭，不管快乐的，或是痛苦的，全是空性。(佛性)","","我其实已经渐渐的走向平等性，因为一切的境遇，其实都在梦中，没有眞实性，了解了这一点，也就是醒了过来，也不会有太大的痛苦及烦恼。","","我已认出：","人生是一场梦。","人生是一出戏。","人生是幻觉着。","所以，就不用执着。","所以，就一切放下。","所以，就一切随顺。","平等。","大圆。","眞如。","由于我的开悟，我的内心，是一味行，保持着随缘随顺随性，渐渐达到苦也是乐，乐也是苦，苦乐平等。最后，痛苦不见了，凡事乐观。","","我自己与自己聊天：","“为什么是都可以？”","我答：","“因为是空，所以都可以！”","“会不会因此，对错不分？”","我答：","“对错是一时现象，各有各的角度，等一切都过去了，对错全消失了!”","“破败不堪怎办？”","我答：","“人间就是这样！”","“如何忍受？”","我答：","“我们不一定能改变这些，但，破败不堪也一样会寂灭！”","“包括好的，也会寂灭？”","我答：","我","“实在的说，无得也无失啊！”","","","","","","",""
"049 仍然在扮家家酒","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c049","醒觉之后，有一体悟：","“我人仍然在扮家家酒！”","小时候读书是为了将来的......。","青年时，追逐妻子，为了色、为了爱、为了贪、为了欲。","中年时，为了儿女，为了人我，为了事业。","","综合起来：","为富贵。","为名利。","为权位。","为己见。","","这“人我”，代表了千万亿以至恒河沙数的所有众生。","都是这样子的生活着，都是这样的过日子，都是这样子的从出生到老死，很少有例外的人，可以跳出这个框框。","所以：","“我人仍然在扮家家酒。”","","在这当中，也有人是例外的，但毕竟是少数，他们少数人想：","学佛。","学仙。","学圣人。","但，想是想，学是学，眞正能成佛的、成仙的、成圣人的。","如雪泥鸿爪。","大地土是众生。","鸿爪土是成就者。","","我醒觉之后，想教人醒觉也不容易。我是一面扮家家酒，一面知道这家家酒，全是空的，全是无的，全是假的。","一般人都以为是眞的。","一般人都放不下。","一般人以为，富贵、名利、权位、执着、妻儿、欲望、爱情、情感、美色、朋友等等等等都是眞实的，放不下的。","贪念。","瞋念。","痴念。","构成了“人间”。","而我，我终于明白了，原来这些全是在扮家家酒。","","小孩，我们扮家家酒。","大人，我们也扮家家酒。","老人，我们也扮家家酒。","红事，办喜酒。","白事，办丧酒。","死了，也办后事酒。","眞是“至死不悟”！来世再来扮家家酒也。","我问我自己：","“你这一生弘法度众，是扮家家酒吗？”","我答：","“是的。”","“写书是扮家家酒吗？”","我答：","“是的。”","“修法是扮家家酒吗？”","我答：","我","“是的。但，我确知是扮家家酒。别人却不知道矣！”","","","","","","",""
"050 附录一：善恶现世报，见证莲花童子师尊眞实救渡！","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c050","人做好，守本分，把事情做好就是善。","","笔者，过去做了一些善事，急难救助，帮助弱势族群，印送善书，布施供养，做公益做义工，目前是中部地区慈善团体联合会的创会理事长。","","由于做了一些善事，结果莲生活佛的法身　莲花童子在梦境接近天亮，清楚的看到摩顶加持“发发发”三个光明的字，让我这几年投资土地有发利市，没有生活上金钱的烦恼，还可以再做大布施大供养，无后顾之忧的修行。","","由此可见，这是莲生活佛赐福的财富，够我用一生。","","我始终认为要做“好人”很简单，你看别人做的事情，良心上过不去，自己不要那样做，那就是好人。","","两年前，眞心忏悔，开始修忏悔法，断恶修善以后，开始断断续续一直生病，直到四月重病住院，医师内视镜检查结果，告诉我:必须割除一颗肾脏！","","然而，两天后，我梦见莲花童子现身，出现此瑞相几天后，医学报告出来，医生又改口，暂时保留肾臓不割除，住院医生原本告诉我百分之九十九要割除，主治医师专业做了二十几年，自己也疑惑为何变成不割除肾脏，我知道这是莲花童子暗中相助，在此感恩。","","而自己昔日重病期间身上插着三支管，如同地狱的景象，手臂一只管，肾脏一只管，尿道一只管，由于我是犯邪淫罪，尿道被插管无数次，尿道的孔小小的，管子很粗，插进尿道，让人很痛很痛，椎心之痛，剧烈的疼痛，痛不欲生，眞的很恐怖，重病比死亡还要痛苦。","","所以奉劝诸位不要去玩弄女人、玩别人的老婆、乱搞男女关系、包二奶、外遇、红杏出墙，这些迟早会有报应，就像我的下场尿道被插管一样凄惨。","","九月分我写疏文，禀告天地，若是再犯邪淫罪，我愿受最严厉的处罚，转世当畜牲，并将疏文装框裱褙，随时警惕自己不要犯错，并且劝人不犯邪淫罪，连上台致词，台下几百人，也讲自己善和恶的现世报，劝人不要犯邪淫罪，并且印送《当下的清凉心》、《当下的明灯》，共两千本。","","第四次进入开刀房之后，医生告之：输尿管密密麻麻很多癌细胞，心中只觉得冷冷的。","","三天后，我梦见莲生活佛的法身莲花童子放大白光加持，梦境中眼睛无法张开看强烈的白光，清楚又模糊的再看一串黑色的物体，白光的照射下，由污秽转成干净，当时不以为意，认为是一个梦，忘了这件事。","","几天后，切片检查出来，医生直说奇迹啊！奇迹。啧啧称奇，你的癌细胞消失了，连主治医师也产生疑惑，有经过高科技的切片检査癌细胞竟然会消失，连我也很惊讶，因为，前一星期才说密密麻麻很多癌细胞，如今凭空消失，这时才忆起，前几天做一个奇怪的梦境，得到大白光的加持，莲花童子放大白光让癌细胞消失，眞的不可思议，难思难解。","","莲生活佛是当代实修的大成就者，报身莲花童子，大家应该皈依他，我可以做见证，你会得到很多感应，就像我一样，经常梦见莲花童子，只要莲花童子梦境中暗示出家，必定会出家。","","我的心中经常念着一句话：“看破红尘事，顿悟人生本来就无事。”祈祷，莲花童子给弟子一个机会。赎罪的机会，把心赎出来，把良心翻过来，贡献眞佛宗，变成眞正出家的好弟子，严格的守五戒行十善。","","我的一生福报是莲花童子赐福的，挪出一部分的“福”给眞佛宗的寺或堂，包括病危时也是莲花童子救助的，所以现在正在盖莲花童子庙和尊胜咒塔，做为纪念师佛的救助，希望莲花童子庙，供万万人膜拜，届时，宗委会批准后，给师佛题名：莲花童子庙或殿。","","我认为，知道多少，才能管多远，师佛知道很多，才能管到全世界，全世界都有他的弟子，可惜，一般人的通病是：听师佛的“道”，听多了没把“道”当作一回事，才会做错事，忘了做人的道理，胡涂犯错，被欲望迷惑心性，习性耽深，遮蔽脑海不清明，没把师佛的义理道理放心上，滋润内心，才会胡涂做错，我是咎由自取，自作自受，一点都不敢怨人，勇敢认错惩罚后，洗心革面，重新做人，如今觉醒了，写此见证感谢恩师，并且引以为鉴。","","蔡记松于103.12.11","","","","","","","","","","","","","","","","","","把","","","","","","","",""
"051 附录二: 阅读心得莲花忠正","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c051","泉斩猫，千古吸睛","当时师尊，“尊重”其说法。","师尊把这个公案列在第三册《天下第一精彩》。弟子读了又读，参了又参。从原不认同王老师，甚至怀疑其当时如何抓住猫，如何斩，难道猫不会反抗？到现在的，对这个伟大的公案产生莫大的兴趣，从而对王老师的“杰作”感佩不已。这个公案一千多年来褒贬参半，然不损长青，至今读之，仍然能感受其震撼。弟子爰将整个公案简整，并陈述阅读心得，祈蒙赐予点拨：","五、师尊评述：","一、《传灯录》原文","师(南泉普愿)因东西两堂各争猫儿，师遇之，白众曰：“道得即救取猫儿，道不得即斩却也。”众无对，师便斩之。赵州自外归，师举前语示之，赵州乃脱履安头上而出。","师曰：“汝适来若在，即救得猫儿也。”","(C)赵州顶履而出，是说，在第一义，烦恼及菩提，根本不需对治，讽斩猫“颠倒”。","二、粗分几章节","(1)为何东西堂争猫？(2)王老师如何临场表演？(3)何谓道得即救取猫儿，道不得即斩却也？(4)众无对，师便斩之？(5)赵州自外归，师举前语示之？(6)赵州乃脱履安头上而出？(7)师曰：“汝适来若在，即救得猫儿也”？","当时，“我蹲下身子，学猫爬。口叫：『佛！佛！佛!我!我!我！』然后，爬了出去。”“南泉一看。也就不敢斩猫儿了!”“为什么？......因为他必然明白我是一位见佛性的尊者也。”师尊又赞：“精彩！天下第一精彩!”","三、古今答案整理如次","(1)为何争猫？","(A)衲子不应养猫。","(B)养猫为某种需要(暗示抓老鼠)。","六、弟子综合观察报告：","(2)王老师如何到现场？","(A)侍者通报。","(B)刚好路过。","(C)闻声赶来。","(1)为何东西堂争猫？","(3)何谓道得？道不得？","(A)讲个可以养猫道理听听。","(B)举出说服我的道理。","(C)就此案参第一义。","(A)根据猫的个性，猫以“给食”为主人。当时物资缺乏，强调清淡生活，故“专业包养”可能性不高。应该是，猫儿看哪边有剩食就往哪边吃，类似“劈腿”，久而久之，东西堂都认为，猫是他们的一员。","(4)众无对，师便斩猫？","(A)正令必行。","(B)王老师犯杀生戒。","(C)只比个手势，实际上没斩。","(B)积怨已久，借题发挥。禅僧不应只为猫而吵架，况在王老师这种大师眼皮底下。应该是说，东堂有山头主义，认为西堂这些暂时挂单的禅客不尊重他们。西堂却觉得，没有“宾至如归”的感觉。(网路讥讽目前各大门派竞相吸金，就是养猫)","(5)师举前语示赵州？","(A)王老师陷入困境思维。","(B)王老师趁机检验赵州。","(C)王老师要圆此公案。","(2)王老师如何临场表演？","(6)赵州脱履安头而出？","(A)赵州认为本末倒置。","(B)赵州认为是“枝梢末节”。","有人认为王老师刚好路过，有的则是说，闹大了，维那、侍者等跑去报告方丈。弟子认为，后者可能性较大。","(7)王老师肯定赵州？","(A)赵州点出王老师的过失。","(B)赵州喑示不要停留于过去。","(C)赵州暗讽此案荒谬。","(3)道得即救取猫儿，道不得即斩却也？","四、古今大禅师的评述：","(1)“雪峰问德山斩猫案大意，德山以柱杖便打趁出，复召之。会么？”(《指月录》)","(2)“眞净问，归宗举拂子与斩蛇是同是别？斩猫斩蛇，丛林商量，孰优劣？”(《指月录》)","(3)汾阳昭、广德光、白云端、成枯木、楚安方、胡安国、简堂机都作短颂。","(4)雪窦颂云：“两堂具是杜禅和，拨动烟尘不奈何。赖得南泉能举令，一刀两断任偏颇。”","(5)《碧岩录》及圜悟克勤和尚的评唱。","(6)天童颂：“此道未丧，知音可嘉。凿山透海兮唯尊大为，炼石补天兮独贤女娲。”","南","(7)万松评唱：“南泉如大禹凿山透海，显出神用。赵州如女娲炼石补天，圆却话头。”","(8)慧开禅师颂：“赵州若在，倒行此令。夺却刀子，南泉乞命！”(《无门关》)","有人讨论何谓“道得”？道得是否可能也会斩猫？有的(包括当今佛门“大师”)，认为当时并无实际斩猫，南泉看没人“道得”，失望的把手刀往猫儿抹一下放了。","(A)“道得”，当然是下个符合第一义转语，就皆大欢喜。禅者聚在一起，忘却世间一切，就为了参“第一义”，若这只猫能逼出个有见地之禅僧，即符合王老师度人意旨。换言之，道得的话，南泉高兴都来不及，怎还要下杀手锏？","(9)白隐慧鹤(日本“听只手掌声”著名禅师，不认同雪窦)白隐慧鹤(1686-1769)对雪窦提出“一刀两断”的论点提出了不同评唱。他说：“雪窦评『南泉斩猫』说『一刀两断任偏颇』，我先不问『一刀两断』时猫怎么样？我只想说『一刀一断』时的猫是什么样的情形？”“一刀两断”是“杀人刀”(否定)，“一刀一断”是“活人剑”(肯定)。“一刀两断”是将猫眞的杀死，“一刀一断”是假杀。“一刀一断”时猫的情形怎样呢？肯定是“不杀”。白隐不认同南泉，执着“一刀两断”？他认同赵州，顶履而走，不管猫不猫，杀不杀。这才是“禅者的超脱”。","(10)铃木大拙(日本，民初，曾批判胡适不懂禅，却以历史思维考据禅宗史)铃木大拙说:“可怜的猫为什么惨遭不幸呢？斩猫不是无宗教、无慈悲的行为吗？四大皆空的僧侣争一只猫干什么？赵州把鞋顶在头上不是发傻吗？此外，绝对否定与绝对肯定眞是相互对立的吗？不，赵州和尚的行为都是十分认眞、十分严肃的，只是不了解其中的奥妙，才会有上述疑问。禅不是一种教化，禅要把一切羁绊彻底抛却。”","(B)大禅师提撕正令岂能儿戏？认为当时没眞正斩猫者，正可反应这些人(包括当今大师们)对“禅者”的认定轻松随便，是“自贬贬人”。","(11)重读五灯会元系列《天下第一精彩》，学僧的见解："